,Stem_volume
PI576426,531.91
PI576428,476.73
PI576434,775.12
PI576435,244.39
PI576437,347.92
PI585291,307.66
PI585295,416.42
PI595699,290.06
PI595702,366.48
PI595714,226.64
PI595718,202.09
PI595720,249.61
PI595739,355.01
PI595740,307.86
PI595741,174.42
PI595743,284.2
PI595744,263.11
PI595745,612.48
PI597945,445
PI597946,165.73
PI597949,306.12
PI597950,369.88
PI597951,468.86
PI597952,295.89
PI597957,401.15
PI597958,376.83
PI597960,471.97
PI597961,220.26
PI597964,448.38
PI597965,256.31
PI597966,232.12
PI597967,250.29
PI597968,265.33
PI597971,472.73
PI597972,347.86
PI597973,444.14
PI597976,441.62
PI597980,258.3
PI597982,219.28
PI598070,174.1
PI601816,667.61
PI607931,372.73
PI613536,632.34
PI629034,373.72
PI629040,449.78
PI629059,400.88
PI641824,365.34
PI641836,999.14
PI641849,330.56
PI641874,240.13
PI642791,316.56
PI642793,207.03
PI642992,667.88
PI642998,943.94
PI651492,921.49
PI651496,884.4
PI653616,380.86
PI653617,786.17
PI655970,628.08
PI655971,202.09
PI655972,833.45
PI655973,837.98
PI655974,607.31
PI655975,392
PI655976,359.07
PI655977,285.15
PI655978,309.96
PI655979,294.06
PI655980,250.42
PI655981,683.34
PI655983,1070.61
PI655984,332.92
PI655985,350.28
PI655986,263.38
PI655987,290.92
PI655988,227.07
PI655989,260.41
PI655990,220.53
PI655991,549.46
PI655992,280.86
PI655993,438.57
PI655994,954.37
PI655995,838.69
PI655996,319.97
PI655997,275.22
PI655998,178.57
PI655999,152.23
PI656000,261.21
PI656001,412.53
PI656002,388.16
PI656003,352.43
PI656004,301.15
PI656005,171.46
PI656006,461.6
PI656007,266.15
PI656008,602.81
PI656009,249.18
PI656010,381.4
PI656011,366.47
PI656012,409.73
PI656013,874.63
PI656014,821.7
PI656015,590.12
PI656016,415.38
PI656017,652.24
PI656018,430.94
PI656019,353.19
PI656020,221.43
PI656021,172.76
PI656022,229.32
PI656023,915.14
PI656024,827.84
PI656025,471.73
PI656026,488.9
PI656027,534.35
PI656028,849.19
PI656029,341.74
PI656030,134.04
PI656031,349.24
PI656032,645.84
PI656033,317.16
PI656034,691.04
PI656035,560.63
PI656036,531.08
PI656037,877.98
PI656038,1209.05
PI656039,465.29
PI656040,466.32
PI656041,374.52
PI656042,336.12
PI656043,688.5
PI656044,565.88
PI656046,568.8
PI656047,662.57
PI656048,343.68
PI656049,699.17
PI656050,713.17
PI656051,562.22
PI656052,173.12
PI656053,307.91
PI656055,299.87
PI656056,520.93
PI656057,479.87
PI656058,331.08
PI656059,336.78
PI656060,327.62
PI656061,392.56
PI656062,344.37
PI656064,1060.22
PI656065,432.97
PI656066,1298.73
PI656068,361.84
PI656069,346.75
PI656070,423.82
PI656071,411.24
PI656072,624.36
PI656073,339.98
PI656074,694.19
PI656075,534.02
PI656076,364.84
PI656077,258.06
PI656078,321.79
PI656079,457.82
PI656080,368.08
PI656081,254.69
PI656082,594.21
PI656083,631.96
PI656085,189.62
PI656086,552.25
PI656087,185.71
PI656088,515.99
PI656089,376.24
PI656090,324.25
PI656091,284.78
PI656092,336.32
PI656093,299.32
PI656094,368.95
PI656095,317.18
PI656097,499.11
PI656098,266.4
PI656099,759.49
PI656100,283.74
PI656101,223.49
PI656102,298.91
PI656103,326.04
PI656104,114.93
PI656105,184.39
PI656106,330.53
PI656107,557
PI656108,158.82
PI656109,152.15
PI656110,194.28
PI656111,321.2
PI656112,296.57
PI656113,139.52
PI656114,410.85
PI656115,251.45
PI656116,326.98
PI656117,492.23
PI656118,488.82
PI656119,379.94
PI656120,418.24
PI656121,234.23
PI659691,220.39
PI659692,198.6
PI659693,200.7
PI659694,234.28
PI659695,548.96
PI659696,382.84
PI659753,828.89
