"GENE","magma_p","magma_fdr","magma_rank","gwas_min_p","gwas_n_snps","gwas_rank","n_top_pathways","best_pathway_p","pathway_rank","pathways","hit_gwas","hit_magma","hit_pathway","support_layers","score"
"SORBI_3009G231100",8.9936e-14,1.77094502722222e-10,15,4.820819e-15,321,8,1,9.99900009999e-05,1,"PWY-1269",TRUE,TRUE,TRUE,3,7.44090554653881
"SORBI_3009G229300",4.8629e-13,7.18165757826087e-10,23,1.982972e-14,216,29,1,9.99900009999e-05,1,"PWY-5800",TRUE,TRUE,TRUE,3,7.23289361675845
"SORBI_3009G226600",1.0209e-12,1.11998462727273e-09,30,5.867061e-15,273,16,2,9.99900009999e-05,1,"PWYIO2-7; TRIGLSYN-PWY",TRUE,TRUE,TRUE,3,7.2213656416034
"SORBI_3009G225700",1.036e-12,1.11998462727273e-09,31,1.851683e-14,367,26,5,9.99900009999e-05,1,"GLUGLNSYN-PWY; GLUTAMINDEG-PWY; PWY-5921; PWY-6963; PWY4LZ-81",TRUE,TRUE,TRUE,3,7.17017572770577
"SORBI_3009G230400",3.1737e-12,2.14475476538462e-09,49,3.121722e-14,374,35,1,9.99900009999e-05,1,"PWY-6949",TRUE,TRUE,TRUE,3,7.05025174585325
"SORBI_3009G238700",1.5258e-12,1.28859199512195e-09,39,1.317376e-12,383,90,1,9.99900009999e-05,1,"PWY-3781",TRUE,TRUE,TRUE,3,6.9513338458972
"SORBI_3009G225100",3.2776e-12,2.14475476538462e-09,50,1.638796e-12,514,99,2,9.99900009999e-05,1,"PHOSLIPSYN2-PWY; PWY-5669",TRUE,TRUE,TRUE,3,6.87544066301374
"SORBI_3009G233200",2.008e-10,7.66356584269663e-08,89,1.003976e-10,268,167,1,9.99900009999e-05,1,"SUCSYN-PWY",TRUE,TRUE,TRUE,3,6.33927926791874
"SORBI_3009G231300",4.8208e-15,8.73223636e-11,1,4.820819e-15,357,8,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,6.29506409453504
"SORBI_3009G231200",5.1416e-15,8.73223636e-11,2,4.820819e-15,343,8,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,6.28946826002043
"SORBI_3009G231400",1.7071e-14,1.33667693222222e-10,3,4.820819e-15,344,8,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,6.18523612493236
"SORBI_3009G239500",3.126e-09,8.42705095238095e-07,126,1.966017e-11,369,120,5,9.99900009999e-05,1,"GLUTAMINDEG-PWY; PWY-5687; PWY-5921; PWY-7176; PWY-7185",TRUE,TRUE,TRUE,3,6.17164782110867
"SORBI_3009G226250",1.8517e-14,1.33667693222222e-10,4,5.867061e-15,253,16,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,6.16964381432495
"SORBI_3009G224100",2.0003e-08,3.95024361046512e-06,172,6.773765e-13,604,82,1,9.99900009999e-05,1,"PWY-5968",TRUE,TRUE,TRUE,3,6.15670230316406
"SORBI_3009G219500",4.4624e-09,1.13115179701493e-06,134,2.104908e-11,405,127,1,9.99900009999e-05,1,"PWY-6066",TRUE,TRUE,TRUE,3,6.13776733147175
"SORBI_3002G379200",2.3443e-09,6.89325126724138e-07,115,1.079294e-10,514,171,2,9.99900009999e-05,1,"PWY-5486; PWY-6333",TRUE,TRUE,TRUE,3,6.12268772894267
"SORBI_3009G229400",1.983e-14,1.33667693222222e-10,5,1.982972e-14,228,29,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,6.11080379896742
"SORBI_3002G379100",3.6903e-09,9.7928453203125e-07,128,1.079294e-10,498,171,2,9.99900009999e-05,1,"PWY-5486; PWY-6333",TRUE,TRUE,TRUE,3,6.08327803180983
"SORBI_3009G229600",3.2972e-14,1.33667693222222e-10,6,1.982972e-14,246,29,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,6.06663928357415
"SORBI_3009G230900",8.9936e-14,1.77094502722222e-10,15,4.820819e-15,256,8,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,6.04090120381113
"SORBI_3009G231000",8.9936e-14,1.77094502722222e-10,15,4.820819e-15,291,8,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,6.04090120381113
"SORBI_3009G227700",3.5417e-14,1.33667693222222e-10,7,3.541653e-14,127,45,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,6.03523704489445
"SORBI_3009G227800",3.5417e-14,1.33667693222222e-10,7,3.541653e-14,116,45,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,6.03523704489445
"SORBI_3009G227900",3.5417e-14,1.33667693222222e-10,7,3.541653e-14,149,45,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,6.03523704489445
"SORBI_3009G239301",1.958e-08,3.88932081871345e-06,171,1.966017e-11,319,120,5,9.99900009999e-05,1,"GLUTAMINDEG-PWY; PWY-5687; PWY-5921; PWY-7176; PWY-7185",TRUE,TRUE,TRUE,3,6.01228307835188
"SORBI_3009G229900",5.4296e-14,1.53689352666667e-10,10,3.121722e-14,362,35,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,6.00360701025909
"SORBI_3009G230000",5.4296e-14,1.53689352666667e-10,10,3.121722e-14,356,35,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,6.00360701025909
"SORBI_3009G230100",5.4296e-14,1.53689352666667e-10,10,3.121722e-14,359,35,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,6.00360701025909
"SORBI_3009G230600",6.2395e-14,1.59812308785714e-10,13,3.121722e-14,413,35,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,5.9915306196856
"SORBI_3009G227650",6.5869e-14,1.59812308785714e-10,14,3.541653e-14,122,45,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,5.98134318514955
"SORBI_3009G228900",2.9299e-13,4.52363242272727e-10,22,3.263734e-15,276,1,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,5.9552579648704
"SORBI_3009G230200",1.0858e-13,1.94112466315789e-10,19,3.121722e-14,373,35,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,5.94341061003184
"SORBI_3009G245000",2.058e-08,4.01747620689655e-06,174,1.196494e-10,409,180,1,9.99900009999e-05,1,"PWY-622",TRUE,TRUE,TRUE,3,5.92952421613044
