pcol,null_set,alpha,n,observed,ci_lo,ci_hi,calibrated
omni_p_final,naive_all_other,0.05,29784,0.514940907869997,0.509247022866954,0.520631877821092,FALSE
omni_p_final,naive_all_other,0.01,29784,0.374227773301101,0.368727650728759,0.379752437848233,FALSE
omni_p_final,nonoverlap_spiked_pathway,0.05,29419,0.510316462150311,0.504586375221769,0.516044511262572,FALSE
omni_p_final,nonoverlap_spiked_pathway,0.01,29419,0.368775281280805,0.363258225463572,0.374318261655813,FALSE
omni_p_final,nonoverlap_causal_genes,0.05,29419,0.510316462150311,0.504586375221769,0.516044511262572,FALSE
omni_p_final,nonoverlap_causal_genes,0.01,29419,0.368775281280805,0.363258225463572,0.374318261655813,FALSE
omni_p_analytic,naive_all_other,0.05,29784,0.545796400752082,0.540120837024201,0.55146302922306,FALSE
omni_p_analytic,naive_all_other,0.01,29784,0.415525114155251,0.409920014473815,0.421146696251619,FALSE
omni_p_analytic,nonoverlap_spiked_pathway,0.05,29419,0.54131683605833,0.53560200976458,0.54702350091241,FALSE
omni_p_analytic,nonoverlap_spiked_pathway,0.01,29419,0.410177096434277,0.404548627502782,0.415823309267162,FALSE
omni_p_analytic,nonoverlap_causal_genes,0.05,29419,0.54131683605833,0.53560200976458,0.54702350091241,FALSE
omni_p_analytic,nonoverlap_causal_genes,0.01,29419,0.410177096434277,0.404548627502782,0.415823309267162,FALSE
