pcol,metric,power,median_rank
omni_p_final,nominal_p<0.05,0.986301369863014,44.5
omni_p_final,FDR<0.05,0.931506849315068,44.5
omni_p_final,Bonferroni<0.05,0.684931506849315,44.5
omni_p_analytic,nominal_p<0.05,0.986301369863014,24
omni_p_analytic,FDR<0.05,0.958904109589041,24
omni_p_analytic,Bonferroni<0.05,0.808219178082192,24
