method,lambda
omni_p_final,2.74113923378426
omni_p_mvn,2.74113923378426
omni_p_analytic,1.92707722202035
acat_p,2.44514608269874
fisher_p,2.44514276824019
minp_p_analytic,1.93887341582911
stouffer_p_analytic,2.49940913603997
tfisher_p_analytic,0.372024844988667
