method,alpha,n,observed,ci_lo,ci_hi,calibrated
omni_p_final,0.05,1636,0.157090464547677,0.139779319053249,0.175641454583069,FALSE
omni_p_final,0.01,1636,0.043398533007335,0.0340475024570392,0.0544287591937366,FALSE
omni_p_mvn,0.05,1636,0.157090464547677,0.139779319053249,0.175641454583069,FALSE
omni_p_mvn,0.01,1636,0.043398533007335,0.0340475024570392,0.0544287591937366,FALSE
omni_p_analytic,0.05,1636,0.204156479217604,0.184863129426468,0.224517206516037,FALSE
omni_p_analytic,0.01,1636,0.121638141809291,0.106183073564413,0.138464643872669,FALSE
acat_p,0.05,1636,0.123471882640587,0.107911317863332,0.140397021075267,FALSE
acat_p,0.01,1636,0.0360635696821516,0.0275644007090419,0.0462748925183062,FALSE
fisher_p,0.05,1636,0.206601466992665,0.187217404942923,0.227043992188937,FALSE
fisher_p,0.01,1636,0.0898533007334963,0.076435771088449,0.104762645922236,FALSE
minp_p_analytic,0.05,1636,0.0990220048899755,0.084971977425929,0.114528779851543,FALSE
minp_p_analytic,0.01,1636,0.0305623471882641,0.0227672519639257,0.0400958010502072,FALSE
stouffer_p_analytic,0.05,1636,0.197432762836186,0.178394615882204,0.217562820741688,FALSE
stouffer_p_analytic,0.01,1636,0.0959657701711491,0.0821220785956395,0.111277861044791,FALSE
tfisher_p_analytic,0.05,1636,0.202322738386308,0.183098147269918,0.222621395143433,FALSE
tfisher_p_analytic,0.01,1636,0.147921760391198,0.131056228143992,0.166060987473162,FALSE
