"col","component","n_pvals","lambda","type1_alpha005","type1_alpha001","mean_p","median_p","dataset"
"acat_p_mvn_cal","ACAT",32100,1.03063223623265,0.0474143302180685,0.00853582554517134,0.498026615129419,0.493506493506494,"Arabidopsis"
"fisher_p_mvn_cal","Fisher",32100,1.0070091431337,0.0450467289719626,0.00819314641744548,0.499877630158004,0.4995004995005,"Arabidopsis"
"tfisher_p_mvn_cal","TFisher",32100,1.00233242073861,0.0430841121495327,0.025607476635514,0.481674929431939,0.4995004995005,"Arabidopsis"
"minp_p_mvn_cal","minP",32100,1.00233242073861,0.0479750778816199,0.00844236760124611,0.497713781545557,0.4995004995005,"Arabidopsis"
"stouffer_p_mvn_cal","Stouffer",32100,1.01641031123654,0.0447663551401869,0.00838006230529595,0.49867017717485,0.496503496503497,"Arabidopsis"
"omni_p_mvn_compcal","Omnibus",32100,0.920259509163491,0.0499688473520249,0.0186915887850467,0.509100780178779,0.517606653841759,"Arabidopsis"
"acat_p_mvn_cal","ACAT",20900,0.997671530121193,0.0472248803827751,0.0105741626794258,0.499990248985464,0.500499500499501,"Fly Female"
"fisher_p_mvn_cal","Fisher",20900,0.993026414739649,0.0474641148325359,0.00913875598086124,0.5014639905549,0.501498501498502,"Fly Female"
"tfisher_p_mvn_cal","TFisher",20900,1.92274272210798,0.0325837320574163,0.0251196172248804,0.391541664077549,0.34965034965035,"Fly Female"
"minp_p_mvn_cal","minP",20900,1.0070091431337,0.0486124401913876,0.0111004784688995,0.498949901772868,0.498501498501498,"Fly Female"
"stouffer_p_mvn_cal","Stouffer",20900,0.988397018411168,0.0455980861244019,0.0091866028708134,0.502646348866445,0.502497502497502,"Fly Female"
"omni_p_mvn_compcal","Omnibus",20900,1.03857824287921,0.0479904306220096,0.0200478468899522,0.495711943708478,0.49184521968949,"Fly Female"
