method,alpha,n,observed,ci_lo,ci_hi,calibrated
omni_p_final,0.05,32720,0.999969437652812,0.999829729395749,0.999999226228662,FALSE
omni_p_final,0.01,32720,0.999969437652812,0.999829729395749,0.999999226228662,FALSE
omni_p_mvn,0.05,32720,0.999969437652812,0.999829729395749,0.999999226228662,FALSE
omni_p_mvn,0.01,32720,0.999969437652812,0.999829729395749,0.999999226228662,FALSE
omni_p_analytic,0.05,32720,0.269621026894866,0.264818052793491,0.274464927988278,FALSE
omni_p_analytic,0.01,32720,0.151955990220049,0.148082086153343,0.155891785653688,FALSE
acat_p,0.05,32720,0.199755501222494,0.195434877944471,0.204129487687736,FALSE
acat_p,0.01,32720,0.0681540342298289,0.0654465696619895,0.070938460530667,FALSE
fisher_p,0.05,32720,0.296546454767726,0.291600544171593,0.301528504737327,FALSE
fisher_p,0.01,32720,0.168398533007335,0.164358028929056,0.172497992131974,FALSE
minp_p_analytic,0.05,32720,0.163172371638142,0.159183222170923,0.167221409077346,FALSE
minp_p_analytic,0.01,32720,0.0602383863080685,0.0576842063557301,0.0628709726628075,FALSE
stouffer_p_analytic,0.05,32720,0.299602689486553,0.29464188953542,0.30459908550693,FALSE
stouffer_p_analytic,0.01,32720,0.169834963325183,0.165780593843861,0.17394803148918,FALSE
tfisher_p_analytic,0.05,32720,0.000702933985330073,0.000445650386137905,0.0010545605701646,FALSE
tfisher_p_analytic,0.01,32720,0.000702933985330073,0.000445650386137905,0.0010545605701646,FALSE
acat_p_mvn_cal,0.05,32720,0.198533007334963,0.19422247108643,0.202897124621723,FALSE
acat_p_mvn_cal,0.01,32720,0.0674205378973105,0.0647268031823122,0.0701913679064895,FALSE
fisher_p_mvn_cal,0.05,32720,0.26601466992665,0.261232503543879,0.270838404717914,FALSE
fisher_p_mvn_cal,0.01,32720,0.131448655256724,0.127805056249168,0.135157813495056,FALSE
tfisher_p_mvn_cal,0.05,32720,1,0.999887265540394,1,FALSE
tfisher_p_mvn_cal,0.01,32720,1,0.999887265540394,1,FALSE
minp_p_mvn_cal,0.05,32720,0.168765281173594,0.164721226896646,0.172868225040172,FALSE
minp_p_mvn_cal,0.01,32720,0.0623166259168704,0.059721068630743,0.0649902095536104,FALSE
stouffer_p_mvn_cal,0.05,32720,0.25210880195599,0.247410740640611,0.25685090537211,FALSE
stouffer_p_mvn_cal,0.01,32720,0.122738386308068,0.119201241188364,0.126342651009817,FALSE
omni_p_mvn_compcal,0.05,32720,0.999449877750611,0.999130708485138,0.999673931135727,FALSE
omni_p_mvn_compcal,0.01,32720,0.998624694376528,0.998160160770992,0.998996671228133,FALSE
