"pathway_id","pathway_name","n_genes","acat_p","fisher_p","tfisher_p_analytic","tau_hat","tfisher_stat_hat","minp_p_analytic","stouffer_p_analytic","magma_pvalue","omni_p_analytic","omni_p_analytic_BH","omni_p_global","omni_p_global_BH","omni_p_mvn","omni_p_mvn_BH","acat_p_mvn_cal","fisher_p_mvn_cal","tfisher_p_mvn_cal","minp_p_mvn_cal","stouffer_p_mvn_cal","omni_p_mvn_compcal","omni_p_final","omni_p_final_BH","omni_p_final_q_storey","omni_p_final_q_bky10","omni_p_final_q_ihw10","genes_used","gene_pvals_used"
"PWY-4","UDP-&alpha;-D-galacturonate biosynthesis II (from D-galacturonate)",2,0.0710448989534825,0.0779099761059759,0.712051171638384,0.05,0.585351562782084,0.0732341303208497,0.0194283167781017,NA,0.0934396133779004,0.999935487647523,NA,NA,0.0198019801980198,0.999439566598169,0.0495049504950495,0.0594059405940594,0.168316831683168,0.0495049504950495,0.0099009900990099,0.0485343123932512,0.0198019801980198,0.999439566598169,0.999439566598169,0.99943956659817,0.999439566598169,"AT3G10700;AT5G52560","4.015e-01;3.731e-02"
"PWY-5064","chlorophyll <i>a</i> biosynthesis II",2,0.00416919239776084,0.0135168764521105,0.512616713839094,0.005,1.79383981105729,0.00407408062484297,0.0118594929403311,NA,0.0202050966397879,0.999935487647523,NA,NA,0.0198019801980198,0.999439566598169,0.0099009900990099,0.0099009900990099,0.198019801980198,0.0099009900990099,0.0297029702970297,0.0485343123932512,0.0198019801980198,0.999439566598169,0.999439566598169,0.99943956659817,0.999439566598169,"AT1G74470;AT3G51820","2.039e-03;9.093e-01"
"PWY-5884","wax esters biosynthesis I",30,0.00181998352985926,9.35099697931754e-08,0,0.05,64.7539886525078,0.00590685247805566,2.54122249416507e-07,NA,4.9960036108132e-15,1.60371715907104e-12,NA,NA,0.0396039603960396,0.999439566598169,0.0099009900990099,0.0099009900990099,0.0099009900990099,0.0198019801980198,0.0099009900990099,0.0485343123932512,0.0396039603960396,0.999439566598169,0.999439566598169,0.99943956659817,0.999439566598169,"AT5G22500;AT3G56700;AT3G44560;AT3G11980;AT3G60060;AT3G44550;AT3G44540;AT1G72110;AT2G38995;AT2G43255;AT3G49190;AT3G49200;AT3G49210;AT5G12420;AT5G16350;AT5G22490;AT5G53380;AT5G53390;AT5G55380;AT5G55360;AT3G51970;AT1G34490;AT5G55320;AT5G55370;AT5G55340;AT5G55330;AT5G55350;AT1G34500;AT1G34520;AT5G51420","1.457e-01;6.377e-01;3.337e-01;4.312e-01;6.244e-01;3.742e-01;2.709e-01;5.003e-01;9.322e-01;4.977e-01;9.896e-01;9.147e-01;7.619e-01;3.481e-01;8.742e-01;7.453e-01;6.892e-01;9.009e-01;1.975e-04;5.697e-04;3.710e-01;4.374e-01;9.795e-04;9.663e-04;3.121e-04;5.670e-04;3.602e-04;4.980e-01;6.112e-01;6.123e-01"
"PWY-5936","xyloglucan biosynthesis",27,0.00547123721533784,0.749809580220067,4.43104065070976e-05,0.001,4.11745057570559,0.00343993629158868,0.250002139994878,NA,0.000221532399284241,0.0355559500851207,NA,NA,0.0396039603960396,0.999439566598169,0.0099009900990099,0.712871287128713,0.0099009900990099,0.0099009900990099,0.326732673267327,0.0485343123932512,0.0396039603960396,0.999439566598169,0.999439566598169,0.99943956659817,0.999439566598169,"AT3G28180;AT4G31590;AT4G07960;AT3G07330;AT2G24630;AT1G18690;AT4G02500;AT3G62720;AT1G74380;AT2G22900;AT4G38310;AT4G37690;AT5G07720;AT1G63450;AT1G68470;AT2G29040;AT2G31990;AT2G32740;AT2G32750;AT4G13990;AT4G22580;AT5G41250;AT5G62220;AT2G20370;AT1G74420;AT2G03210;AT2G03220","2.791e-01;9.317e-01;8.593e-01;3.976e-01;9.996e-01;4.332e-01;7.152e-01;7.613e-01;7.613e-02;3.407e-01;3.526e-01;7.483e-01;8.168e-01;5.759e-01;7.558e-01;4.278e-01;8.157e-01;8.882e-01;8.478e-01;7.977e-01;4.808e-01;9.225e-01;9.282e-01;8.944e-01;1.276e-04;4.271e-01;3.405e-01"
"PWY-622","starch biosynthesis",23,0.00877520988926049,0.555732562324431,0.000421799390322386,0.001,1.95480573741345,0.00861887466102679,0.102811072894348,NA,0.00210721855464013,0.225472385346494,NA,NA,0.0396039603960396,0.999439566598169,0.0198019801980198,0.564356435643564,0.0099009900990099,0.0198019801980198,0.0693069306930693,0.0485343123932512,0.0396039603960396,0.999439566598169,0.999439566598169,0.99943956659817,0.999439566598169,"AT5G51820;AT1G70820;AT5G17530;AT1G70730;AT1G23190;AT5G42740;AT4G24620;AT2G39930;AT1G03310;AT1G32900;AT5G03650;AT2G36390;AT5G24300;AT3G01180;AT4G18240;AT1G11720;AT5G65685;AT1G05610;AT5G48300;AT5G19220;AT4G39210;AT2G21590;AT1G27680","5.595e-01;8.897e-01;7.456e-01;9.001e-01;5.200e-01;9.116e-01;4.955e-01;2.655e-01;7.946e-01;4.163e-01;3.589e-01;7.155e-01;3.763e-04;6.367e-01;4.887e-01;2.554e-01;4.103e-01;4.705e-01;8.420e-01;8.151e-01;3.259e-01;2.517e-01;4.812e-01"
"PWY-5084","2-oxoglutarate decarboxylation to succinyl-CoA",7,0.0171384739845771,0.0811108037620284,0.523648085178231,0.005,1.40628872889506,0.0171977984870572,0.143964566540728,NA,0.0828050074929845,0.999935487647523,NA,NA,0.0792079207920792,0.999439566598169,0.0297029702970297,0.0594059405940594,0.564356435643564,0.0297029702970297,0.168316831683168,0.139950377530648,0.0792079207920792,0.999439566598169,0.999439566598169,0.99943956659817,0.999439566598169,"AT3G17240;AT3G16950;AT4G16155;AT4G26910;AT5G55070;AT5G65750;AT3G55410","5.532e-01;6.150e-01;4.622e-01;1.311e-01;2.475e-03;5.954e-01;5.836e-01"
"PWY-7193","pyrimidine ribonucleosides salvage I",18,0.0133423668432244,0.469953885185807,0.062815933844203,0.001,0.61893427309532,0.0131270102985136,0.607202249713666,NA,0.0639343396744624,0.999935487647523,NA,NA,0.0792079207920792,0.999439566598169,0.0198019801980198,0.485148514851485,0.0891089108910891,0.0198019801980198,0.584158415841584,0.0951655982647203,0.0792079207920792,0.999439566598169,0.999439566598169,0.99943956659817,0.999439566598169,"AT4G26510;AT3G27440;AT3G27190;AT1G03030;AT1G55810;AT5G40870;AT1G26190;AT1G73980;AT2G01460;AT4G29600;AT4G29620;AT4G29640;AT4G29570;AT4G29630;AT4G29650;AT4G29610;AT4G29580;AT2G19570","1.157e-01;7.196e-01;7.312e-01;4.470e-01;5.888e-01;6.073e-01;4.145e-01;7.338e-04;6.582e-01;6.693e-01;5.788e-01;8.450e-01;3.238e-01;6.960e-01;8.369e-01;3.615e-01;5.717e-01;6.211e-01"
"PWY-5863","superpathway of phylloquinol biosynthesis",15,0.0370707597898505,0.629056026708911,0.53554365955314,0.005,1.79383981105729,0.0301540332491802,0.57763776997905,NA,0.141947580431381,0.999935487647523,NA,NA,0.0891089108910891,0.999439566598169,0.0396039603960396,0.613861386138614,0.564356435643564,0.0297029702970297,0.693069306930693,0.139950377530648,0.0891089108910891,0.999439566598169,0.999439566598169,0.99943956659817,0.999439566598169,"AT4G38460;AT3G14530;AT3G14510;AT1G17050;AT1G78510;AT3G59380;AT4G36810;AT2G23800;AT3G14550;AT2G18640;AT3G20160;AT3G29430;AT2G18620;AT1G49530;AT1G74470","5.395e-01;8.108e-01;9.014e-01;7.680e-01;9.543e-01;3.507e-01;3.835e-01;3.248e-01;8.308e-01;8.504e-01;2.517e-01;8.496e-01;9.743e-01;3.823e-01;2.039e-03"
"PWY-6121","5-aminoimidazole ribonucleotide biosynthesis I",7,0.044397509544976,0.158415293971153,0.639068194343791,0.01,1.02595670657808,0.0411643970630272,0.0357422411777067,NA,0.166384635966317,0.999935487647523,NA,NA,0.0891089108910891,0.999439566598169,0.0297029702970297,0.128712871287129,0.485148514851485,0.0396039603960396,0.0495049504950495,0.139950377530648,0.0891089108910891,0.999439566598169,0.999439566598169,0.99943956659817,0.999439566598169,"AT3G55010;AT1G74260;AT1G31220;AT1G09830;AT4G38880;AT4G34740;AT2G16570","7.002e-01;5.987e-03;5.361e-01;8.897e-01;9.063e-01;9.367e-02;4.043e-01"
"PWY-6623","salicylate glucosides biosynthesis II",2,0.0941412192576089,0.11679048839528,0.747229803941776,0.05,0.0977545217302627,0.0929626219417214,0.0319610118305443,NA,0.149911296097663,0.999935487647523,NA,NA,0.0891089108910891,0.999439566598169,0.0891089108910891,0.0891089108910891,0.158415841584158,0.0693069306930693,0.0396039603960396,0.182944039766038,0.0891089108910891,0.999439566598169,0.999439566598169,0.99943956659817,0.999439566598169,"AT3G21750;AT1G73880","5.226e-01;4.761e-02"
