gene_set,ontology,n_input_genes,n_mapped_genes,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
Fst_IC_stover,MF,652,455,GO:0016846,carbon-sulfur lyase activity,5/455,16/27694,4.405238762685696e-6,0.0029471047322367303,0.0028008044343812216,Zm00001eb099170/Zm00001eb099180/Zm00001eb099190/Zm00001eb099200/Zm00001eb099210,5
Fst_J_grain,MF,642,442,GO:0009916,alternative oxidase activity,3/442,6/27694,7.792222494230114e-5,0.017038993187383184,0.015283692541314507,Zm00001eb071870/Zm00001eb071880/Zm00001eb071890,3
Fst_J_grain,BP,642,442,GO:0010230,alternative respiration,3/442,6/27694,7.792222494230114e-5,0.017038993187383184,0.015283692541314507,Zm00001eb071870/Zm00001eb071880/Zm00001eb071890,3
Fst_J_grain,MF,642,442,GO:0102721,ubiquinol:oxygen oxidoreductase activity,3/442,6/27694,7.792222494230114e-5,0.017038993187383184,0.015283692541314507,Zm00001eb071870/Zm00001eb071880/Zm00001eb071890,3
Fst_landraces_N,MF,759,622,GO:0003700,DNA-binding transcription factor activity,62/622,1476/27694,1.7692427441103288e-6,0.001652472722999047,0.0016183915206651324,Zm00001eb012280/Zm00001eb014150/Zm00001eb019780/Zm00001eb020640/Zm00001eb020850/Zm00001eb038660/Zm00001eb041610/Zm00001eb050320/Zm00001eb054480/Zm00001eb059970/Zm00001eb081930/Zm00001eb086280/Zm00001eb092180/Zm00001eb102580/Zm00001eb104260/Zm00001eb120710/Zm00001eb130350/Zm00001eb133740/Zm00001eb136060/Zm00001eb138370/Zm00001eb142060/Zm00001eb148990/Zm00001eb152350/Zm00001eb199170/Zm00001eb199530/Zm00001eb200970/Zm00001eb211480/Zm00001eb232000/Zm00001eb233110/Zm00001eb233420/Zm00001eb239450/Zm00001eb248380/Zm00001eb248590/Zm00001eb249840/Zm00001eb250230/Zm00001eb250240/Zm00001eb251200/Zm00001eb264910/Zm00001eb274260/Zm00001eb275820/Zm00001eb275860/Zm00001eb286490/Zm00001eb288080/Zm00001eb296020/Zm00001eb309370/Zm00001eb310260/Zm00001eb312850/Zm00001eb314890/Zm00001eb319580/Zm00001eb344540/Zm00001eb355310/Zm00001eb358700/Zm00001eb359810/Zm00001eb384240/Zm00001eb387280/Zm00001eb387490/Zm00001eb399800/Zm00001eb403750/Zm00001eb409460/Zm00001eb417170/Zm00001eb430000/Zm00001eb433040,62
Fst_landraces_N,MF,759,622,GO:0000976,transcription cis-regulatory region binding,29/622,573/27694,4.8394137082825876e-5,0.022600062017679685,0.02213395006577668,Zm00001eb020640/Zm00001eb029300/Zm00001eb029770/Zm00001eb035370/Zm00001eb038660/Zm00001eb086280/Zm00001eb101920/Zm00001eb138370/Zm00001eb143110/Zm00001eb199170/Zm00001eb199530/Zm00001eb227100/Zm00001eb233670/Zm00001eb240100/Zm00001eb248380/Zm00001eb248590/Zm00001eb248640/Zm00001eb282580/Zm00001eb286490/Zm00001eb296020/Zm00001eb310260/Zm00001eb311960/Zm00001eb344540/Zm00001eb359810/Zm00001eb363100/Zm00001eb385110/Zm00001eb385190/Zm00001eb411150/Zm00001eb430000,29
GWAS_Asn_Goodman,MF,754,538,GO:0047372,monoacylglycerol lipase activity,5/538,17/27694,1.3852348797278223e-5,0.008087568679497507,0.007897337223116769,Zm00001eb019170/Zm00001eb038250/Zm00001eb038270/Zm00001eb038280/Zm00001eb038290,5
GWAS_Asn_Goodman,BP,754,538,GO:0046148,pigment biosynthetic process,5/538,18/27694,1.8874139275373412e-5,0.008087568679497507,0.007897337223116769,Zm00001eb014350/Zm00001eb014370/Zm00001eb014390/Zm00001eb014420/Zm00001eb014430,5
GWAS_Asp_Goodman,MF,410,275,GO:0043295,glutathione binding,4/275,18/27694,2.6084925334625346e-5,0.013277226995324302,0.01172448749251055,Zm00001eb002780/Zm00001eb002790/Zm00001eb002800/Zm00001eb002810,4
GWAS_Gln_Goodman,BP,471,345,GO:0009101,glycoprotein biosynthetic process,10/345,118/27694,2.3423952933076152e-6,0.0015272417312365652,0.0013783147041673233,Zm00001eb000640/Zm00001eb002220/Zm00001eb003600/Zm00001eb003610/Zm00001eb003620/Zm00001eb003630/Zm00001eb003650/Zm00001eb041280/Zm00001eb046620/Zm00001eb046630,10
GWAS_Gln_Goodman,BP,471,345,GO:0051453,regulation of intracellular pH,5/345,26/27694,1.5460474732659882e-5,0.0050401147628471215,0.004548634408187829,Zm00001eb000210/Zm00001eb000570/Zm00001eb000720/Zm00001eb000750/Zm00001eb033240,5
GWAS_Gln_Goodman,MF,471,345,GO:0015386,potassium:proton antiporter activity,4/345,17/27694,4.9551719194004976e-5,0.010769240304830415,0.0097190915892802765,Zm00001eb000720/Zm00001eb000750/Zm00001eb002040/Zm00001eb033240,4
GWAS_Protein_Goodman,BP,550,405,GO:0009101,glycoprotein biosynthetic process,12/405,118/27694,1.7210952833864873e-7,1.2254198417711789e-4,1.1449812832634314e-4,Zm00001eb000640/Zm00001eb002220/Zm00001eb003600/Zm00001eb003610/Zm00001eb003620/Zm00001eb003630/Zm00001eb003650/Zm00001eb041280/Zm00001eb046620/Zm00001eb046630/Zm00001eb061350/Zm00001eb061380,12
GWAS_Protein_Goodman,BP,550,405,GO:0006749,glutathione metabolic process,8/405,62/27694,3.3119443951761932e-6,0.0011790522046827249,0.0011016572935533442,Zm00001eb004790/Zm00001eb021610/Zm00001eb021620/Zm00001eb021630/Zm00001eb021640/Zm00001eb021650/Zm00001eb021690/Zm00001eb021710,8
