"pathway_id","pathway_name","n_genes","calib_mode","acat_p","fisher_p","tfisher_p_analytic","tau_hat","tfisher_stat_hat","minp_p_analytic","stouffer_p_analytic","magma_pvalue","omni_p_analytic","omni_p_analytic_BH","omni_p_global","omni_p_global_BH","omni_p_mvn","omni_p_mvn_BH","acat_p_mvn_cal","fisher_p_mvn_cal","tfisher_p_mvn_cal","minp_p_mvn_cal","stouffer_p_mvn_cal","omni_p_mvn_compcal","omni_p_final","omni_p_final_BH","omni_p_final_q_storey","omni_p_final_q_bky10","omni_p_final_q_ihw10","genes_used","gene_pvals_used"
"PWY-5884","wax esters biosynthesis I",30,"mvn",0.00181998352985926,9.35099697931754e-08,1e-50,0.05,64.7539886525078,0.00590685247805566,2.54122249416507e-07,NA,5.55111512312578e-17,1.78190795452338e-14,NA,NA,7.6999923000077e-05,0.0247169752830247,NA,NA,NA,NA,NA,NA,7.6999923000077e-05,0.0247169752830247,0.0247169752830247,0.0247942158307842,0.0247169752830247,"AT5G22500;AT3G56700;AT3G44560;AT3G11980;AT3G60060;AT3G44550;AT3G44540;AT1G72110;AT2G38995;AT2G43255;AT3G49190;AT3G49200;AT3G49210;AT5G12420;AT5G16350;AT5G22490;AT5G53380;AT5G53390;AT5G55380;AT5G55360;AT3G51970;AT1G34490;AT5G55320;AT5G55370;AT5G55340;AT5G55330;AT5G55350;AT1G34500;AT1G34520;AT5G51420","1.457e-01;6.377e-01;3.337e-01;4.312e-01;6.244e-01;3.742e-01;2.709e-01;5.003e-01;9.322e-01;4.977e-01;9.896e-01;9.147e-01;7.619e-01;3.481e-01;8.742e-01;7.453e-01;6.892e-01;9.009e-01;1.975e-04;5.697e-04;3.710e-01;4.374e-01;9.795e-04;9.663e-04;3.121e-04;5.670e-04;3.602e-04;4.980e-01;6.112e-01;6.123e-01"
"PWY-5936","xyloglucan biosynthesis",27,"mvn",0.00547123721533784,0.749809580220067,0.000184932890674228,0.001,4.11745057570559,0.00343993629158868,0.250002139994878,NA,0.00085021986269751,0.13646028796295,NA,NA,0.00111999888000112,0.17975982024018,NA,NA,NA,NA,NA,NA,0.00111999888000112,0.17975982024018,0.17975982024018,0.18032156967843,0.17975982024018,"AT3G28180;AT4G31590;AT4G07960;AT3G07330;AT2G24630;AT1G18690;AT4G02500;AT3G62720;AT1G74380;AT2G22900;AT4G38310;AT4G37690;AT5G07720;AT1G63450;AT1G68470;AT2G29040;AT2G31990;AT2G32740;AT2G32750;AT4G13990;AT4G22580;AT5G41250;AT5G62220;AT2G20370;AT1G74420;AT2G03210;AT2G03220","2.791e-01;9.317e-01;8.593e-01;3.976e-01;9.996e-01;4.332e-01;7.152e-01;7.613e-01;7.613e-02;3.407e-01;3.526e-01;7.483e-01;8.168e-01;5.759e-01;7.558e-01;4.278e-01;8.157e-01;8.882e-01;8.478e-01;7.977e-01;4.808e-01;9.225e-01;9.282e-01;8.944e-01;1.276e-04;4.271e-01;3.405e-01"
"PWY-622","starch biosynthesis",23,"mvn",0.00877520988926049,0.555732562324431,0.00111052082971586,0.001,1.95480573741345,0.00861887466102679,0.102811072894348,NA,0.00438865304820973,0.469585876158442,NA,NA,0.00646299353700646,0.597701402298598,NA,NA,NA,NA,NA,NA,0.00646299353700646,0.597701402298598,0.597701402298598,0.599569219180781,0.597701402298598,"AT5G51820;AT1G70820;AT5G17530;AT1G70730;AT1G23190;AT5G42740;AT4G24620;AT2G39930;AT1G03310;AT1G32900;AT5G03650;AT2G36390;AT5G24300;AT3G01180;AT4G18240;AT1G11720;AT5G65685;AT1G05610;AT5G48300;AT5G19220;AT4G39210;AT2G21590;AT1G27680","5.595e-01;8.897e-01;7.456e-01;9.001e-01;5.200e-01;9.116e-01;4.955e-01;2.655e-01;7.946e-01;4.163e-01;3.589e-01;7.155e-01;3.763e-04;6.367e-01;4.887e-01;2.554e-01;4.103e-01;4.705e-01;8.420e-01;8.151e-01;3.259e-01;2.517e-01;4.812e-01"
"PWY-5064","chlorophyll <i>a</i> biosynthesis II",2,"mvn",0.00416919239776084,0.0135168764521105,0.512616716992225,0.005,1.79383981105729,0.00407408062484297,0.0118594929403311,NA,0.00776996432386362,0.623539636990056,NA,NA,0.00744799255200745,0.597701402298598,NA,NA,NA,NA,NA,NA,0.00744799255200745,0.597701402298598,0.597701402298598,0.599569219180781,0.597701402298598,"AT1G74470;AT3G51820","2.039e-03;9.093e-01"
"PWY-7193","pyrimidine ribonucleosides salvage I",18,"mvn",0.0133423668432244,0.469953885185807,0.0638545089115686,0.001,0.61893427309532,0.0131270102985136,0.607202249713666,NA,0.0300872067530539,0.999999464264088,NA,NA,0.0365849634150366,0.999978000022,NA,NA,NA,NA,NA,NA,0.0365849634150366,0.999978000022,0.999978000022,1,0.999978000022,"AT4G26510;AT3G27440;AT3G27190;AT1G03030;AT1G55810;AT5G40870;AT1G26190;AT1G73980;AT2G01460;AT4G29600;AT4G29620;AT4G29640;AT4G29570;AT4G29630;AT4G29650;AT4G29610;AT4G29580;AT2G19570","1.157e-01;7.196e-01;7.312e-01;4.470e-01;5.888e-01;6.073e-01;4.145e-01;7.338e-04;6.582e-01;6.693e-01;5.788e-01;8.450e-01;3.238e-01;6.960e-01;8.369e-01;3.615e-01;5.717e-01;6.211e-01"
"PWY-5084","2-oxoglutarate decarboxylation to succinyl-CoA",7,"mvn",0.0171384739845771,0.0811108037620284,0.52386253483445,0.005,1.40628872889506,0.0171977984870572,0.143964566540728,NA,0.0369599540611275,0.999999464264088,NA,NA,0.0419239580760419,0.999978000022,NA,NA,NA,NA,NA,NA,0.0419239580760419,0.999978000022,0.999978000022,1,0.999978000022,"AT3G17240;AT3G16950;AT4G16155;AT4G26910;AT5G55070;AT5G65750;AT3G55410","5.532e-01;6.150e-01;4.622e-01;1.311e-01;2.475e-03;5.954e-01;5.836e-01"
"PWY-4","UDP-&alpha;-D-galacturonate biosynthesis II (from D-galacturonate)",2,"mvn",0.0710448989534825,0.0779099761059759,0.712370851746981,0.05,0.585351562782084,0.0732341303208497,0.0194283167781017,NA,0.0557513972528015,0.999999464264088,NA,NA,0.0506519493480507,0.999978000022,NA,NA,NA,NA,NA,NA,0.0506519493480507,0.999978000022,0.999978000022,1,0.999978000022,"AT3G10700;AT5G52560","4.015e-01;3.731e-02"
"PWY-6122","5-aminoimidazole ribonucleotide biosynthesis II",7,"mvn",0.044397509544976,0.158415293971153,0.639779466644236,0.01,1.02595670657808,0.0411643970630272,0.0357422411777067,NA,0.0627067356638192,0.999999464264088,NA,NA,0.0675059324940675,0.999978000022,NA,NA,NA,NA,NA,NA,0.0675059324940675,0.999978000022,0.999978000022,1,0.999978000022,"AT1G31220;AT3G55010;AT1G74260;AT1G09830;AT4G38880;AT4G34740;AT2G16570","5.361e-01;7.002e-01;5.987e-03;8.897e-01;9.063e-01;9.367e-02;4.043e-01"
"PWY-6121","5-aminoimidazole ribonucleotide biosynthesis I",7,"mvn",0.044397509544976,0.158415293971153,0.639778243024171,0.01,1.02595670657808,0.0411643970630272,0.0357422411777067,NA,0.0627067242201744,0.999999464264088,NA,NA,0.0681509318490681,0.999978000022,NA,NA,NA,NA,NA,NA,0.0681509318490681,0.999978000022,0.999978000022,1,0.999978000022,"AT3G55010;AT1G74260;AT1G31220;AT1G09830;AT4G38880;AT4G34740;AT2G16570","7.002e-01;5.987e-03;5.361e-01;8.897e-01;9.063e-01;9.367e-02;4.043e-01"
"PWY-7343","UDP-&alpha;-D-glucose biosynthesis I",10,"mvn",0.0348612864403876,0.225772218070314,0.534369459570507,0.005,0.731782367327757,0.0341427057685569,0.056482142477785,NA,0.0627977363833218,0.999999464264088,NA,NA,0.0731399268600731,0.999978000022,NA,NA,NA,NA,NA,NA,0.0731399268600731,0.999978000022,0.999978000022,1,0.999978000022,"AT5G51820;AT1G70820;AT5G17530;AT1G70730;AT1G23190;AT3G56040;AT5G17310;AT3G03250;AT2G35020;AT5G52560","5.595e-01;8.897e-01;7.456e-01;9.001e-01;5.200e-01;7.443e-01;3.618e-01;8.353e-01;3.468e-03;3.731e-02"
