"GENE","magma_p","magma_fdr","magma_rank","gwas_min_p","gwas_n_snps","gwas_rank","n_top_pathways","best_pathway_p","pathway_rank","pathways","hit_gwas","hit_magma","hit_pathway","support_layers","score"
"FBgn0015781",0.0002558,0.403172775,8,3.77598958185754e-06,1118,23,1,0.081991800819918,9,"FLYCYC:ARG-PRO-PWY",TRUE,TRUE,TRUE,3,4.36933977072202
"FBgn0036622",0.0074475,0.7011829875,125,1.09546775822797e-05,649,97,1,0.104689531046895,17,"FLYCYC:PWY-7250",TRUE,TRUE,TRUE,3,4.01964761218803
"FBgn0036623",0.0082233,0.705112092,145,1.09546775822797e-05,666,97,1,0.104689531046895,17,"FLYCYC:PWY-7250",TRUE,TRUE,TRUE,3,4.01104048769523
"FBgn0030904",1.2252e-05,0.077242734,2,2.220503606984e-07,802,1,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,3.64771345407531
"FBgn0034479",8.4141e-06,0.077242734,1,1.68339194592765e-06,836,4,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,3.59237994165669
"FBgn0038673",0.00016703,0.403172775,3,3.77598958185754e-06,1095,23,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,3.29773802503849
"FBgn0038672",0.00020019,0.403172775,4,3.77598958185754e-06,1093,23,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,3.28200844534715
"FBgn0027785",0.00021915,0.403172775,6,3.77598958185754e-06,1096,23,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,3.27414862626324
"FBgn0038674",0.00023806,0.403172775,7,3.77598958185754e-06,1121,23,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,3.26695963540885
"FBgn0053639",0.0010174,0.7011829875,16,2.220503606984e-07,792,1,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,3.26385650504315
"FBgn0260779",0.00034224,0.47947824,9,3.77598958185754e-06,1154,23,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,3.23543076781574
"FBgn0027784",0.00040896,0.515657664,10,3.77598958185754e-06,1118,23,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,3.21996075483277
"FBgn0038675",0.00068799,0.7011829875,12,3.77598958185754e-06,1096,23,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,3.17478049610726
