"pathway_id","pathway_name","n_genes","omnibus_p","n_components_support","supporting_components"
"PWY-5884","wax esters biosynthesis I",30,0.0003999600039996,5,"ACAT, Fisher, TFisher, minP, Stouffer"
"PWY-5064","chlorophyll <i>a</i> biosynthesis II",2,0.0004999500049995,5,"ACAT, Fisher, TFisher, minP, Stouffer"
"PWY-5936","xyloglucan biosynthesis",27,0.0016998300169983,3,"ACAT, TFisher, minP"
"PWY-5084","2-oxoglutarate decarboxylation to succinyl-CoA",7,0.0037996200379962,4,"ACAT, Fisher, TFisher, minP"
"PWY-622","starch biosynthesis",23,0.005999400059994,3,"ACAT, TFisher, minP"
"PWY-7193","pyrimidine ribonucleosides salvage I",18,0.0080991900809919,3,"ACAT, TFisher, minP"
"PWY-7343","UDP-&alpha;-D-glucose biosynthesis I",10,0.0457954204579542,4,"ACAT, TFisher, minP, Stouffer"
"PWY-4","UDP-&alpha;-D-galacturonate biosynthesis II (from D-galacturonate)",2,0.0468953104689531,4,"ACAT, Fisher, minP, Stouffer"
"PWY-5863","superpathway of phylloquinol biosynthesis",15,0.0511948805119488,3,"ACAT, TFisher, minP"
"PWY-6122","5-aminoimidazole ribonucleotide biosynthesis II",7,0.0570942905709429,3,"ACAT, minP, Stouffer"
"PWY-6121","5-aminoimidazole ribonucleotide biosynthesis I",7,0.0574942505749425,3,"ACAT, minP, Stouffer"
"PWY-6287","neurosporene biosynthesis",3,0.0642935706429357,3,"ACAT, minP, Stouffer"
"PWY-6623","salicylate glucosides biosynthesis II",2,0.0666933306669333,3,"ACAT, minP, Stouffer"
"UDPNACETYLGALSYN-PWY","UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis II",13,0.0868913108689131,3,"ACAT, TFisher, minP"
"PYRIDNUCSYN-PWY","NAD <i>de novo</i> biosynthesis I (from aspartate)",5,0.0876912308769123,3,"ACAT, Fisher, minP"
"PWY-6066","IAA biosynthesis VII",2,0.0940905909409059,1,"Stouffer"
