"GENE","magma_p","magma_fdr","magma_rank","gwas_min_p","gwas_n_snps","gwas_rank","n_top_pathways","best_pathway_p","pathway_rank","pathways","hit_gwas","hit_magma","hit_pathway","support_layers","score"
"AT1G74420",8.4822e-07,0.001594257764,15,8.12968798062806e-10,431,22,1,0.0016998300169983,33,"PWY-5936",TRUE,TRUE,TRUE,3,5.40025036115466
"AT5G55380",1.1785e-06,0.00195443826470588,17,2.50854239523299e-08,605,88,1,0.0003999600039996,1,"PWY-5884",TRUE,TRUE,TRUE,3,5.28559028170757
"AT5G55340",2.1799e-06,0.00272319864347826,22,2.50854239523299e-08,470,88,1,0.0003999600039996,1,"PWY-5884",TRUE,TRUE,TRUE,3,5.23216888480315
"AT5G55350",2.5761e-06,0.0027572754,25,2.50854239523299e-08,514,88,1,0.0003999600039996,1,"PWY-5884",TRUE,TRUE,TRUE,3,5.21766365555596
"AT5G55360",4.5776e-06,0.003162742,37,2.50854239523299e-08,545,88,1,0.0003999600039996,1,"PWY-5884",TRUE,TRUE,TRUE,3,5.1677286309874
"AT5G55330",4.6099e-06,0.003162742,38,2.50854239523299e-08,470,88,1,0.0003999600039996,1,"PWY-5884",TRUE,TRUE,TRUE,3,5.16711789816306
"AT1G74470",2.4623e-05,0.00889995178205128,78,8.12968798062806e-10,388,22,2,0.0004999500049995,31,"PWY-5064; PWY-5863",TRUE,TRUE,TRUE,3,5.16083176151754
"AT5G55370",8.6168e-06,0.004858668848,50,2.50854239523299e-08,581,88,1,0.0003999600039996,1,"PWY-5884",TRUE,TRUE,TRUE,3,5.11278699650316
"AT5G55320",9.2081e-06,0.00499238390961539,52,2.50854239523299e-08,466,88,1,0.0003999600039996,1,"PWY-5884",TRUE,TRUE,TRUE,3,5.10702219366223
"AT5G24300",2.4817e-06,0.0027572754,24,1.22519527559259e-07,1234,257,1,0.005999400059994,67,"PWY-622",TRUE,TRUE,TRUE,3,5.03441883020133
"AT1G73980",7.9023e-06,0.00454672538571429,49,5.57827300549161e-08,411,167,1,0.0080991900809919,90,"PWY-7193",TRUE,TRUE,TRUE,3,4.9549551617094
"AT1G74453",4.5229e-08,0.0006375705985,1,8.12968798062806e-10,385,22,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,4.37790921509569
"AT1G74456",4.5229e-08,0.0006375705985,1,8.12968798062806e-10,385,22,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,4.37790921509569
"AT1G15960",2.0585e-07,0.00072544113125,8,7.94862596931591e-11,453,1,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,4.34726061960373
"AT1G74458",6.9303e-08,0.000651286493,3,8.12968798062806e-10,390,22,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,4.34084220527487
"AT1G15980",3.0519e-07,0.00078220197,11,7.94862596931591e-11,395,1,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,4.31305673402695
"AT1G74450",1.315e-07,0.00072544113125,5,8.12968798062806e-10,386,22,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,4.28520746167608
"AT1G74440",2.7662e-07,0.00078220197,9,8.12968798062806e-10,398,22,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,4.22061589684389
"AT1G74448",2.9712e-07,0.00078220197,10,8.12968798062806e-10,373,22,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,4.21440623496209
"AT1G15920",1.4039e-06,0.00208316593157895,19,7.94862596931591e-11,428,1,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,4.18050355906308
"AT1G15930",1.5874e-06,0.0021311222952381,21,7.94862596931591e-11,429,1,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,4.1698335186765
"AT5G28180",1.2182e-07,0.00072544113125,4,1.72647355442829e-08,937,84,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,4.15914028793172
"AT1G74430",6.9095e-07,0.00139142523928571,14,8.12968798062806e-10,383,22,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,4.141103288008
"AT1G15940",2.7193e-06,0.0027572754,27,7.94862596931591e-11,441,1,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,4.12307936933289
"AT1G74460",1.0612e-06,0.001869900725,16,8.12968798062806e-10,395,22,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,4.10383316397917
"AT1G15950",4.2356e-06,0.003162742,35,7.94862596931591e-11,459,1,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,4.08458780594383
"AT1G15970",4.3327e-06,0.003162742,36,7.94862596931591e-11,389,1,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,4.08261907004256
"AT5G28190",5.1883e-07,0.00121894784916667,12,1.72647355442829e-08,1071,84,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,4.03327899094663
"AT1G74410",2.9399e-06,0.00277729243,29,8.12968798062806e-10,494,22,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,4.01532610059328
"AT5G55550",1.3504e-06,0.00208316593157895,18,1.16685645210072e-08,443,66,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,3.96720577094661
"AT3G20740",2.2216e-06,0.00272319864347826,23,4.73791379565428e-09,530,41,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,3.96310811118621
"AT5G55560",1.5607e-06,0.0021311222952381,20,1.16685645210072e-08,473,66,NA,NA,NA,NA,TRUE,TRUE,FALSE,2,3.95463437072803
