"GENE","magma_p","magma_fdr","gwas_min_p","gwas_n_snps","n_top_pathways","best_pathway_p","pathways","hit_gwas","hit_magma","hit_pathway","support_layers","score"
"FBgn0000109",0.00061198,0.656945065384615,1.20800718919384e-07,1090,1,0.148585141485851,"FLYCYC:PWY66-162",TRUE,TRUE,TRUE,3,4.41724806403827
"FBgn0032234",0.0019507,0.656945065384615,6.68804831655123e-06,859,1,0.161583841615838,"FLYCYC:PWY0-1301",TRUE,TRUE,TRUE,3,4.13859217009763
"FBgn0035290",0.00033512,0.656945065384615,1.20800718919384e-07,1549,NA,NA,NA,TRUE,TRUE,FALSE,2,3.38675297863911
"FBgn0052296",0.00055563,0.656945065384615,1.91606247055285e-07,2090,NA,NA,NA,TRUE,TRUE,FALSE,2,3.32280189625418
"FBgn0262624",0.00089062,0.656945065384615,1.20800718919384e-07,1214,NA,NA,NA,TRUE,TRUE,FALSE,2,3.30185455940228
"FBgn0264606",0.0018502,0.656945065384615,1.91606247055285e-07,2562,NA,NA,NA,TRUE,TRUE,FALSE,2,3.21831529822186
"FBgn0033516",0.00048011,0.656945065384615,2.90632698492383e-06,896,NA,NA,NA,TRUE,TRUE,FALSE,2,3.21739740221182
"FBgn0036405",0.00044592,0.656945065384615,4.48644042503938e-06,1110,NA,NA,NA,TRUE,TRUE,FALSE,2,3.2049584192086
"FBgn0283503",0.00045399,0.656945065384615,4.48644042503938e-06,1085,NA,NA,NA,TRUE,TRUE,FALSE,2,3.20340055212365
"FBgn0036406",0.00052094,0.656945065384615,4.48644042503938e-06,1114,NA,NA,NA,TRUE,TRUE,FALSE,2,3.1914522683425
"FBgn0053477",0.00075448,0.656945065384615,2.90632698492383e-06,900,NA,NA,NA,TRUE,TRUE,FALSE,2,3.17813600620113
"FBgn0026756",0.0014819,0.656945065384615,1.44008374281569e-06,660,NA,NA,NA,TRUE,TRUE,FALSE,2,3.14999744562921
"FBgn0053476",0.0011804,0.656945065384615,2.90632698492383e-06,923,NA,NA,NA,TRUE,TRUE,FALSE,2,3.13925971240465
"FBgn0053475",0.0013315,0.656945065384615,2.90632698492383e-06,943,NA,NA,NA,TRUE,TRUE,FALSE,2,3.12879731841525
"FBgn0015803",0.0022153,0.656945065384615,1.44008374281569e-06,841,NA,NA,NA,TRUE,TRUE,FALSE,2,3.11507471573611
"FBgn0032856",0.0024249,0.656945065384615,1.44008374281569e-06,785,NA,NA,NA,TRUE,TRUE,FALSE,2,3.1072224585323
"FBgn0032853",0.0011488,0.656945065384615,8.07584817525129e-06,788,NA,NA,NA,TRUE,TRUE,FALSE,2,3.09723230005271
"FBgn0032235",0.0019793,0.656945065384615,6.68804831655123e-06,829,NA,NA,NA,TRUE,TRUE,FALSE,2,3.0581677348756
"FBgn0050005",0.0059179,0.689723169827586,1.00485226336694e-05,1149,1,0.0954904509549045,"FLYCYC:PWY-7942",FALSE,TRUE,TRUE,2,3.04736025961682
"FBgn0050000",0.0059863,0.689723169827586,1.00485226336694e-05,1169,1,0.0954904509549045,"FLYCYC:PWY-7942",FALSE,TRUE,TRUE,2,3.04636208856859
"FBgn0050496",0.0032665,0.656945065384615,3.25600762850466e-06,1110,NA,NA,NA,TRUE,TRUE,FALSE,2,3.04591492612209
"FBgn0261698",0.0037896,0.656945065384615,2.90632698492383e-06,3040,NA,NA,NA,TRUE,TRUE,FALSE,2,3.03794687822626
"FBgn0033438",0.0029992,0.656945065384615,4.92141544586941e-06,2797,NA,NA,NA,TRUE,TRUE,FALSE,2,3.03538991172182
"FBgn0085332",0.0040199,0.656945065384615,3.32202966104307e-06,1019,NA,NA,NA,TRUE,TRUE,FALSE,2,3.02701659950201
"FBgn0032233",0.0028413,0.656945065384615,6.68804831655123e-06,942,NA,NA,NA,TRUE,TRUE,FALSE,2,3.02676664154156
"FBgn0085245",0.0042993,0.657914431034483,3.25600762850466e-06,1094,NA,NA,NA,TRUE,TRUE,FALSE,2,3.02205190848272
"FBgn0032857",0.0067644,0.689828690769231,1.44008374281569e-06,1165,NA,NA,NA,TRUE,TRUE,FALSE,2,3.01811536906238
"FBgn0004106",0.003296,0.656945065384615,6.68804831655123e-06,824,NA,NA,NA,TRUE,TRUE,FALSE,2,3.01387261920285
"FBgn0050493",0.0051952,0.689723169827586,3.25600762850466e-06,1164,NA,NA,NA,TRUE,TRUE,FALSE,2,3.00561100437087
