"pathway_id","pathway_name","omni_p_female","omni_p_male"
"FLYCYC:PWY-5691","urate conversion to allantoin I",0.137386261373863,0.166783321667833
"FLYCYC:PWY-8043","ophthalmate biosynthesis",0.145885411458854,0.160883911608839
"FLYCYC:GLYSYN-ALA-PWY","glycine biosynthesis III",0.157284271572843,0.168483151684832
"FLYCYC:HOMOCYSDEGR-PWY","L-cysteine biosynthesis III (from L-homocysteine)",0.161083891610839,0.142885711428857
"FLYCYC:PWY0-1587","N6-L-threonylcarbamoyladenosine37-modified tRNA biosynthesis",0.165883411658834,0.157584241575842
"FLYCYC:PWY-7619","juniperonate biosynthesis",0.168183181681832,0.162883711628837
"FLYCYC:LIPASYN-PWY","phospholipases",0.170782921707829,0.170682931706829
