pathway_id,pathway_name,n_genes,omni_p_final,omni_p_mvn,omni_p_analytic,omni_p_mvn_compcal,acat_p,fisher_p,minp_p_analytic,stouffer_p_analytic,tfisher_p_analytic,tfisher_p_min,tau_hat,acat_p_mvn_cal,fisher_p_mvn_cal,tfisher_p_mvn_cal,minp_p_mvn_cal,stouffer_p_mvn_cal,perm
PWY-861,dhurrin biosynthesis,25,2.11043591517019e-07,2.11043591517019e-07,1.45439216225896e-14,,2.05716962085223e-06,8.57072641908814e-08,2.24932257145946e-06,0.000298142946894179,2.88657986402541e-15,1.20241616663463e-09,0.01,,,,,,1
LIPAS-PWY,triacylglycerol degradation,117,0.000175093254380928,0.000175093254380928,1.25179348220428e-07,,0.00953854909109558,9.59049891835695e-07,0.0191569959093853,7.52259506567534e-06,2.57951999760309e-08,9.59049891835484e-07,1,,,,,,1
PWY-4203,volatile benzenoid biosynthesis I (ester formation),28,0.000219754174514794,0.000219754174514794,1.39999123405232e-13,,0.0025918829773955,7.66299145570189e-09,0.00529551246766487,2.43282219126974e-06,2.79776202205539e-14,7.26660986938299e-09,0.5,,,,,,1
PWY-3101,flavonol biosynthesis,33,0.000281224076121309,0.000281224076121309,1.58618673751221e-11,,0.0230974934194066,6.53223124551213e-08,0.0889718971193746,3.69433690797711e-08,3.17279535977377e-12,6.53223124480462e-08,1,,,,,,1
PWY-7184,pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I,42,0.000358247416391974,0.000358247416391974,1.3804894747893e-06,,0.0314494182847781,3.22333624587408e-05,0.0723025406567051,0.00104161847225963,2.78561257394117e-07,1.67569593976236e-05,0.5,,,,,,1
PWY-5687,pyrimidine ribonucleotides interconversion,33,0.000605676923853051,0.000605676923853051,3.15015837326627e-06,,0.0370593851276016,4.54335621825123e-05,0.0572626423990253,0.00039946627250806,6.39932770996055e-07,3.67490737552822e-05,0.5,,,,,,1
PWY-7995,tricin biosynthesis,24,0.00115774114060096,0.00115774114060096,2.87089074735292e-10,,0.0193615211027166,6.43338003778984e-07,0.0655231156365531,2.98750458128165e-07,5.74339464876061e-11,6.43338003758487e-07,1,,,,,,1
PWY-7185,UTP and CTP dephosphorylation I,26,0.00141311875571551,0.00141311875571551,2.10429145380275e-05,,0.0296352571636745,0.000141925143044592,0.0453965728087012,0.000236117407535526,4.41944026774443e-06,0.000141925143044563,1,,,,,,1
OXIDATIVEPENT-PWY,pentose phosphate pathway (oxidative branch) I,12,0.00186361352826598,0.00186361352826598,7.94942567624024e-05,,0.0238644152045915,0.000642282309583575,0.0318672503981958,0.000213437019663093,1.76733537210483e-05,0.000642282309583631,1,,,,,,1
PWY-6498,eumelanin biosynthesis,3,0.00250511124573241,0.00250511124573241,1.165510538359e-06,,0.000642412539099573,0.00314091789712542,0.000638504055964073,0.0891252297095733,2.332898331181e-07,0.000656853886251252,0.01,,,,,,1
PWY18C3-22,methylsalicylate biosynthesis,4,0.0032294953829444,0.0032294953829444,1.8095559698561e-05,,0.00707068429380102,0.00120038399964924,0.00764120637485254,0.00228691305862177,3.63942998971023e-06,0.00107478911929315,0.5,,,,,,1
PWY-6352,3-phosphoinositide biosynthesis,42,0.00345084072207296,0.00345084072207296,0.000746581387648659,,0.00211155449540311,0.0170091436389902,0.00213246930051365,0.119365289273289,0.000175810144792732,0.000900900409892769,0.05,,,,,,1
PWY-46,putrescine biosynthesis III,6,0.00398575394496854,0.00398575394496854,2.55478130928299e-07,,0.00985110503693477,0.000149259822371976,0.0149201901964354,8.24955056402383e-05,5.11452528106915e-08,0.000149259822372017,1,,,,,,1
PWY-2261,ascorbate glutathione cycle,20,0.00649675162418791,0.00649675162418791,0.000223425565794688,,0.0943165532159207,0.000733668939934956,0.381909755144375,0.000381265425154547,5.44026782085538e-05,0.000733668939934984,1,,,,,,1
THIOREDOX-PWY,thioredoxin pathway,20,0.00699650174912544,0.00699650174912544,0.00132098950756376,,0.00169039518930067,0.0136725997453816,0.00169760959539664,0.0249830861159474,0.000401388470709141,0.00233348539457923,0.01,,,,,,1
ALANINE-DEG3-PWY,L-alanine degradation III,5,0.00899550224887556,0.00899550224887556,6.09452402078325e-05,,0.0127248274359655,0.00131468092372091,0.0187143158332008,0.00166480717639459,1.2415012866307e-05,0.00131468092372089,1,,,,,,1
ALANINE-SYN2-PWY,L-alanine biosynthesis II,5,0.00899550224887556,0.00899550224887556,6.09452402068333e-05,,0.0127248274359655,0.00131468092372091,0.0187143158332008,0.00166480717639459,1.24150128660849e-05,0.00131468092372089,1,,,,,,1
PWY-6745,phytochelatins biosynthesis,4,0.00899550224887556,0.00899550224887556,9.54813877795946e-06,,0.0199236103570959,0.00087069880532817,0.0258060407380835,0.00022612667821168,1.93049195718054e-06,0.000870698805328196,1,,,,,,1
PWY-8028,cycloartenol biosynthesis,7,0.0109945027486257,0.0109945027486257,0.000341491241613312,,0.010118928127212,0.0295762913944364,0.0193108447064833,0.359962220891434,6.9175648819475e-05,0.00194999669657325,0.05,,,,,,1
