pathway_id,pathway_name,n_genes,omni_p_final,omni_p_mvn,omni_p_analytic,omni_p_mvn_compcal,acat_p,fisher_p,minp_p_analytic,stouffer_p_analytic,tfisher_p_analytic,tfisher_p_min,tau_hat,acat_p_mvn_cal,fisher_p_mvn_cal,tfisher_p_mvn_cal,minp_p_mvn_cal,stouffer_p_mvn_cal,perm
PWY4LZ-81,Organic Nitrogen Assimilation,20,0.116441779110445,0.116441779110445,0.0850291766085175,,0.0674282616470367,0.11367785161423,0.112695171788062,0.0933335281792571,0.0637929977866755,0.0478532630459274,0.05,,,,,,5
PWY-6663,plant sterol biosynthesis II,28,0.12143928035982,0.12143928035982,0.0434622344581322,,0.0412741537157368,0.0473136218127199,0.0599658143412835,0.0972905257758261,0.0233119217392299,0.0264891647100067,0.05,,,,,,5
PWYQT-94,superpathway of polyamine biosynthesis,2,0.121939030484758,0.121939030484758,0.182106093562008,,0.154388953677299,0.140666851423147,0.184161115356,0.107910004148208,0.675138395824896,0.140666851423147,1,,,,,,5
PWY-6786,detoxification of reactive carbonyls in chloroplasts,12,0.126436781609195,0.126436781609195,0.108272138939013,,0.138521713630747,0.0610314742905993,0.219099038528121,0.108119850303938,0.109910692121316,0.0523275113225896,0.5,,,,,,5
PWY-735,jasmonic acid biosynthesis,32,0.126936531734133,0.126936531734133,0.0600038273533934,,0.030272230436629,0.656937189375306,0.0268471607716107,0.935365075842513,0.034125280217334,0.032998252795248,0.01,,,,,,5
PWY-3841,folate transformations II,13,0.129935032483758,0.129935032483758,0.142268710872099,,0.166266304839808,0.114543717101513,0.312627257368162,0.0563043885367214,0.570455399426522,0.114543717101513,1,,,,,,5
PWY-5670,epoxysqualene biosynthesis,2,0.130434782608696,0.130434782608696,0.22444228386802,,0.186604419583117,0.174700954497806,0.2300112999,0.133410720649312,0.682290855083364,0.174700954497806,1,,,,,,5
PWY-6773,"1,3-&beta;-D-glucan biosynthesis",14,0.134432783608196,0.134432783608196,0.123328385015259,,0.11096065148055,0.0962283617179075,0.148983633833196,0.0785122780909787,0.394321051924887,0.0962283617179075,1,,,,,,5
PWY-5269,cardiolipin biosynthesis II,3,0.135432283858071,0.135432283858071,0.174177477628243,,0.145444825477699,0.133212263635821,0.175935738936211,0.107074310326896,0.661657127817879,0.133212263635821,1,,,,,,5
PWY-5046,2-oxoisovalerate decarboxylation to isobutanoyl-CoA,9,0.135932033983008,0.135932033983008,0.157584127734108,,0.154109362666507,0.10982976350269,0.302796945767213,0.0743783956811908,0.60365264479627,0.10982976350269,1,,,,,,5
PWY-7344,UDP-&alpha;-D-galactose biosynthesis,4,0.136931534232884,0.136931534232884,0.192435891990461,,0.133410638692723,0.187962018601489,0.135050047786515,0.17159909243114,0.616837245127876,0.135555746011492,0.05,,,,,,5
PWY-3821,D-galactose detoxification,7,0.137431284357821,0.137431284357821,0.189183392538245,,0.125871503657147,0.136357371175339,0.198357137781932,0.163657386230371,0.606980618514676,0.136357371175339,1,,,,,,5
PWY-621,sucrose degradation III (sucrose invertase),9,0.138430784607696,0.138430784607696,0.162580120607717,,0.246725477311481,0.17043395733351,0.595759444535047,0.0454371851764772,0.629578363587246,0.17043395733351,1,,,,,,5
PWY-5989,stearate biosynthesis II (bacteria and plants),38,0.142928535732134,0.142928535732134,0.090637769693895,,0.0592105184981578,0.114975935572578,0.0622237291718098,0.316027787156034,0.0905740025040663,0.059253361199757,0.5,,,,,,5
ARGSYN-PWY,L-arginine biosynthesis I (via L-ornithine),7,0.148425787106447,0.148425787106447,0.184924558129905,,0.135939601242633,0.128826322213861,0.190126080581737,0.151633127758159,0.599833360608855,0.121343154256065,0.5,,,,,,5
PWY-1001,cellulose biosynthesis,19,0.150424787606197,0.150424787606197,0.120145455129154,,0.138449577186111,0.0820743799901442,0.187829407531244,0.0805150589898147,0.208067601173036,0.0820743799901442,1,,,,,,5
PWY-5686,UMP biosynthesis I,11,0.152923538230885,0.152923538230885,0.175534650011321,,0.145790078421041,0.108627960698091,0.311243690802891,0.103218062165659,0.611245332173443,0.108627960698091,1,,,,,,5
PWY-3341,L-proline biosynthesis III,5,0.15592203898051,0.15592203898051,0.236948735318828,,0.25523809714544,0.140985951904572,0.472507917733757,0.115785229166212,0.61037289871279,0.140985951904572,1,,,,,,5
PWY66-423,"fructose 2,6-bisphosphate biosynthesis",2,0.156921539230385,0.156921539230385,0.234087352076235,,0.18964630192309,0.185473498101084,0.2227638079,0.147382158571711,0.68492559667505,0.185473498101084,1,,,,,,5
HOMOSERSYN-PWY,L-homoserine biosynthesis,6,0.157421289355322,0.157421289355322,0.209280901516963,,0.124283039752158,0.249131652458512,0.115902560221416,0.299915360384296,0.595650339153196,0.120033638271259,0.05,,,,,,5
PWY-6959,L-ascorbate degradation V,9,0.158420789605197,0.158420789605197,0.18442303697112,,0.192419152542931,0.139933727051227,0.39104408510006,0.0763403339398722,0.614949124665628,0.139933727051227,1,,,,,,5
PWY-5980,xylogalacturonan biosynthesis,23,0.15992003998001,0.15992003998001,0.142804789223361,,0.193891311226829,0.0876107912639824,0.244003129696987,0.152073745352323,0.123684807724958,0.0673366032904414,0.5,,,,,,5
PANTO-PWY,phosphopantothenate biosynthesis I,6,0.162418790604698,0.162418790604698,0.140028951944935,,0.164581767450891,0.0812182337928661,0.332996304689012,0.0666231069120426,0.579728950113352,0.0780484483378298,0.5,,,,,,5
PWY-2781,<i>cis</i>-zeatin biosynthesis,4,0.164917541229385,0.164917541229385,0.227534795904006,,0.86024262055842,0.0999825966469663,0.0718468943750926,0.312376601579006,0.566453236490266,0.0737559806685344,0.05,,,,,,5
TYRFUMCAT-PWY,L-tyrosine degradation I,8,0.168415792103948,0.168415792103948,0.182999018661067,,0.120628082764574,0.189268216578031,0.136282395866761,0.153573882544964,0.613754996494482,0.144318048079751,0.05,,,,,,5
PWY-6613,"tetrahydrofolate salvage from 5,10-methenyltetrahydrofolate",4,0.171914042978511,0.171914042978511,0.244359535501913,,0.207155029306497,0.181082921869989,0.337922296378614,0.122971482471809,0.697266612461172,0.181082921869989,1,,,,,,5
GLYSYN2-PWY,glycine biosynthesis,9,0.172413793103448,0.172413793103448,0.197701570697007,,0.151749608025135,0.152768330958619,0.228586950300192,0.126421060163369,0.620685440862076,0.152768330958619,1,,,,,,5
PWY-4821,UDP-&alpha;-D-xylose biosynthesis,11,0.172413793103448,0.172413793103448,0.209588165043961,,0.140517936379556,0.141503021803167,0.233718222210717,0.183485076840232,0.62069280099279,0.137299850867816,0.5,,,,,,5
PWY-5925,hydroxylated mugineic acid phytosiderophore biosynthesis,8,0.172413793103448,0.172413793103448,0.161538258103605,,0.152387805285989,0.0906303913084186,0.232614009177726,0.108240185203871,0.591002597366584,0.081906011244551,0.5,,,,,,5
PWY-6473,4-aminobutanoate degradation IV,4,0.172913543228386,0.172913543228386,0.255093331319679,,0.226352572163535,0.178508624093697,0.358387625589389,0.13040896528007,0.692259394899579,0.178508624093697,1,,,,,,5
PWY1F-FLAVSYN,flavonoid biosynthesis,52,0.174412793603198,0.174412793603198,0.0602599879932406,,0.193557354860437,0.0532774724040355,0.50330116972658,0.0215507189576313,0.0779331551855862,0.0532774724040355,1,,,,,,5
PWY-7489,"oryzalexin A, B, and C biosynthesis",2,0.179910044977511,0.179910044977511,0.254951586653037,,0.214466452345768,0.191465649184837,0.32448039,0.136576224620485,0.686478499442304,0.191465649184837,1,,,,,,5
PWY-7897,flavonoid di-C-glucosylation,37,0.180909545227386,0.180909545227386,0.095583420149818,,0.196066466726866,0.0681704456247937,0.392202963218062,0.0444257740953581,0.114215589136356,0.0681704456247937,1,,,,,,5
PWY-6717,"(1,4)-&beta;-D-xylan degradation",22,0.181409295352324,0.181409295352324,0.149840840797637,,0.119149130650947,0.115846481097236,0.243514999488968,0.17755308339935,0.146956839085249,0.0726144108146059,0.05,,,,,,5
PWY-6535,4-aminobutanoate degradation I,4,0.182408795602199,0.182408795602199,0.255095268749285,,0.226352572163535,0.178508624093697,0.358387625589389,0.13040896528007,0.692272112542007,0.178508624093697,1,,,,,,5
PWY-6475,<i>trans</i>-lycopene biosynthesis II (oxygenic phototrophs and green sulfur bacteria),11,0.184407796101949,0.184407796101949,0.223173767822614,,0.153329994376272,0.177275989948875,0.134164402301597,0.336236979882905,0.618838141977068,0.132101863207596,0.5,,,,,,5
PWY-6457,cinnamoyl-CoA biosynthesis,9,0.186906546726637,0.186906546726637,0.163100270001566,,0.111411289923469,0.185251867621957,0.114067293083702,0.129678261155717,0.609354447134201,0.125976193508086,0.05,,,,,,5
PWY-4984,urea cycle,8,0.187406296851574,0.187406296851574,0.249310146435278,,0.163840564902732,0.197309671815981,0.214159899014393,0.246475959992977,0.627893328375242,0.170075242064791,0.5,,,,,,5
PWY-2,putrescine degradation IV,2,0.191904047976012,0.191904047976012,0.275994102022333,,0.227181149447165,0.205263545115997,0.3753152631,0.145912501346256,0.690180059040278,0.205263545115997,1,,,,,,5
