pathway_id,pathway_name,n_genes,omni_p_final,omni_p_mvn,omni_p_analytic,omni_p_mvn_compcal,acat_p,fisher_p,minp_p_analytic,stouffer_p_analytic,tfisher_p_analytic,tfisher_p_min,tau_hat,acat_p_mvn_cal,fisher_p_mvn_cal,tfisher_p_mvn_cal,minp_p_mvn_cal,stouffer_p_mvn_cal,perm
PWY-5142,acyl-[acyl-carrier protein] thioesterase pathway,9,0.00169509153273667,0.00169509153273667,1.74599007474185e-09,,0.0154193224300921,1.28155644910283e-05,0.0313670772000493,1.37220443023113e-05,3.49216433548349e-10,1.28155644910644e-05,1,,,,,,10
PWY-5691,urate conversion to allantoin I,2,0.00309852615706302,0.00309852615706302,4.75699053814616e-07,,0.00678394120191972,0.000887192184360208,0.00805869859375,0.000469490181577826,9.51717605834901e-08,0.000887192184360175,1,,,,,,10
PWY-5326,sulfite oxidation IV,2,0.00325197548210115,0.00325197548210115,1.66452434674502e-06,,0.00190578165887945,0.00120128634242152,0.0019187786879775,0.00131533812178746,3.3319754710881e-07,0.00120128634242156,1,,,,,,10
PWY-6443,"benzoate biosynthesis I (CoA-dependent, &beta;-oxidative)",104,0.0035576339813586,0.0035576339813586,2.37061287267082e-09,,0.0745325016202293,8.55560417424695e-08,0.458231748608038,2.9259771420816e-09,5.69571834141414e-10,8.55560416956891e-08,1,,,,,,10
PWY-5829,geraniol and geranial biosynthesis,8,0.00549725137431284,0.00549725137431284,4.9960036108132e-15,,0.000186499287676616,4.44666360720384e-10,0.000361758731697511,6.30202091282751e-06,1e-15,1.06021302848092e-10,0.05,,,,,,10
PWY-6333,acetaldehyde biosynthesis I,11,0.00587133791747754,0.00587133791747754,9.69011458601399e-05,,0.0070249387629973,0.000742610089085335,0.0137762698818231,0.00342050548443509,2.0102457028881e-05,0.000742610089085383,1,,,,,,10
PWY1F-FLAVSYN,flavonoid biosynthesis,52,0.00849575212393803,0.00849575212393803,7.13940712209205e-05,,0.148920045655946,0.00036778830265924,0.619812000013619,2.02237126275435e-05,5.59816688181503e-05,0.000367788302659267,1,,,,,,10
PWY-5048,rosmarinic acid biosynthesis I,25,0.00999500249875063,0.00999500249875063,0.000214768348348937,,0.0897195122143664,0.000741438764992894,0.289996405929939,0.000117465895177206,7.45947279077175e-05,0.000741438764992886,1,,,,,,10
PWYIO2-7,triacylglycerol biosynthesis (Chlamydomonas),53,0.00999500249875063,0.00999500249875063,0.00263713267897808,,0.0908578434758381,0.00239527051066756,0.21638334870925,0.011010548226457,0.000728280071249032,0.00211273039883275,0.5,,,,,,10
PWY-6949,DIBOA-glucoside biosynthesis,39,0.0109945027486257,0.0109945027486257,3.57956245083946e-06,,0.000278810323192311,3.24031161784991e-05,0.000281822099226593,0.000271186763530711,7.3793383892351e-07,3.24031161784699e-05,1,,,,,,10
TRIGLSYN-PWY,diacylglycerol and triacylglycerol biosynthesis,53,0.0124937531234383,0.0124937531234383,0.00267469329148984,,0.0908578434758381,0.00239527051066756,0.21638334870925,0.011010548226457,0.000742681549307567,0.00211273039883275,0.5,,,,,,10
PWY-5486,pyruvate fermentation to ethanol II,15,0.0129935032483758,0.0129935032483758,0.00120150226325694,,0.00980363549250933,0.00490037200439462,0.0187386299977108,0.0353289342885283,0.000264976172083431,0.00218205872699095,0.05,,,,,,10
PWY-7208,superpathway of pyrimidine nucleobases salvage,6,0.0129935032483758,0.0129935032483758,0.00257420077385417,,0.0681013075206638,0.00665738018811387,0.137298724034646,0.00186001416052456,0.000810889292806705,0.0066573801881139,1,,,,,,10
PWY-5980,xylogalacturonan biosynthesis,23,0.0144927536231884,0.0144927536231884,0.00295451543083436,,0.0132447073867548,0.0117520632019073,0.015180236279686,0.0423702335242173,0.000693250311166849,0.00289998166268313,0.05,,,,,,10
PWY-1269,CMP-3-deoxy-D-<I>manno</I>-octulosonate biosynthesis,3,0.0149925037481259,0.0149925037481259,0.00405211184482218,,0.0104081667437,0.0336461577194747,0.0102878172390174,0.100305571145422,0.000998601146222744,0.0103300010633838,0.01,,,,,,10
PWY-7183,pyrimidine nucleobases salvage I,6,0.0164917541229385,0.0164917541229385,0.00258875772598033,,0.0681013075206638,0.00665738018811387,0.137298724034646,0.00186001416052456,0.000818135352918081,0.0066573801881139,1,,,,,,10
PWY-7546,diphthamide biosynthesis II (eukaryotes),7,0.0194902548725637,0.0194902548725637,0.00161384121076952,,0.0151426089463208,0.015571585433096,0.0269450496256816,0.11497938772094,0.000342152188104183,0.00402815230057807,0.05,,,,,,10
PWY-5147,oleate biosynthesis I (plants),42,0.0199900049975013,0.0199900049975013,0.00231862969139024,,0.033384131931873,0.00249311672930639,0.0551030712418134,0.014940206639396,0.000609526076532863,0.00205838786552048,0.5,,,,,,10
PWY-6351,"D-<i>myo</i>-inositol (1,4,5)-trisphosphate biosynthesis",31,0.0199900049975013,0.0199900049975013,0.00821090916731287,,0.212808617173338,0.00868691877070886,0.784781454171422,0.00363633065000385,0.00457274440644184,0.00868691877070882,1,,,,,,10
PWY-7196,superpathway of pyrimidine ribonucleosides salvage,6,0.0199900049975013,0.0199900049975013,0.00256816244076247,,0.0681013075206638,0.00665738018811387,0.137298724034646,0.00186001416052456,0.000807897383387934,0.0066573801881139,1,,,,,,10
MANNCAT-PWY,D-mannose degradation,3,0.0204897551224388,0.0204897551224388,0.00988125654692651,,0.0139755028693222,0.0178595001386644,0.014195494511896,0.0205671122611253,0.00385408131087828,0.0142265168344837,0.01,,,,,,10
ASPARAGINESYN-PWY,L-asparagine biosynthesis II,4,0.0224887556221889,0.0224887556221889,0.0078442201940081,,0.0716602785346751,0.0139493866886907,0.144745751212457,0.00504696246734315,0.00287865670343301,0.0139493866886906,1,,,,,,10
GLUCONEO-PWY,gluconeogenesis I,56,0.0224887556221889,0.0224887556221889,0.00431561808332792,,0.00374584798867557,0.0764020532218644,0.0038123248272608,0.243147222918846,0.00163090562193124,0.00354660909112126,0.05,,,,,,10
