method,alpha,n,observed,ci_lo,ci_hi,calibrated
omni_p_final,0.05,29110,0.0775334936447956,0.0744864067619647,0.0806652065519318,FALSE
omni_p_final,0.01,29110,0.0216763998625902,0.0200342239762421,0.0234149757088039,FALSE
omni_p_mvn,0.05,29110,0.0775334936447956,0.0744864067619647,0.0806652065519318,FALSE
omni_p_mvn,0.01,29110,0.0216763998625902,0.0200342239762421,0.0234149757088039,FALSE
omni_p_analytic,0.05,29110,0.0984197870147715,0.0950208829309179,0.101899073105248,FALSE
omni_p_analytic,0.01,29110,0.0548265200961869,0.0522388371153963,0.057503491663492,FALSE
acat_p,0.05,29110,0.0737547234627276,0.0707776813943263,0.07681716299645,FALSE
acat_p,0.01,29110,0.0183098591549296,0.0168007727056519,0.0199161351345556,FALSE
fisher_p,0.05,29110,0.0923050498110615,0.0890035392426408,0.0956881819676895,FALSE
fisher_p,0.01,29110,0.0316386121607695,0.0296575578321578,0.0337138477685407,FALSE
minp_p_analytic,0.05,29110,0.0655101339745792,0.0626941342893348,0.0684132196442142,FALSE
minp_p_analytic,0.01,29110,0.016832703538303,0.0153860924719049,0.0183768613464294,FALSE
stouffer_p_analytic,0.05,29110,0.0985228443833734,0.0951223346333036,0.102003715265221,FALSE
stouffer_p_analytic,0.01,29110,0.0339745791824115,0.0319228966983953,0.0361199380214183,FALSE
tfisher_p_analytic,0.05,29110,0.0776021985571968,0.0745538584262975,0.0807351506986781,FALSE
tfisher_p_analytic,0.01,29110,0.0586739951906561,0.0560012402372167,0.0614352432201293,FALSE
