"pathway_id","pathway_name","pathway_omni_p","pathway_FDR","gene","magma_p","magma_FDR","gwas_min_p","gwas_logP"
"GLUCONEO-PWY","gluconeogenesis I",9.99900009999e-05,0.000561587676848754,"SORBI_3009G240700",1.8634e-07,2.6933662893617e-05,5.40957e-09,8.26683725505039
"GLUCONEO-PWY","gluconeogenesis I",9.99900009999e-05,0.000561587676848754,"SORBI_3001G236800",0.0091355,0.176812266951567,NA,NA
"GLUCONEO-PWY","gluconeogenesis I",9.99900009999e-05,0.000561587676848754,"SORBI_3003G072300",0.055333,0.460330633847661,NA,NA
"GLUCONEO-PWY","gluconeogenesis I",9.99900009999e-05,0.000561587676848754,"SORBI_3009G183700",0.061363,0.483712467161754,NA,NA
"GLUCONEO-PWY","gluconeogenesis I",9.99900009999e-05,0.000561587676848754,"SORBI_3003G367500",0.067474,0.503996837837838,NA,NA
"GLUCONEO-PWY","gluconeogenesis I",9.99900009999e-05,0.000561587676848754,"SORBI_3007G166300",0.082398,0.548954416356148,NA,NA
"GLUCONEO-PWY","gluconeogenesis I",9.99900009999e-05,0.000561587676848754,"SORBI_3008G186200",0.093667,0.576209202751629,NA,NA
"GLUCONEO-PWY","gluconeogenesis I",9.99900009999e-05,0.000561587676848754,"SORBI_3001G384100",0.10031,0.592664771264568,NA,NA
"GLUCONEO-PWY","gluconeogenesis I",9.99900009999e-05,0.000561587676848754,"SORBI_3006G198400",0.10142,0.594759532355479,NA,NA
"GLUCONEO-PWY","gluconeogenesis I",9.99900009999e-05,0.000561587676848754,"SORBI_3002G385700",0.16085,0.700591148717949,NA,NA
"GLUCONEO-PWY","gluconeogenesis I",9.99900009999e-05,0.000561587676848754,"SORBI_3008G053200",0.18855,0.736231503621106,NA,NA
"GLUCONEO-PWY","gluconeogenesis I",9.99900009999e-05,0.000561587676848754,"SORBI_3003G036200",0.23015,0.777774014126542,NA,NA
"GLUCONEO-PWY","gluconeogenesis I",9.99900009999e-05,0.000561587676848754,"SORBI_3003G292400",0.26126,0.800919977442931,NA,NA
"GLUCONEO-PWY","gluconeogenesis I",9.99900009999e-05,0.000561587676848754,"SORBI_3007G166200",0.263,0.801543184999103,NA,NA
"GLUCONEO-PWY","gluconeogenesis I",9.99900009999e-05,0.000561587676848754,"SORBI_3002G230600",0.29396,0.825558724371693,NA,NA
"GLUCONEO-PWY","gluconeogenesis I",9.99900009999e-05,0.000561587676848754,"SORBI_3007G137600",0.29767,0.827632917348609,NA,NA
"GLUCONEO-PWY","gluconeogenesis I",9.99900009999e-05,0.000561587676848754,"SORBI_3003G336000",0.3009,0.828914900656881,NA,NA
"GLUCONEO-PWY","gluconeogenesis I",9.99900009999e-05,0.000561587676848754,"SORBI_3009G152700",0.30356,0.830626187871964,NA,NA
"GLUCONEO-PWY","gluconeogenesis I",9.99900009999e-05,0.000561587676848754,"SORBI_3001G073900",0.31585,0.836072081514963,NA,NA
"GLUCONEO-PWY","gluconeogenesis I",9.99900009999e-05,0.000561587676848754,"SORBI_3004G205100",0.33817,0.84656445980731,NA,NA
"GLUCONEO-PWY","gluconeogenesis I",9.99900009999e-05,0.000561587676848754,"SORBI_3004G146000",0.40051,0.870629901446307,NA,NA
"GLUCONEO-PWY","gluconeogenesis I",9.99900009999e-05,0.000561587676848754,"SORBI_3001G219300",0.41965,0.875945019312121,NA,NA
"GLUCONEO-PWY","gluconeogenesis I",9.99900009999e-05,0.000561587676848754,"SORBI_3001G071800",0.43261,0.879349143677817,NA,NA
"GLUCONEO-PWY","gluconeogenesis I",9.99900009999e-05,0.000561587676848754,"SORBI_3008G116600",0.50936,0.896244684740511,NA,NA
"GLUCONEO-PWY","gluconeogenesis I",9.99900009999e-05,0.000561587676848754,"SORBI_3010G188300",0.53703,0.901275175529551,NA,NA
