"pathway_id","pathway_name","n_genes","calib_mode","acat_p","fisher_p","tfisher_p_analytic","tau_hat","tfisher_stat_hat","minp_p_analytic","stouffer_p_analytic","magma_pvalue","omni_p_analytic","omni_p_analytic_BH","omni_p_global","omni_p_global_BH","omni_p_mvn","omni_p_mvn_BH","acat_p_mvn_cal","fisher_p_mvn_cal","tfisher_p_mvn_cal","minp_p_mvn_cal","stouffer_p_mvn_cal","omni_p_mvn_compcal","omni_p_final","omni_p_final_BH","omni_p_final_q_storey","omni_p_final_q_bky10","omni_p_final_q_ihw10","genes_used","gene_pvals_used","dominant_component","agreement_score","agreement_k","agreement_m","calibration_impact"
"GLUCONEO-PWY","gluconeogenesis I",56,"mvn",1.0434929616867e-05,0.0812303596222482,2.2524555554071e-09,0.001,17.175875191884,1.04349865273821e-05,0.676733947376764,NA,1.12574174981894e-08,7.95782961078908e-08,NA,NA,1.99996000079998e-05,0.000118838202946086,NA,NA,NA,NA,NA,NA,1.99996000079998e-05,0.000118838202946086,5.72407882281158e-05,0.000171562194393997,0.000118838202946086,"SORBI_3001G071800;SORBI_3002G230600;SORBI_3003G238500;SORBI_3009G240700;SORBI_3008G186200;SORBI_3007G137600;SORBI_3001G073900;SORBI_3001G219300;SORBI_3006G170800;SORBI_3002G385700;SORBI_3002G309400;SORBI_3003G072300;SORBI_3003G352300;SORBI_3002G277100;SORBI_3007G166300;SORBI_3007G166200;SORBI_3005G154850;SORBI_3009G069600;SORBI_3009G108700;SORBI_3003G280900;SORBI_3003G292400;SORBI_3003G036200;SORBI_3003G036000;SORBI_3004G338000;SORBI_3001G432800;SORBI_3006G198400;SORBI_3010G027000;SORBI_3010G026925;SORBI_3001G426100;SORBI_3002G186900;SORBI_3003G336000;SORBI_3008G116600;SORBI_3001G384100;SORBI_3010G221800;SORBI_3009G183700;SORBI_3004G055200;SORBI_3001G236800;SORBI_3010G262466;SORBI_3010G262500;SORBI_3010G262433;SORBI_3010G100200;SORBI_3009G016700;SORBI_3005G159000;SORBI_3004G056400;SORBI_3004G205100;SORBI_3007G025400;SORBI_3010G188300;SORBI_3003G096000;SORBI_3003G393900;SORBI_3005G056400;SORBI_3008G053200;SORBI_3004G146000;SORBI_3010G219700;SORBI_3003G367500;SORBI_3009G152700;SORBI_3001G425400","4.326e-01;2.940e-01;5.706e-01;1.863e-07;9.367e-02;2.977e-01;3.159e-01;4.197e-01;9.079e-01;1.608e-01;5.676e-01;5.533e-02;8.386e-01;5.519e-01;8.240e-02;2.630e-01;9.686e-01;7.913e-01;5.752e-01;5.430e-01;2.613e-01;2.301e-01;8.655e-01;7.417e-01;7.923e-01;1.014e-01;8.495e-01;7.710e-01;7.696e-01;7.431e-01;3.009e-01;5.094e-01;1.003e-01;6.879e-01;6.136e-02;6.047e-01;9.135e-03;9.694e-01;8.000e-01;9.565e-01;6.563e-01;7.858e-01;6.364e-01;5.993e-01;3.382e-01;8.301e-01;5.370e-01;6.602e-01;5.923e-01;9.084e-01;1.885e-01;4.005e-01;6.492e-01;6.747e-02;3.036e-01;5.739e-01","tfisher_p_analytic",0.6,3,5,"Remains_significant"
"GLUGLNSYN-PWY","L-glutamate biosynthesis IV",6,"mvn",6.21619296991103e-12,1.80332648108396e-13,1e-50,0.05,65.2227890991957,6.2159999999839e-12,4.63062096052466e-06,NA,5.55111512312578e-17,5.05768266773682e-16,NA,NA,1.99996000079998e-05,0.000118838202946086,NA,NA,NA,NA,NA,NA,1.99996000079998e-05,0.000118838202946086,5.72407882281158e-05,0.000171562194393997,0.000118838202946086,"SORBI_3007G174600;SORBI_3004G209300;SORBI_3005G150250;SORBI_3009G225700;SORBI_3003G258800;SORBI_3010G060800","5.608e-03;1.478e-04;7.844e-01;1.036e-12;3.236e-01;5.630e-01","tfisher_p_analytic",1,5,5,"Remains_significant"
"GLUTAMINDEG-PWY","L-glutamine degradation I",34,"mvn",3.52115603714334e-11,9.53208763121189e-19,1e-50,0.001,92.2326985080103,3.5223999999398e-11,3.43597386279413e-06,NA,1e-50,1.36666666666667e-48,NA,NA,1.99996000079998e-05,0.000118838202946086,NA,NA,NA,NA,NA,NA,1.99996000079998e-05,0.000118838202946086,5.72407882281158e-05,0.000171562194393997,0.000118838202946086,"SORBI_3003G221200;SORBI_3003G241000;SORBI_3003G017300;SORBI_3009G239500;SORBI_3009G239301;SORBI_3008G127100;SORBI_3003G193700;SORBI_3004G265900;SORBI_3007G104300;SORBI_3010G060800;SORBI_3003G258800;SORBI_3009G225700;SORBI_3005G150250;SORBI_3004G209300;SORBI_3007G174600;SORBI_3010G110000;SORBI_3005G003200;SORBI_3008G139800;SORBI_3001G406800;SORBI_3001G432300;SORBI_3006G278500;SORBI_3001G265500;SORBI_3001G151700;SORBI_3006G028000;SORBI_3006G027900;SORBI_3002G301500;SORBI_3005G143500;SORBI_3005G139300;SORBI_3006G237100;SORBI_3002G301600;SORBI_3002G301700;SORBI_3004G028500;SORBI_3002G005600;SORBI_3002G402700","4.170e-01;1.114e-02;5.640e-01;3.126e-09;1.958e-08;5.152e-01;4.308e-02;5.455e-01;7.905e-01;5.630e-01;3.236e-01;1.036e-12;7.844e-01;1.478e-04;5.608e-03;8.016e-01;5.721e-01;1.332e-01;7.645e-01;9.033e-01;8.357e-01;7.911e-01;6.904e-01;2.448e-03;3.103e-02;9.148e-01;2.911e-01;1.369e-01;2.991e-01;7.700e-01;7.375e-01;4.788e-01;2.289e-01;6.091e-01","tfisher_p_analytic",1,5,5,"Remains_significant"
"GLYOXYLATE-BYPASS","glyoxylate cycle",17,"mvn",3.16772799260093e-06,0.000113442281727023,1.11022302462516e-15,0.001,17.175875191884,3.1677752777314e-06,0.0263711685512593,NA,5.71764857681956e-15,4.59654101273729e-14,NA,NA,1.99996000079998e-05,0.000118838202946086,NA,NA,NA,NA,NA,NA,1.99996000079998e-05,0.000118838202946086,5.72407882281158e-05,0.000171562194393997,0.000118838202946086,"SORBI_3003G238500;SORBI_3009G240700;SORBI_3008G186200;SORBI_3007G137600;SORBI_3001G073900;SORBI_3001G219300;SORBI_3006G170800;SORBI_3002G385700;SORBI_3002G309400;SORBI_3007G068100;SORBI_3001G512800;SORBI_3006G000100;SORBI_3002G316900;SORBI_3004G101900;SORBI_3004G078000;SORBI_3002G324000;SORBI_3006G127100","5.706e-01;1.863e-07;9.367e-02;2.977e-01;3.159e-01;4.197e-01;9.079e-01;1.608e-01;5.676e-01;6.159e-01;5.456e-01;2.925e-02;9.508e-02;3.408e-01;8.616e-01;2.323e-02;6.618e-01","tfisher_p_analytic",1,5,5,"Remains_significant"
"HOMOSER-THRESYN-PWY","L-threonine biosynthesis",3,"mvn",2.4809461960373e-05,8.22638182165367e-06,1e-50,0.2,26.0565341408184,2.48283945141075e-05,0.00139869360995511,NA,5.55111512312578e-17,5.05768266773682e-16,NA,NA,1.99996000079998e-05,0.000118838202946086,NA,NA,NA,NA,NA,NA,1.99996000079998e-05,0.000118838202946086,5.72407882281158e-05,0.000171562194393997,0.000118838202946086,"SORBI_3003G265400;SORBI_3009G220000;SORBI_3004G357900","1.062e-02;8.276e-06;5.907e-01","tfisher_p_analytic",1,5,5,"Remains_significant"
"LIPASYN-PWY","phospholipases",106,"mvn",2.08490310662939e-06,0.00140120922458732,2.22044604925031e-16,0.001,40.4331279403815,3.30899657690731e-06,0.505576260029681,NA,1.11022302462516e-15,9.89546608905031e-15,NA,NA,1.99996000079998e-05,0.000118838202946086,NA,NA,NA,NA,NA,NA,1.99996000079998e-05,0.000118838202946086,5.72407882281158e-05,0.000171562194393997,0.000118838202946086,"SORBI_3009G027800;SORBI_3005G018900;SORBI_3005G002000;SORBI_3008G090600;SORBI_3008G002000;SORBI_3001G408001;SORBI_3002G430500;SORBI_3003G107900;SORBI_3003G430100;SORBI_3005G170100;SORBI_3001G008600;SORBI_3001G029200;SORBI_3010G159700;SORBI_3010G159900;SORBI_3010G160000;SORBI_3010G047800;SORBI_3003G370500;SORBI_3003G390900;SORBI_3010G160033;SORBI_3003G370600;SORBI_3003G432600;SORBI_3003G239200;SORBI_3003G038000;SORBI_3003G239500;SORBI_3003G274700;SORBI_3003G239100;SORBI_3003G418700;SORBI_3003G391000;SORBI_3009G135100;SORBI_3009G240600;SORBI_3009G125300;SORBI_3009G240500;SORBI_3009G117500;SORBI_3009G014600;SORBI_3009G149700;SORBI_3005G203800;SORBI_3005G111400;SORBI_3005G032700;SORBI_3008G170100;SORBI_3004G297600;SORBI_3004G300100;SORBI_3007G187000;SORBI_3007G011300;SORBI_3007G036900;SORBI_3001G373200;SORBI_3001G365100;SORBI_3001G295700;SORBI_3006G214500;SORBI_3002G320900;SORBI_3002G409500;SORBI_3002G262300;SORBI_3002G177200;SORBI_3002G213300;SORBI_3010G228100;SORBI_3003G029000;SORBI_3003G029200;SORBI_3003G389400;SORBI_3003G074600;SORBI_3003G074500;SORBI_3005G186400;SORBI_3005G186100;SORBI_3005G159400;SORBI_3005G186200;SORBI_3005G219100;SORBI_3005G219000;SORBI_3005G145100;SORBI_3008G135401;SORBI_3008G166050;SORBI_3004G357800;SORBI_3007G158700;SORBI_3007G158500;SORBI_3007G158600;SORBI_3007G158800;SORBI_3001G157700;SORBI_3001G433900;SORBI_3001G103800;SORBI_3001G279800;SORBI_3001G288200;SORBI_3001G448800;SORBI_3001G348600;SORBI_3001G067500;SORBI_3001G429900;SORBI_3001G120400;SORBI_3001G158200;SORBI_3001G157900;SORBI_3006G276100;SORBI_3002G401900;SORBI_3002G228700;SORBI_3002G031800;SORBI_3002G377600;SORBI_3010G209900;SORBI_3010G185600;SORBI_3003G147000;SORBI_3003G050400;SORBI_3009G109925;SORBI_3009G062600;SORBI_3009G110000;SORBI_3005G222500;SORBI_3008G183400;SORBI_3004G016900;SORBI_3001G529800;SORBI_3001G349800;SORBI_3001G320200;SORBI_3002G098900;SORBI_3002G282500;SORBI_3002G204500","3.690e-01;9.672e-01;1.115e-01;6.388e-02;7.538e-01;7.633e-01;2.649e-02;8.823e-01;9.647e-01;7.296e-01;8.338e-01;3.634e-02;5.843e-01;3.123e-01;5.723e-01;9.164e-01;8.132e-01;7.461e-01;5.913e-01;7.084e-01;5.959e-01;8.396e-03;8.126e-01;2.444e-02;5.343e-01;2.807e-01;8.180e-01;3.514e-01;7.072e-01;3.122e-08;7.960e-01;5.317e-08;7.968e-01;2.684e-02;5.804e-01;1.915e-01;4.103e-01;6.567e-01;4.869e-01;4.669e-01;6.540e-02;1.162e-01;8.326e-01;5.985e-01;6.968e-01;2.650e-01;3.944e-02;3.318e-01;3.732e-01;5.245e-01;5.108e-01;5.958e-01;9.199e-01;9.652e-02;8.483e-01;3.870e-01;2.974e-01;3.877e-01;2.459e-01;7.486e-01;3.714e-01;6.221e-01;6.237e-01;8.499e-01;8.499e-01;5.389e-01;8.245e-01;8.403e-01;5.727e-01;9.393e-01;5.747e-01;5.647e-01;1.267e-01;8.044e-01;4.288e-01;8.351e-01;5.113e-01;1.226e-01;6.808e-01;2.255e-01;3.674e-01;7.268e-01;3.391e-01;4.381e-01;6.335e-01;6.362e-01;1.983e-01;3.781e-01;9.013e-01;4.456e-01;9.729e-01;6.758e-02;2.160e-02;6.265e-01;5.345e-01;1.394e-01;3.671e-02;8.975e-01;3.382e-01;5.869e-01;5.074e-01;7.204e-01;2.102e-01;2.659e-01;3.336e-01;2.373e-02","tfisher_p_analytic",0.8,4,5,"Remains_significant"
"PHOSLIPSYN2-PWY","superpathway of phospholipid biosynthesis II (plants)",4,"mvn",1.31104657179396e-11,3.28716850286528e-10,1e-50,0.001,39.0723087793918,1.31103999999355e-11,4.57347144722983e-06,NA,5.55111512312578e-17,5.05768266773682e-16,NA,NA,1.99996000079998e-05,0.000118838202946086,NA,NA,NA,NA,NA,NA,1.99996000079998e-05,0.000118838202946086,5.72407882281158e-05,0.000171562194393997,0.000118838202946086,"SORBI_3003G095800;SORBI_3009G225100;SORBI_3010G223300;SORBI_3006G060000","5.447e-01;3.278e-12;9.505e-02;3.748e-01","tfisher_p_analytic",1,5,5,"Remains_significant"
"PWY-1269","CMP-3-deoxy-D-<I>manno</I>-octulosonate biosynthesis",3,"mvn",2.69769509565899e-13,8.90793149203188e-12,1e-50,0.001,46.2638456193377,2.69807999999976e-13,2.37046503899489e-05,NA,5.55111512312578e-17,5.05768266773682e-16,NA,NA,1.99996000079998e-05,0.000118838202946086,NA,NA,NA,NA,NA,NA,1.99996000079998e-05,0.000118838202946086,5.72407882281158e-05,0.000171562194393997,0.000118838202946086,"SORBI_3004G047400;SORBI_3008G075200;SORBI_3009G231100","9.419e-01;1.962e-01;8.994e-14","tfisher_p_analytic",1,5,5,"Remains_significant"
"PWY-2161B","glutamate removal from folates",3,"mvn",0.00076011953921445,1.29310370179203e-07,1e-50,0.2,33.1170592977809,0.00186082458258312,6.02678568134183e-09,NA,5.55111512312578e-17,5.05768266773682e-16,NA,NA,1.99996000079998e-05,0.000118838202946086,NA,NA,NA,NA,NA,NA,1.99996000079998e-05,0.000118838202946086,5.72407882281158e-05,0.000171562194393997,0.000118838202946086,"SORBI_3009G199001;SORBI_3009G199200;SORBI_3009G199100","1.299e-03;6.386e-04;6.207e-04","tfisher_p_analytic",1,5,5,"Remains_significant"
"PWY-2161B-PMN","folate polyglutamylation II",5,"mvn",0.00126005448870575,1.49971391359249e-07,1e-50,0.2,35.7214804952774,0.00309945020180135,3.38512324216925e-07,NA,5.55111512312578e-17,5.05768266773682e-16,NA,NA,1.99996000079998e-05,0.000118838202946086,NA,NA,NA,NA,NA,NA,1.99996000079998e-05,0.000118838202946086,5.72407882281158e-05,0.000171562194393997,0.000118838202946086,"SORBI_3001G535500;SORBI_3001G201900;SORBI_3009G199001;SORBI_3009G199200;SORBI_3009G199100","2.514e-01;5.439e-02;1.299e-03;6.386e-04;6.207e-04","tfisher_p_analytic",1,5,5,"Remains_significant"
