"pathway_id","pathway_name","n_genes","acat_p","fisher_p","stouffer_p","minp_p","tfisher_p","omni_p","FDR"
"PWY-6443","benzoate biosynthesis I (CoA-dependent, &beta;-oxidative)",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6457","cinnamoyl-CoA biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6465","&omega;-hydroxylation of caprate and laurate",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6466","pyridoxal 5'-phosphate biosynthesis II",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6468","&omega;- hydroxylation of laurate",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6473","4-aminobutanoate degradation IV",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6475","<i>trans</i>-lycopene biosynthesis II (oxygenic phototrophs and green sulfur bacteria)",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6483","ceramide degradation",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6498","eumelanin biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6502","oxidized GTP and dGTP detoxification",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6515","phloridzin biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6520","nonaprenyl diphosphate biosynthesis II",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6527","stachyose degradation",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6535","4-aminobutanoate degradation I",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6540","costunolide biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6543","4-aminobenzoate biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6546","brassinosteroids inactivation",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6549","L-glutamine biosynthesis III",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6554","1D-<i>myo</i>-inositol hexakisphosphate biosynthesis V (from Ins(1,3,4)P3)",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6556","pyrimidine ribonucleosides salvage II",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6577","farnesylcysteine salvage pathway",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6596","adenosine nucleotides degradation I",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6599","guanine and guanosine salvage II",0,NA,NA,NA,NA,NA,NA,NA
"PWY-66","GDP-L-fucose biosynthesis I (from GDP-D-mannose)",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6605","adenine and adenosine salvage II",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6606","guanosine nucleotides degradation II",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6607","guanosine nucleotides degradation I",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6613","tetrahydrofolate salvage from 5,10-methenyltetrahydrofolate",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6619","adenine and adenosine salvage VI",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6631","tricetin methylation",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6663","plant sterol biosynthesis II",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6665","pterostilbene biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6673","caffeoylglucarate biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6710","poly-hydroxy fatty acids biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6717","(1,4)-&beta;-D-xylan degradation",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6724","starch degradation II",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6730","methylhalides biosynthesis (plants)",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6733","sporopollenin precursors biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6745","phytochelatins biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6752","<i>o</i>-diquinones biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6754","<i>S</i>-methyl-5'-thioadenosine degradation I",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6762","salicylate glucosides biosynthesis IV",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6773","1,3-&beta;-D-glucan biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6786","detoxification of reactive carbonyls in chloroplasts",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6801","volatile esters biosynthesis (during fruit ripening)",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6803","phosphatidylcholine acyl editing",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6814","chitin degradation III (carnivorous plants)",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6823","molybdenum cofactor biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6837","fatty acid beta-oxidation V (unsaturated, odd number, di-isomerase-dependent)",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6890","4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6908","thiamine diphosphate biosynthesis IV (eukaryotes)",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6922","L-<i>N<sup>&delta;</sup></i>-acetylornithine biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6927","chlorophyll <i>a</i> degradation II",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6938","NADH repair",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6949","DIBOA-glucoside biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-695","abscisic acid biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6950","DIMBOA-glucoside biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6959","L-ascorbate degradation V",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6963","ammonia assimilation cycle I",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6964","ammonia assimilation cycle II",0,NA,NA,NA,NA,NA,NA,NA
"PWY-699","brassinosteroid biosynthesis I",0,NA,NA,NA,NA,NA,NA,NA
"PWY-701","L-methionine degradation II",0,NA,NA,NA,NA,NA,NA,NA
"PWY-702","L-methionine biosynthesis II (plants)",0,NA,NA,NA,NA,NA,NA,NA
"PWY-7029","terminal olefins biosynthesis II",0,NA,NA,NA,NA,NA,NA,NA
"PWY-7039","phosphatidate metabolism, as a signaling molecule",0,NA,NA,NA,NA,NA,NA,NA
"PWY-7060","ornithine-citrulline shuttle",0,NA,NA,NA,NA,NA,NA,NA
"PWY-7101","5-deoxystrigol biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-7120","esterified suberin biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-7141","(3<i>S</i>)-linalool biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-7170","phytochromobilin biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-7176","UTP and CTP <i>de novo</i> biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-7183","pyrimidine nucleobases salvage I",0,NA,NA,NA,NA,NA,NA,NA
"PWY-7184","pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I",0,NA,NA,NA,NA,NA,NA,NA
"PWY-7185","UTP and CTP dephosphorylation I",0,NA,NA,NA,NA,NA,NA,NA
"PWY-7186","superpathway of scopolin and esculin biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-7187","pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis II",0,NA,NA,NA,NA,NA,NA,NA
"PWY-7193","pyrimidine ribonucleosides salvage I",0,NA,NA,NA,NA,NA,NA,NA
"PWY-7196","superpathway of pyrimidine ribonucleosides salvage",0,NA,NA,NA,NA,NA,NA,NA
"PWY-7197","pyrimidine deoxyribonucleotide phosphorylation",0,NA,NA,NA,NA,NA,NA,NA
"PWY-7199","pyrimidine deoxyribonucleosides salvage",0,NA,NA,NA,NA,NA,NA,NA
"PWY-7204","pyridoxal 5'-phosphate salvage II (plants)",0,NA,NA,NA,NA,NA,NA,NA
"PWY-7205","CMP phosphorylation",0,NA,NA,NA,NA,NA,NA,NA
"PWY-7206","pyrimidine deoxyribonucleotides dephosphorylation",0,NA,NA,NA,NA,NA,NA,NA
"PWY-7208","superpathway of pyrimidine nucleobases salvage",0,NA,NA,NA,NA,NA,NA,NA
"PWY-7212","baicalein metabolism",0,NA,NA,NA,NA,NA,NA,NA
"PWY-7213","wogonin metabolism",0,NA,NA,NA,NA,NA,NA,NA
"PWY-7214","baicalein degradation (hydrogen peroxide detoxification)",0,NA,NA,NA,NA,NA,NA,NA
"PWY-7219","adenosine ribonucleotides <i>de novo</i> biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-7221","guanosine ribonucleotides <i>de novo</i> biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-7224","purine deoxyribonucleosides salvage",0,NA,NA,NA,NA,NA,NA,NA
"PWY-7226","guanosine deoxyribonucleotides <i>de novo</i> biosynthesis I",0,NA,NA,NA,NA,NA,NA,NA
"PWY-7227","adenosine deoxyribonucleotides <i>de novo</i> biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-7252","luteolinidin 5-<i>O</i>-glucoside biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-7253","apigeninidin 5-<i>O</i>-glucoside biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-7270","L-methionine salvage cycle II (plants)",0,NA,NA,NA,NA,NA,NA,NA
"PWY-7280","ternatin C3 biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-7343","UDP-&alpha;-D-glucose biosynthesis I",0,NA,NA,NA,NA,NA,NA,NA
"PWY-7344","UDP-&alpha;-D-galactose biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-7346","UDP-&alpha;-D-glucuronate biosynthesis (from UDP-glucose)",0,NA,NA,NA,NA,NA,NA,NA
"PWY-735","jasmonic acid biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-7388","octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)",0,NA,NA,NA,NA,NA,NA,NA
"PWY-7411","phosphatidate biosynthesis (yeast)",0,NA,NA,NA,NA,NA,NA,NA
"PWY-7436","vitamin E biosynthesis (tocotrienols)",0,NA,NA,NA,NA,NA,NA,NA
"PWY-7458","violdelphin biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-7464","cyanidin 3,7-diglucoside polyacylation biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-7468","benzoyl-&beta;-<i>D</i>-glucopyranose biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-7477","momilactone A biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-7478","oryzalexin D and E biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-7484","phytocassanes biosynthesis, shared reactions",0,NA,NA,NA,NA,NA,NA,NA
"PWY-7489","oryzalexin A, B, and C biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-7528","L-methionine salvage cycle I (bacteria and plants)",0,NA,NA,NA,NA,NA,NA,NA
"PWY-7546","diphthamide biosynthesis II (eukaryotes)",0,NA,NA,NA,NA,NA,NA,NA
"PWY-7560","methylerythritol phosphate pathway II",0,NA,NA,NA,NA,NA,NA,NA
"PWY-7590","(7Z,10Z,13Z)-hexadecatrienoate biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-762","phospholipid desaturation",0,NA,NA,NA,NA,NA,NA,NA
"PWY-7634","vernolate biosynthesis II",0,NA,NA,NA,NA,NA,NA,NA
"PWY-7683","nitrite reduction (hemoglobin)",0,NA,NA,NA,NA,NA,NA,NA
"PWY-7856","heme <i>a</i> biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-7859","jasmonoyl-L-isoleucine inactivation",0,NA,NA,NA,NA,NA,NA,NA
"PWY-7861","L-pipecolate biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-7897","flavonoid di-C-glucosylation",0,NA,NA,NA,NA,NA,NA,NA
"PWY-7909","formaldehyde oxidation VII (THF pathway)",0,NA,NA,NA,NA,NA,NA,NA
"PWY-7995","tricin biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-8001","felinine and 3-methyl-3-sulfanylbutan-1-ol biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-8011","L-serine biosynthesis II",0,NA,NA,NA,NA,NA,NA,NA
"PWY-8027","parkeol biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-8028","cycloartenol biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-82","UDP-&beta;-L-arabinose biosynthesis II (from &beta;-L-arabinose)",0,NA,NA,NA,NA,NA,NA,NA
"PWY-84","resveratrol biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-861","dhurrin biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-862","fructan degradation",0,NA,NA,NA,NA,NA,NA,NA
"PWY-882","L-ascorbate biosynthesis I (L-galactose pathway)",0,NA,NA,NA,NA,NA,NA,NA
"PWY-922","mevalonate pathway I",0,NA,NA,NA,NA,NA,NA,NA
"PWY0-1021","L-alanine biosynthesis III",0,NA,NA,NA,NA,NA,NA,NA
"PWY0-1264","biotin-carboxyl carrier protein assembly",0,NA,NA,NA,NA,NA,NA,NA
"PWY0-1319","CDP-diacylglycerol biosynthesis II",0,NA,NA,NA,NA,NA,NA,NA
"PWY0-1325","superpathway of L-asparagine biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY0-1507","biotin biosynthesis from 8-amino-7-oxononanoate I",0,NA,NA,NA,NA,NA,NA,NA
"PWY0-1535","D-serine degradation",0,NA,NA,NA,NA,NA,NA,NA
"PWY0-166","superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis (<i>E. coli</i>)",0,NA,NA,NA,NA,NA,NA,NA
"PWY0-501","lipoate biosynthesis and incorporation I",0,NA,NA,NA,NA,NA,NA,NA
"PWY0-662","PRPP biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY0A-6303","methyl indole-3-acetate interconversion",0,NA,NA,NA,NA,NA,NA,NA
"PWY18C3-22","methylsalicylate biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY18C3-24","methylsalicylate degradation",0,NA,NA,NA,NA,NA,NA,NA
"PWY1F-353","glycine betaine biosynthesis III (plants)",0,NA,NA,NA,NA,NA,NA,NA
"PWY1F-467","phenylpropanoid biosynthesis, initial reactions",0,NA,NA,NA,NA,NA,NA,NA
"PWY1F-FLAVSYN","flavonoid biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY3O-4107","NAD salvage pathway V (PNC V cycle)",0,NA,NA,NA,NA,NA,NA,NA
"PWY3O-450","phosphatidylcholine biosynthesis I",0,NA,NA,NA,NA,NA,NA,NA
"PWY4FS-10","scopolin biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY4FS-2","phosphatidylcholine biosynthesis II",0,NA,NA,NA,NA,NA,NA,NA
"PWY4FS-3","phosphatidylcholine biosynthesis III",0,NA,NA,NA,NA,NA,NA,NA
"PWY4FS-4","phosphatidylcholine biosynthesis IV",0,NA,NA,NA,NA,NA,NA,NA
"PWY4FS-6","phosphatidylethanolamine biosynthesis II",0,NA,NA,NA,NA,NA,NA,NA
"PWY4FS-7","phosphatidylglycerol biosynthesis I (plastidic)",0,NA,NA,NA,NA,NA,NA,NA
"PWY4FS-8","phosphatidylglycerol biosynthesis II (non-plastidic)",0,NA,NA,NA,NA,NA,NA,NA
"PWY4LZ-81","Organic Nitrogen Assimilation",0,NA,NA,NA,NA,NA,NA,NA
"PWY66-423","fructose 2,6-bisphosphate biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWYDQC-4","indole-3-acetate biosynthesis I",0,NA,NA,NA,NA,NA,NA,NA
"PWYIO2-7","triacylglycerol biosynthesis (Chlamydomonas)",0,NA,NA,NA,NA,NA,NA,NA
"PWYQT-1","lysine degradation III",0,NA,NA,NA,NA,NA,NA,NA
"PWYQT-4427","sulfoquinovosyl diacylglycerol biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWYQT-4429","CO<sub>2</sub> fixation into oxaloacetate (anaplerotic)",0,NA,NA,NA,NA,NA,NA,NA
"PWYQT-4433","CA1P biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWYQT-4445","pyrimidine salvage pathway",0,NA,NA,NA,NA,NA,NA,NA
"PWYQT-4449","polyisoprenoid biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWYQT-94","superpathway of polyamine biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PYRIDNUCSYN-PWY","NAD <i>de novo</i> biosynthesis I (from aspartate)",0,NA,NA,NA,NA,NA,NA,NA
"PYRUVDEHYD-PWY","pyruvate decarboxylation to acetyl CoA",0,NA,NA,NA,NA,NA,NA,NA
"RIBOSYN2-PWY","flavin biosynthesis I (bacteria and plants)",0,NA,NA,NA,NA,NA,NA,NA
"SAM-PWY","S-adenosyl-L-methionine biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"SERSYN-PWY","L-serine biosynthesis I",0,NA,NA,NA,NA,NA,NA,NA
"SUCSYN-PWY","sucrose biosynthesis I (from photosynthesis)",0,NA,NA,NA,NA,NA,NA,NA
"SULFMETII-PWY","assimilatory sulfate reduction II",0,NA,NA,NA,NA,NA,NA,NA
"THIOREDOX-PWY","thioredoxin pathway",0,NA,NA,NA,NA,NA,NA,NA
"THRESYN-PWY","superpathway of L-threonine biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"TRIGLSYN-PWY","diacylglycerol and triacylglycerol biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"TRPSYN-PWY","L-tryptophan biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"TYRFUMCAT-PWY","L-tyrosine degradation I",0,NA,NA,NA,NA,NA,NA,NA
"UDPNACETYLGALSYN-PWY","UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis II",0,NA,NA,NA,NA,NA,NA,NA
"VALDEG-PWY","L-valine degradation I",0,NA,NA,NA,NA,NA,NA,NA
"VALSYN-PWY","L-valine biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
