"pathway_id","pathway_name","n_genes","acat_p","fisher_p","stouffer_p_analytic","minp_p_analytic","tfisher_p_analytic","omni_p_final","FDR","genes_used"
"PWY-622","starch biosynthesis",22,4.52748409011701e-07,1.55156705561061e-06,0.00603564902270198,4.52759902163105e-07,1e-15,9.99900009999e-05,0.000561587676848754,"SORBI_3002G125800;SORBI_3002G155900;SORBI_3001G116500;SORBI_3003G222500;SORBI_3001G071800;SORBI_3002G230600;SORBI_3010G093400;SORBI_3010G047700;SORBI_3009G209300;SORBI_3008G098032;SORBI_3004G238600;SORBI_3004G338100;SORBI_3007G068200;SORBI_3001G239500;SORBI_3006G221000;SORBI_3003G230500;SORBI_3009G245000;SORBI_3007G101500;SORBI_3001G100000;SORBI_3001G376266;SORBI_3002G088600;SORBI_3002G160400"
"PWY-6233","jasmonoyl-amino acid conjugates biosynthesis II",5,1.97630097866465e-07,3.56628087780005e-05,0.0180240134253018,1.97629984376954e-07,1e-15,9.99900009999e-05,0.000561587676848754,"SORBI_3003G224100;SORBI_3003G015000;SORBI_3003G015100;SORBI_3009G249900;SORBI_3005G108300"
"PWY-6333","acetaldehyde biosynthesis I",11,1.57695402853114e-08,7.6597500851135e-13,4.88181761138996e-05,2.57872996977342e-08,1e-15,9.99900009999e-05,0.000561587676848754,"SORBI_3002G379200;SORBI_3002G379100;SORBI_3001G264000;SORBI_3001G475800;SORBI_3001G097600;SORBI_3001G475900;SORBI_3001G263900;SORBI_3004G226500;SORBI_3004G343200;SORBI_3005G103300;SORBI_3005G103500"
"PWY-6348","phosphate acquisition",33,3.26375770048344e-05,0.00542421776814435,0.574842780070299,3.27744191827065e-05,1e-15,9.99900009999e-05,0.000561587676848754,"SORBI_3010G168200;SORBI_3010G029300;SORBI_3010G249300;SORBI_3010G205200;SORBI_3003G314400;SORBI_3003G279300;SORBI_3009G070800;SORBI_3009G071000;SORBI_3009G071300;SORBI_3009G130700;SORBI_3009G071100;SORBI_3009G250300;SORBI_3009G070700;SORBI_3009G070600;SORBI_3005G037850;SORBI_3005G107700;SORBI_3005G147800;SORBI_3005G146300;SORBI_3008G189500;SORBI_3008G037000;SORBI_3008G113000;SORBI_3008G036300;SORBI_3004G097300;SORBI_3007G179266;SORBI_3007G171400;SORBI_3001G442200;SORBI_3001G382900;SORBI_3001G442300;SORBI_3001G186800;SORBI_3001G442100;SORBI_3001G442000;SORBI_3006G068100;SORBI_3002G419500"
"PWY-6363","D-<i>myo</i>-inositol (1,4,5)-trisphosphate degradation",7,0.00203825988724781,0.0120244843323781,0.218677377830799,0.00203578158404189,9.34713216715899e-07,9.99900009999e-05,0.000561587676848754,"SORBI_3009G211400;SORBI_3009G211600;SORBI_3004G023000;SORBI_3004G355000;SORBI_3007G198300;SORBI_3002G254700;SORBI_3009G048900"
"PWY-6540","costunolide biosynthesis",5,0.00181349079117508,0.000579042480386137,0.0181614127036208,0.00189890601686997,2.30793162359078e-12,9.99900009999e-05,0.000561587676848754,"SORBI_3009G172800;SORBI_3009G196700;SORBI_3005G211400;SORBI_3006G121800;SORBI_3009G064400"
"PWY-6549","L-glutamine biosynthesis III",26,8.04177622282249e-07,0.00112420993002952,0.173168943211211,8.04179689083986e-07,1.11022302462516e-15,9.99900009999e-05,0.000561587676848754,"SORBI_3006G141600;SORBI_3009G238900;SORBI_3003G241500;SORBI_3007G068100;SORBI_3001G512800;SORBI_3006G000100;SORBI_3002G316900;SORBI_3004G247000;SORBI_3001G231000;SORBI_3001G116400;SORBI_3001G451500;SORBI_3006G249400;SORBI_3002G402700;SORBI_3003G129900;SORBI_3004G202100;SORBI_3006G120900;SORBI_3004G101900;SORBI_3004G078000;SORBI_3010G160700;SORBI_3003G100600;SORBI_3003G301800;SORBI_3004G106900;SORBI_3007G106500;SORBI_3002G167000;SORBI_3009G132900;SORBI_3001G326900"
"PWY-6554","1D-<i>myo</i>-inositol hexakisphosphate biosynthesis V (from Ins(1,3,4)P3)",8,0.0408422289571971,0.00187655509092879,0.0324573076026095,0.0879160509882874,9.54909721850861e-06,9.99900009999e-05,0.000561587676848754,"SORBI_3004G160800;SORBI_3004G141100;SORBI_3001G106900;SORBI_3001G278700;SORBI_3001G286100;SORBI_3001G447200;SORBI_3002G266300;SORBI_3006G251500"
"PWY-6665","pterostilbene biosynthesis",28,0.00117596268729039,7.07782033148638e-09,2.99862102666163e-05,0.00137019799156674,1e-15,9.99900009999e-05,0.000561587676848754,"SORBI_3010G230800;SORBI_3010G231000;SORBI_3010G234500;SORBI_3010G234400;SORBI_3003G298500;SORBI_3009G197600;SORBI_3009G197800;SORBI_3009G043900;SORBI_3009G197400;SORBI_3009G197000;SORBI_3009G197100;SORBI_3009G198000;SORBI_3005G129100;SORBI_3005G110451;SORBI_3005G045600;SORBI_3005G086600;SORBI_3008G013900;SORBI_3004G341600;SORBI_3004G128400;SORBI_3004G341500;SORBI_3007G074800;SORBI_3001G354400;SORBI_3001G246700;SORBI_3001G354200;SORBI_3001G246650;SORBI_3006G008000;SORBI_3006G007850;SORBI_3006G007900"
"PWY-6803","phosphatidylcholine acyl editing",99,1.947217199189e-06,0.00113506912236947,0.202744624178615,3.09047827269999e-06,1e-15,9.99900009999e-05,0.000561587676848754,"SORBI_3003G414500;SORBI_3004G283600;SORBI_3006G257300;SORBI_3010G159700;SORBI_3010G159900;SORBI_3010G160000;SORBI_3010G047800;SORBI_3003G370500;SORBI_3003G390900;SORBI_3010G160033;SORBI_3003G370600;SORBI_3003G432600;SORBI_3003G239200;SORBI_3003G038000;SORBI_3003G239500;SORBI_3003G274700;SORBI_3003G239100;SORBI_3003G418700;SORBI_3003G391000;SORBI_3009G135100;SORBI_3009G240600;SORBI_3009G125300;SORBI_3009G240500;SORBI_3009G117500;SORBI_3009G014600;SORBI_3009G149700;SORBI_3005G203800;SORBI_3005G111400;SORBI_3005G032700;SORBI_3008G170100;SORBI_3004G297600;SORBI_3004G300100;SORBI_3007G187000;SORBI_3007G011300;SORBI_3007G036900;SORBI_3001G373200;SORBI_3001G365100;SORBI_3001G295700;SORBI_3006G214500;SORBI_3002G320900;SORBI_3002G409500;SORBI_3002G262300;SORBI_3002G177200;SORBI_3002G213300;SORBI_3010G214900;SORBI_3010G045400;SORBI_3010G045500;SORBI_3003G258200;SORBI_3003G004900;SORBI_3003G303900;SORBI_3003G242000;SORBI_3009G031400;SORBI_3005G156100;SORBI_3005G033100;SORBI_3005G020300;SORBI_3005G054900;SORBI_3008G010800;SORBI_3008G051300;SORBI_3006G079500;SORBI_3006G247300;SORBI_3006G247200;SORBI_3006G272600;SORBI_3010G228100;SORBI_3003G029000;SORBI_3003G029200;SORBI_3003G389400;SORBI_3003G074600;SORBI_3003G074500;SORBI_3005G186400;SORBI_3005G186100;SORBI_3005G159400;SORBI_3005G186200;SORBI_3005G219100;SORBI_3005G219000;SORBI_3005G145100;SORBI_3008G135401;SORBI_3008G166050;SORBI_3004G357800;SORBI_3007G158700;SORBI_3007G158500;SORBI_3007G158600;SORBI_3007G158800;SORBI_3001G157700;SORBI_3001G433900;SORBI_3001G103800;SORBI_3001G279800;SORBI_3001G288200;SORBI_3001G448800;SORBI_3001G348600;SORBI_3001G067500;SORBI_3001G429900;SORBI_3001G120400;SORBI_3001G158200;SORBI_3001G157900;SORBI_3006G276100;SORBI_3002G401900;SORBI_3002G228700;SORBI_3002G031800;SORBI_3002G377600"
