GENE,magma_p,magma_z,n_top_pathways,best_pathway_p,pathway_rank,pathways,gwas_min_p,gwas_rank,magma_rank,hit_gwas,hit_magma,hit_pathway,support_layers,score
SORBI_3009G225700,1.04E-12,7.4778,5,1.55E-52,1,PWY-5921; PWY-6963; GLUGLNSYN-PWY; GLUTAMINDEG-PWY; PWY4LZ-81,1.04E-12,31,31,TRUE,TRUE,TRUE,3,11.26041732
SORBI_3009G239500,3.13E-09,6.4011,5,1.55E-52,1,PWY-5921; PWY-7185; PWY-7176; GLUTAMINDEG-PWY; PWY-5687,3.13E-09,126,126,TRUE,TRUE,TRUE,3,10.04239962
SORBI_3009G239301,1.96E-08,6.0894,5,1.55E-52,1,PWY-5921; PWY-7185; PWY-7176; GLUTAMINDEG-PWY; PWY-5687,1.96E-08,171,171,TRUE,TRUE,TRUE,3,9.777148491
SORBI_3009G231300,4.82E-15,7.7045,0,NA,NA,NA,4.82E-15,1,1,TRUE,TRUE,FALSE,2,9.062114382
SORBI_3004G209300,0.00014783,2.4583,5,1.55E-52,1,PWY-5921; PWY-6963; GLUGLNSYN-PWY; GLUTAMINDEG-PWY; PWY4LZ-81,0.00014783,535,535,FALSE,FALSE,TRUE,1,8.786433148
SORBI_3009G231200,5.14E-15,7.6006,0,NA,NA,NA,5.14E-15,2,2,TRUE,TRUE,FALSE,2,8.460054391
SORBI_3006G028000,0.0024477,2.5725,2,1.55E-52,1,PWY-5921; GLUTAMINDEG-PWY,0.0024477,1012,1012,FALSE,FALSE,TRUE,1,8.232779687
SORBI_3009G231400,1.71E-14,7.3146,0,NA,NA,NA,1.71E-14,3,3,TRUE,TRUE,FALSE,2,8.107871873
SORBI_3009G231100,8.99E-14,7.7039,1,3.46E-14,15,PWY-1269,8.99E-14,16,16,TRUE,TRUE,TRUE,3,8.000001259
SORBI_3007G174600,0.0056084,2.0994,5,1.55E-52,1,PWY-5921; PWY-6963; GLUGLNSYN-PWY; GLUTAMINDEG-PWY; PWY4LZ-81,0.0056084,1427,1427,FALSE,FALSE,TRUE,1,7.934292765
SORBI_3009G226250,1.85E-14,7.4733,0,NA,NA,NA,1.85E-14,4,4,TRUE,TRUE,FALSE,2,7.8579944
SORBI_3003G241000,0.011137,2.4102,5,1.55E-52,1,PWY-5921; PWY-7185; PWY-7176; GLUTAMINDEG-PWY; PWY-5687,0.011137,1912.5,1912.5,FALSE,FALSE,TRUE,1,7.679937824
SORBI_3009G229300,4.86E-13,7.1342,1,5.39E-14,16,PWY-5800,4.86E-13,23,23,TRUE,TRUE,TRUE,3,7.665529294
SORBI_3009G229400,1.98E-14,7.3207,0,NA,NA,NA,1.98E-14,5,5,TRUE,TRUE,FALSE,2,7.664174374
SORBI_3009G229600,3.30E-14,6.2135,0,NA,NA,NA,3.30E-14,6,6,TRUE,TRUE,FALSE,2,7.505811882
SORBI_3009G226600,1.02E-12,7.2291,2,1.22E-12,19,PWYIO2-7; TRIGLSYN-PWY,1.02E-12,30,30,TRUE,TRUE,TRUE,3,7.299178904
SORBI_3006G027900,0.031033,2.1937,2,1.55E-52,1,PWY-5921; GLUTAMINDEG-PWY,0.031033,3032,3032,FALSE,FALSE,TRUE,1,7.279682318
SORBI_3009G227700,3.54E-14,5.8953,0,NA,NA,NA,3.54E-14,8,8,TRUE,TRUE,FALSE,2,7.255934408
SORBI_3009G227800,3.54E-14,6.0583,0,NA,NA,NA,3.54E-14,8,8,TRUE,TRUE,FALSE,2,7.255934408
SORBI_3009G227900,3.54E-14,6.1754,0,NA,NA,NA,3.54E-14,8,8,TRUE,TRUE,FALSE,2,7.255934408
SORBI_3003G193700,0.043081,1.9266,2,1.55E-52,1,PWY-5921; GLUTAMINDEG-PWY,0.043081,3572,3572,FALSE,FALSE,TRUE,1,7.137317811
SORBI_3009G225100,3.28E-12,6.7105,2,2.83E-15,12,PWY-5669; PHOSLIPSYN2-PWY,3.28E-12,50.5,50.5,TRUE,TRUE,TRUE,3,7.110403538
SORBI_3009G229900,5.43E-14,6.5706,0,NA,NA,NA,5.43E-14,11,11,TRUE,TRUE,FALSE,2,6.979329012
SORBI_3009G230000,5.43E-14,6.7825,0,NA,NA,NA,5.43E-14,11,11,TRUE,TRUE,FALSE,2,6.979329012
SORBI_3009G230100,5.43E-14,7.1953,0,NA,NA,NA,5.43E-14,11,11,TRUE,TRUE,FALSE,2,6.979329012
SORBI_3009G223100,2.23E-07,5.1721,2,2.10E-27,3,PWY-2781; PWY-2681,2.23E-07,242,242,FALSE,TRUE,TRUE,2,6.962326115
SORBI_3009G230600,6.24E-14,7.7781,0,NA,NA,NA,6.24E-14,13,13,TRUE,TRUE,FALSE,2,6.834227678
SORBI_3009G227650,6.59E-14,5.7138,0,NA,NA,NA,6.59E-14,14,14,TRUE,TRUE,FALSE,2,6.769858311
SORBI_3009G230900,8.99E-14,7.5586,0,NA,NA,NA,8.99E-14,16,16,TRUE,TRUE,FALSE,2,6.653874417
SORBI_3009G231000,8.99E-14,7.6189,0,NA,NA,NA,8.99E-14,16,16,TRUE,TRUE,FALSE,2,6.653874417
SORBI_3009G230400,3.17E-12,7.5817,1,3.06E-10,25,PWY-6949,3.17E-12,49,49,TRUE,TRUE,TRUE,3,6.633135345
SORBI_3008G139800,0.13319,1.1533,2,1.55E-52,1,PWY-5921; GLUTAMINDEG-PWY,0.13319,6848,6848,FALSE,FALSE,TRUE,1,6.572013208
SORBI_3009G246400,6.32E-07,5.2105,8,1.94E-24,5,PWYQT-4449; PWY-5121; PWY-5120; PWY-5863; PWY-5910; PWY-5805; PWY-5807; PWY-5864,6.32E-07,271,271,FALSE,TRUE,TRUE,2,6.567443152
SORBI_3005G139300,0.13693,0.69596,2,1.55E-52,1,PWY-5921; GLUTAMINDEG-PWY,0.13693,6971.5,6971.5,FALSE,FALSE,TRUE,1,6.556488248
SORBI_3006G057200,9.38E-14,5.5934,0,NA,NA,NA,9.38E-14,18,18,TRUE,TRUE,FALSE,2,6.551569372
SORBI_3009G230200,1.09E-13,7.7204,0,NA,NA,NA,1.09E-13,19,19,TRUE,TRUE,FALSE,2,6.504607181
SORBI_3009G216800,1.92E-06,4.6316,6,1.94E-24,5,PWYQT-4449; PWY-5121; PWY-5120; PWY-5863; PWY-5910; PWY-5123,1.92E-06,302,302,FALSE,FALSE,TRUE,1,6.473367848
SORBI_3009G232266,1.34E-13,7.4677,0,NA,NA,NA,1.34E-13,20,20,TRUE,TRUE,FALSE,2,6.460054391
SORBI_3009G230800,1.94E-13,6.7868,0,NA,NA,NA,1.94E-13,21,21,TRUE,TRUE,FALSE,2,6.417675793
SORBI_3009G228900,2.93E-13,6.2608,0,NA,NA,NA,2.93E-13,22,22,TRUE,TRUE,FALSE,2,6.377269021
SORBI_3009G229000,5.28E-13,6.1742,0,NA,NA,NA,5.28E-13,24,24,TRUE,TRUE,FALSE,2,6.301691899
SORBI_3009G238700,1.53E-12,6.733,1,1.00E-04,65.5,PWY-3781,1.53E-12,39.5,39.5,TRUE,TRUE,TRUE,3,6.268924534
SORBI_3009G229700,5.45E-13,5.6266,0,NA,NA,NA,5.45E-13,25,25,TRUE,TRUE,FALSE,2,6.266234365
