"pathway_id","pathway_name","n_genes","acat_p","fisher_p","stouffer_p","minp_p","tfisher_p","omni_p","FDR"
"PWY-6233","jasmonoyl-amino acid conjugates biosynthesis II",24,1.05402688309295e-07,1e-15,1e-15,9.48623568804034e-07,1e-15,1.72084568816899e-15,2.54796184151473e-14
"PWY-6333","acetaldehyde biosynthesis I",18,7.48810153397754e-09,1e-15,1.8054703937138e-15,4.21973991591514e-08,1e-15,1.99840144432528e-15,2.54796184151473e-14
"PWY-5800","xylan biosynthesis",34,4.13347317835152e-12,1e-15,1.87901722540115e-05,1.65338599998673e-11,1e-15,2.4980018054066e-15,2.54796184151473e-14
"PWY-6963","ammonia assimilation cycle I",36,1.86485789088921e-11,1e-15,2.91608908995022e-05,3.72959999993238e-11,1e-15,2.4980018054066e-15,2.54796184151473e-14
"GLUTAMINDEG-PWY","L-glutamine degradation I",51,5.28173405482799e-11,1e-15,0.000140577798894011,5.28359999986316e-11,1e-15,2.4980018054066e-15,2.54796184151473e-14
"PWY-6949","DIBOA-glucoside biosynthesis",51,5.39532095692716e-11,1e-15,2.83856031075591e-07,1.61858699987158e-10,1e-15,2.4980018054066e-15,2.54796184151473e-14
"PWY-3781","aerobic respiration I (cytochrome c)",438,1.11371215708794e-10,1e-15,1.3426868613862e-12,6.68300399777197e-10,1e-15,2.4980018054066e-15,2.54796184151473e-14
"PWY-6066","IAA biosynthesis VII",4,8.9247967456755e-09,1e-15,8.46986990813742e-10,1.78495998805219e-08,1e-15,2.4980018054066e-15,2.54796184151473e-14
"PWY-5486","pyruvate fermentation to ethanol II",24,9.98413544918252e-09,1e-15,1.22830603427185e-10,5.62631984831751e-08,1e-15,2.4980018054066e-15,2.54796184151473e-14
"HEXPPSYN-PWY","hexaprenyl diphosphate biosynthesis",1,6.31530000014046e-07,6.3153e-07,9.41661903197749e-08,1e-15,1e-15,2.4980018054066e-15,2.54796184151473e-14
"PWY-5783","octaprenyl diphosphate biosynthesis",1,6.31530000014046e-07,6.3153e-07,9.41661903197749e-08,1e-15,1e-15,2.4980018054066e-15,2.54796184151473e-14
"PWY-6520","nonaprenyl diphosphate biosynthesis II",1,6.31530000014046e-07,6.3153e-07,9.41661903197749e-08,1e-15,1e-15,2.4980018054066e-15,2.54796184151473e-14
"PWY-2681","<i>trans</i>-zeatin biosynthesis",57,3.84745899669691e-06,1e-15,1.17841164910488e-12,1.27337203478605e-05,1e-15,2.4980018054066e-15,2.54796184151473e-14
"PWY-6665","pterostilbene biosynthesis",60,0.00123424943795864,1e-15,8.3000343824767e-12,0.00293383979417163,1e-15,2.4980018054066e-15,2.54796184151473e-14
"PWY-5905","hypusine biosynthesis",26,0.0123156060888478,1e-15,9.60566687443676e-10,0.141045452849677,1e-15,2.4980018054066e-15,2.54796184151473e-14
"PWY-5921","glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation",65,6.73162183432273e-11,3.30381601967226e-15,0.000530531282221483,6.73399999977675e-11,1e-15,3.88578058618805e-15,2.54796184151473e-14
"SUCSYN-PWY","sucrose biosynthesis I (from photosynthesis)",59,2.96180036863744e-09,3.91937719018342e-14,0.0433517631959385,1.18471999310114e-08,1e-15,4.88498130835069e-15,2.54796184151473e-14
"PWY-7176","UTP and CTP <i>de novo</i> biosynthesis",19,5.12169699303185e-08,6.74354971422398e-14,2.09156109964279e-09,5.93939983290093e-08,1e-15,4.94049245958195e-15,2.54796184151473e-14
"PWY-1269","CMP-3-deoxy-D-<I>manno</I>-octulosonate biosynthesis",3,2.69769509565899e-13,8.90793149203188e-12,2.37046503899489e-05,2.69807999999976e-13,1e-15,4.9960036108132e-15,2.54796184151473e-14
"GLUGLNSYN-PWY","L-glutamate biosynthesis IV",8,8.28825729325366e-12,4.29719117092258e-12,0.00044531596147877,8.28799999996994e-12,1e-15,4.9960036108132e-15,2.54796184151473e-14
"PWY-5669","phosphatidylserine and phosphatidylethanolamine biosynthesis I",3,9.83284928891904e-12,5.29775562209498e-10,0.000197842932440965,9.83279999996778e-12,1e-15,4.9960036108132e-15,2.54796184151473e-14
"PHOSLIPSYN2-PWY","superpathway of phospholipid biosynthesis II (plants)",5,1.63880821473544e-11,1.0964343640335e-09,1.01847909920153e-05,1.63879999998926e-11,1e-15,4.9960036108132e-15,2.54796184151473e-14
"PWY4LZ-81","Organic Nitrogen Assimilation",32,3.31530291577099e-11,5.5129567300629e-10,0.00116234971933249,3.31519999994676e-11,1e-15,4.9960036108132e-15,2.54796184151473e-14
"PWYIO2-7","triacylglycerol biosynthesis (Chlamydomonas)",94,9.59612503654735e-11,1.9067809708851e-13,1.08842325965586e-05,9.59645999954444e-11,1e-15,4.9960036108132e-15,2.54796184151473e-14
"TRIGLSYN-PWY","diacylglycerol and triacylglycerol biosynthesis",94,9.59612503654735e-11,1.9067809708851e-13,1.08842325965586e-05,9.59645999954444e-11,1e-15,4.9960036108132e-15,2.54796184151473e-14
