# MEAN_SAMPLE_SIZE = 357
# TOTAL_GENES = 33967
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
GLUTAMATE-DEG1-PWY                    SET       2     -0.16797   -0.0012889      0.44767      0.64624 GLUTAMATE-DEG1-PWY
GLUTAMINDEG-PWY                       SET      34     0.026349   0.00083323      0.12322      0.41534 GLUTAMINDEG-PWY
GLUTATHIONESYN-PWY                    SET       4     -0.15972   -0.0017332      0.37226      0.66606 GLUTATHIONESYN-PWY
GLUTORN-PWY                           SET       9      0.11034    0.0017959      0.23135       0.3167 GLUTORN-PWY
GLYCLEAV-PWY                          SET       8    -0.093933   -0.0014414      0.19954      0.68109 GLYCLEAV-PWY
GLYCOLYSIS                            SET      61     0.027086    0.0011468     0.082782      0.37176 GLYCOLYSIS
GLYOXYLATE-BYPASS                     SET      17     0.019488   0.00043588      0.14387      0.44613 GLYOXYLATE-BYPASS
GLYSYN-ALA-PWY                        SET       5      0.29152    0.0035367      0.27758      0.14681 GLYSYN-ALA-PWY
GLYSYN2-PWY                           SET       9      0.15813    0.0025737      0.24777      0.26167 GLYSYN2-PWY
HEME-BIOSYNTHESIS-II                  SET       9     -0.34748   -0.0056555      0.21306      0.94854 HEME-BIOSYNTHESIS-II
HISTSYN-PWY                           SET      11     -0.11209   -0.0020168      0.19572      0.71658 HISTSYN-PWY
HOMOSER-THRESYN-PWY                   SET       3     -0.19506   -0.0018331      0.37901       0.6966 HOMOSER-THRESYN-PWY
HOMOSERSYN-PWY                        SET       6      0.04077   0.00054182      0.24607       0.4342 HOMOSERSYN-PWY
LEU-DEG2-PWY                          SET      12    -0.045809  -0.00086088      0.19003      0.59525 LEU-DEG2-PWY
LEUSYN-PWY                            SET      10    -0.056445  -0.00096837       0.2153       0.6034 LEUSYN-PWY
LIPAS-PWY                             SET     118     0.051618    0.0030371     0.066673      0.21941 LIPAS-PWY
LIPASYN-PWY                           SET     106     -0.05509   -0.0030727     0.067167      0.79394 LIPASYN-PWY
MANNCAT-PWY                           SET       3       1.0255     0.009637      0.33818    0.0012145 MANNCAT-PWY
MANNOSYL-CHITO-DOLICHOL-BIOS...       SET      23     -0.23259   -0.0060505      0.15042      0.93897 MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS
METHIONINE-DEG1-PWY                   SET       4       0.5122     0.005558      0.38597     0.092252 METHIONINE-DEG1-PWY
NAGLIPASYN-PWY                        SET       5      0.28522    0.0034603      0.34004       0.2008 NAGLIPASYN-PWY
NONMEVIPP-PWY                         SET      13      0.10022    0.0019603      0.19675      0.30525 NONMEVIPP-PWY
NONOXIPENT-PWY                        SET      14    -0.025992  -0.00052758      0.16849       0.5613 NONOXIPENT-PWY
OXIDATIVEPENT-PWY                     SET      12      0.38247    0.0071878      0.17036     0.012385 OXIDATIVEPENT-PWY
PANTO-PWY                             SET       6     0.092221    0.0012256      0.28265      0.37211 PANTO-PWY
PHOSLIPSYN2-PWY                       SET       4    -0.044723   -0.0004853      0.33019      0.55387 PHOSLIPSYN2-PWY
POLYAMINSYN3-PWY                      SET       9       0.6014    0.0097883      0.23638    0.0054796 POLYAMINSYN3-PWY
PROSYN-PWY                            SET       4     -0.32197   -0.0034938      0.31883      0.84371 PROSYN-PWY
PROUT-PWY                             SET       4     0.032072   0.00034802      0.41008      0.46883 PROUT-PWY
PWY-1001                              SET      19    -0.030336  -0.00071729      0.15926      0.57553 PWY-1001
PWY-101                               SET      32    -0.051934   -0.0015933      0.12205      0.66477 PWY-101
PWY-1042                              SET      60      0.12586     0.005285     0.079985     0.057805 PWY-1042
PWY-1061                              SET      25      0.13772     0.003735      0.12905      0.14294 PWY-1061
PWY-1121                              SET      67     -0.13242   -0.0058752     0.084436      0.94158 PWY-1121
PWY-116                               SET       6      0.11137    0.0014801      0.26879      0.33932 PWY-116
PWY-1269                              SET       3      0.36735    0.0034522      0.30504      0.11425 PWY-1269
PWY-1422                              SET      13      0.20147    0.0039407      0.17252      0.12145 PWY-1422
PWY-1581                              SET       8      0.09902    0.0015195      0.23242      0.33504 PWY-1581
PWY-1801                              SET       2     -0.74208   -0.0056942      0.57724       0.9007 PWY-1801
PWY-181                               SET      20      0.15206    0.0036888      0.14407      0.14561 PWY-181
PWY-1822                              SET       7     -0.52236   -0.0074981      0.25891      0.97817 PWY-1822
PWY-2                                 SET       2    0.0077688   5.9612e-05      0.45195      0.49314 PWY-2
PWY-2161                              SET       7      0.36217    0.0051987      0.31311       0.1237 PWY-2161
PWY-2161B                             SET       3      0.17435    0.0016385      0.54406      0.37431 PWY-2161B
PWY-2161B-PMN                         SET       5      0.62835    0.0076231      0.44252     0.077819 PWY-2161B-PMN
PWY-2261                              SET      20    -0.018818  -0.00045649      0.15077      0.54966 PWY-2261
PWY-2301                              SET       2    -0.037342  -0.00028654      0.41237      0.53608 PWY-2301
PWY-241                               SET      18     -0.42672   -0.0098207      0.15008      0.99777 PWY-241
PWY-2541                              SET      27      0.03848    0.0010845      0.13215      0.38546 PWY-2541
PWY-2582                              SET       6      0.10485    0.0013934      0.30034      0.36351 PWY-2582
PWY-2681                              SET      21    -0.037721  -0.00093763      0.16015       0.5931 PWY-2681
PWY-2781                              SET       4    -0.011536  -0.00012518      0.30825      0.51493 PWY-2781
PWY-282                               SET      11      0.14803    0.0026636      0.22439      0.25472 PWY-282
PWY-2841                              SET       4      0.79275    0.0086024      0.38287     0.019205 PWY-2841
PWY-2902                              SET      31      0.15546    0.0046943      0.13561      0.12583 PWY-2902
