# MEAN_SAMPLE_SIZE = 357
# TOTAL_GENES = 33967
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
PWY-701                               SET       2      0.16008    0.0012284      0.51823       0.3787 PWY-701
PWY-702                               SET       4     -0.47007   -0.0051008      0.29081      0.94699 PWY-702
PWY-7029                              SET       2    -0.075383  -0.00057843      0.38142      0.57833 PWY-7029
PWY-7039                              SET      39     -0.13745    -0.004655      0.10199      0.91113 PWY-7039
PWY-7060                              SET      10    -0.078433   -0.0013456      0.18335      0.66559 PWY-7060
PWY-7101                              SET       9       0.5388    0.0087694      0.20789    0.0047775 PWY-7101
PWY-7120                              SET       5     -0.32258   -0.0039135      0.26956      0.88428 PWY-7120
PWY-7141                              SET       7      0.29481    0.0042318      0.36027      0.20659 PWY-7141
PWY-7176                              SET      12    -0.044896  -0.00084372      0.21433      0.58296 PWY-7176
PWY-7183                              SET       6     -0.15621    -0.002076       0.2439      0.73907 PWY-7183
PWY-7184                              SET      42      -0.1299    -0.004565      0.10245      0.89758 PWY-7184
PWY-7185                              SET      26     -0.27862   -0.0077057      0.13096       0.9833 PWY-7185
PWY-7186                              SET      11    -0.032967  -0.00059317      0.19719      0.56639 PWY-7186
PWY-7187                              SET      17    -0.015257  -0.00034124      0.16224      0.53746 PWY-7187
PWY-7193                              SET      11      -0.1105   -0.0019882      0.19284      0.71668 PWY-7193
PWY-7196                              SET       6     -0.15621    -0.002076       0.2439      0.73907 PWY-7196
PWY-7197                              SET       8     -0.17185    -0.002637      0.23248       0.7701 PWY-7197
PWY-7199                              SET       8     -0.25129   -0.0038561      0.24298      0.84947 PWY-7199
PWY-7204                              SET      12      0.23626    0.0044399      0.18489      0.10066 PWY-7204
PWY-7205                              SET      10     -0.05044  -0.00086535       0.2163       0.5922 PWY-7205
PWY-7206                              SET      16     0.098761     0.002143      0.16542      0.27524 PWY-7206
PWY-7208                              SET       6     -0.15621    -0.002076       0.2439      0.73907 PWY-7208
PWY-7219                              SET      14     -0.28089   -0.0057015      0.18197      0.93865 PWY-7219
PWY-7221                              SET       5     0.084168    0.0010211      0.27223      0.37859 PWY-7221
PWY-7224                              SET       9    -0.074487   -0.0012123      0.21478      0.63563 PWY-7224
PWY-7226                              SET       6     -0.12534   -0.0016657       0.2659      0.68131 PWY-7226
PWY-7227                              SET       6     -0.12534   -0.0016657       0.2659      0.68131 PWY-7227
PWY-7252                              SET      31    -0.056872   -0.0017174      0.13379      0.66461 PWY-7252
PWY-7253                              SET      31    -0.056872   -0.0017174      0.13379      0.66461 PWY-7253
PWY-7270                              SET       7    -0.003998  -5.7388e-05      0.26717      0.50597 PWY-7270
PWY-7343                              SET       8       0.1494    0.0022925      0.21731      0.24589 PWY-7343
PWY-7344                              SET       4      0.89657     0.009729      0.33321    0.0035671 PWY-7344
PWY-7346                              SET       3     -0.27335   -0.0025688      0.35374      0.78016 PWY-7346
PWY-735                               SET      32      0.12264    0.0037626      0.13135      0.17524 PWY-735
PWY-7388                              SET      18     0.065511    0.0015077      0.17696      0.35561 PWY-7388
PWY-7411                              SET      32      0.11212    0.0034397      0.12012      0.17533 PWY-7411
PWY-7436                              SET       9      0.10099    0.0016437      0.19334      0.30071 PWY-7436
PWY-7458                              SET       7      0.13751    0.0019739      0.24352      0.28615 PWY-7458
PWY-7464                              SET       7      0.13751    0.0019739      0.24352      0.28615 PWY-7464
PWY-7477                              SET       4      0.19666     0.002134      0.37165      0.29835 PWY-7477
PWY-7478                              SET       6      -0.1961   -0.0026061      0.27748      0.76013 PWY-7478
PWY-7484                              SET      10     0.055865   0.00095841      0.21433      0.39718 PWY-7484
PWY-7489                              SET       2      0.26073    0.0020006      0.52018      0.30811 PWY-7489
PWY-7528                              SET       3      0.55014      0.00517       0.3906     0.079507 PWY-7528
PWY-7546                              SET       7     -0.35561   -0.0051045       0.3154      0.87022 PWY-7546
PWY-7560                              SET      14      0.11093    0.0022517      0.19187      0.28158 PWY-7560
PWY-7590                              SET       2    0.0077745   5.9656e-05      0.58407      0.49469 PWY-7590
PWY-762                               SET       2     -0.72076   -0.0055306      0.46158      0.94079 PWY-762
PWY-7634                              SET      12      0.20169    0.0037903      0.19862      0.15495 PWY-7634
PWY-7856                              SET       2     0.031828   0.00024422       0.3852      0.46707 PWY-7856
PWY-7859                              SET      17     -0.10325   -0.0023093      0.14142      0.76733 PWY-7859
PWY-7897                              SET      37     0.028392   0.00093657      0.11675      0.40393 PWY-7897
PWY-7909                              SET       4      0.09491    0.0010299      0.31029      0.37985 PWY-7909
PWY-7995                              SET      24     -0.12034   -0.0031976      0.14546      0.79596 PWY-7995
PWY-8001                              SET       3     -0.35066   -0.0032954      0.33141      0.85499 PWY-8001
PWY-8011                              SET       9      0.14869    0.0024201      0.24802      0.27441 PWY-8011
PWY-8027                              SET       2     -0.18223   -0.0013983      0.51708      0.63774 PWY-8027
PWY-8028                              SET       7     -0.59664   -0.0085643      0.29822      0.97728 PWY-8028
PWY-82                                SET       3      0.19583    0.0018404      0.44804      0.33103 PWY-82
PWY-84                                SET       2      0.53224     0.004084      0.44605       0.1164 PWY-84
PWY-861                               SET      25   -0.0075269  -0.00020413      0.13886      0.52161 PWY-861
PWY-882                               SET      24      0.43802     0.011639      0.14974    0.0017231 PWY-882
PWY-922                               SET      15     0.065409    0.0013743      0.16988      0.35011 PWY-922
PWY0-1021                             SET       8      0.18642    0.0028607      0.24351      0.22197 PWY0-1021
PWY0-1264                             SET       5       0.4128    0.0050081      0.31363     0.094056 PWY0-1264
PWY0-1319                             SET      21      0.04455    0.0011074      0.14578      0.37996 PWY0-1319
PWY0-1325                             SET       4      0.10984    0.0011919      0.40844      0.39399 PWY0-1325
PWY0-1507                             SET       7  -0.00018558  -2.6638e-06      0.27451      0.50027 PWY0-1507
PWY0-1535                             SET       2     -0.48084   -0.0036896      0.36517      0.90603 PWY0-1535
PWY0-166                              SET      28    -0.091899   -0.0026375      0.12315      0.77224 PWY0-166
PWY0-501                              SET       5      0.05822   0.00070632      0.25971      0.41131 PWY0-501
PWY0-662                              SET       5      0.66605    0.0080805      0.34257     0.025936 PWY0-662
PWY0A-6303                            SET       6      0.19002    0.0025254      0.27601      0.24558 PWY0A-6303
PWY18C3-22                            SET       4    -0.083369  -0.00090467      0.46058      0.57182 PWY18C3-22
PWY1F-353                             SET       3     0.093249   0.00087632       0.3718      0.40098 PWY1F-353
PWY1F-467                             SET      11     -0.58713    -0.010564      0.27085      0.98491 PWY1F-467
PWY1F-FLAVSYN                         SET      52     0.055889    0.0021851     0.096497      0.28124 PWY1F-FLAVSYN
PWY3O-4107                            SET      11     0.018484   0.00033259      0.18906      0.46106 PWY3O-4107
PWY3O-450                             SET       6     -0.12457   -0.0016555      0.25425      0.68791 PWY3O-450
PWY4FS-10                             SET       6      0.11137    0.0014801      0.26879      0.33932 PWY4FS-10
PWY4FS-2                              SET      13    -0.012014  -0.00023498      0.16955      0.52824 PWY4FS-2
PWY4FS-3                              SET       8     0.031801   0.00048799      0.21848      0.44214 PWY4FS-3
PWY4FS-4                              SET       7     0.078126    0.0011214      0.22753      0.36566 PWY4FS-4
PWY4FS-6                              SET       9     0.016184   0.00026341      0.19592      0.46708 PWY4FS-6
PWY4FS-7                              SET       2     -0.10006   -0.0007678      0.42739      0.59255 PWY4FS-7
PWY4FS-8                              SET       2     -0.10006   -0.0007678      0.42739      0.59255 PWY4FS-8
PWY4LZ-81                             SET      20    -0.056646   -0.0013742      0.13132       0.6669 PWY4LZ-81
PWY66-423                             SET       2     0.090847   0.00069709       0.4997      0.42787 PWY66-423
PWYDQC-4                              SET      15    -0.054964   -0.0011548      0.17643       0.6223 PWYDQC-4
PWYIO2-7                              SET      53      0.03735    0.0014742     0.090474      0.33987 PWYIO2-7
PWYQT-1                               SET       4     0.053729   0.00058303      0.26189      0.41873 PWYQT-1
PWYQT-4427                            SET       4      0.23063    0.0025026      0.32284       0.2375 PWYQT-4427
PWYQT-4429                            SET       7     -0.55095   -0.0079085      0.23753      0.98981 PWYQT-4429
PWYQT-4445                            SET      15     -0.21025   -0.0044174      0.16102      0.90418 PWYQT-4445
PWYQT-4449                            SET       5     -0.18319   -0.0022225      0.26815      0.75275 PWYQT-4449
PWYQT-94                              SET       2    -0.040505  -0.00031081      0.59992      0.52692 PWYQT-94
PYRIDNUCSYN-PWY                       SET       5     0.028698   0.00034816      0.30043      0.46195 PYRIDNUCSYN-PWY
PYRUVDEHYD-PWY                        SET      18     -0.15085   -0.0034717      0.13483      0.86838 PYRUVDEHYD-PWY
RIBOSYN2-PWY                          SET      21      0.11353    0.0028221      0.14158      0.21131 RIBOSYN2-PWY
SAM-PWY                               SET       3      0.55014      0.00517       0.3906     0.079507 SAM-PWY
SERSYN-PWY                            SET       6     -0.16348   -0.0021726      0.26033      0.73498 SERSYN-PWY
SUCSYN-PWY                            SET      33    -0.041183    -0.001283      0.11861      0.63578 SUCSYN-PWY
SULFMETII-PWY                         SET       5     0.016659   0.00020211      0.34853      0.48094 SULFMETII-PWY
THIOREDOX-PWY                         SET      20     -0.10417   -0.0025269      0.14809       0.7591 THIOREDOX-PWY
THRESYN-PWY                           SET       6   -0.0017748  -2.3587e-05      0.25988      0.50272 THRESYN-PWY
TRIGLSYN-PWY                          SET      53      0.03735    0.0014742     0.090474      0.33987 TRIGLSYN-PWY
TRPSYN-PWY                            SET      17     -0.24082   -0.0053863      0.18049      0.90893 TRPSYN-PWY
TYRFUMCAT-PWY                         SET       8      0.15464     0.002373      0.21921      0.24027 TYRFUMCAT-PWY
UDPNACETYLGALSYN-PWY                  SET      10     0.061576    0.0010564      0.23504      0.39667 UDPNACETYLGALSYN-PWY
VALDEG-PWY                            SET       6      0.12719    0.0016903      0.27857      0.32399 VALDEG-PWY
VALSYN-PWY                            SET       6      0.25098    0.0033354      0.27684      0.18232 VALSYN-PWY
