gene1	gene2	r
SORBI_3001G000200	SORBI_3001G000100	0.299253
SORBI_3010G000200	SORBI_3010G000100	0.956929
SORBI_3002G000300	SORBI_3002G000200	0.871951
SORBI_3003G000150	SORBI_3003G000100	0.97673
SORBI_3004G000300	SORBI_3004G000100	0.900114
SORBI_3005G000200	SORBI_3005G000100	0.288382
SORBI_3006G000200	SORBI_3006G000100	0.412704
SORBI_3007G000100	SORBI_3007G000050	0.859648
SORBI_3008G000201	SORBI_3008G000100	0.825519
SORBI_3009G000200	SORBI_3009G000100	0.80208
