"pathway_id","pathway_name","n_genes","gene_names","gene_pvals","magma_pvalue"
"PWY-3821","D-galactose detoxification",7,"SORBI_3001G026000;SORBI_3001G372500;SORBI_3002G047500;SORBI_3002G170100;SORBI_3002G271200;SORBI_3007G114500;SORBI_3010G251200","2.1670e-01;5.6581e-01;4.3706e-01;1.6097e-01;1.6230e-02;1.0975e-01;1.4848e-02",0.00091328
"PWY-46","putrescine biosynthesis III",6,"SORBI_3002G282800;SORBI_3002G282900;SORBI_3002G284000;SORBI_3002G302100;SORBI_3004G319100;SORBI_3005G156000","1.9336e-02;2.1810e-02;7.1391e-01;1.3327e-01;1.1766e-01;1.1422e-01",0.0011174
"MANNCAT-PWY","D-mannose degradation",3,"SORBI_3002G100900;SORBI_3003G087900;SORBI_3005G176100","7.6052e-01;9.6041e-03;4.4454e-01",0.0012145
"PWY-882","L-ascorbate biosynthesis I (L-galactose pathway)",24,"SORBI_3001G247600;SORBI_3001G292000;SORBI_3001G424500;SORBI_3001G462200;SORBI_3002G100900;SORBI_3002G125800;SORBI_3002G155900;SORBI_3003G087900;SORBI_3003G119900;SORBI_3003G290200;SORBI_3003G355200;SORBI_3003G391500;SORBI_3005G031000;SORBI_3005G031200;SORBI_3005G123200;SORBI_3005G168600;SORBI_3005G176100;SORBI_3006G008200;SORBI_3006G271500;SORBI_3008G064700;SORBI_3008G097000;SORBI_3008G167600;SORBI_3010G007200;SORBI_3010G007300","2.1523e-01;3.1049e-01;4.5778e-01;6.5824e-01;7.6052e-01;1.5473e-01;8.1070e-01;9.6041e-03;1.8429e-01;5.0337e-01;3.8312e-01;7.1301e-02;5.9652e-01;6.2079e-01;1.2028e-01;1.8521e-01;4.4454e-01;1.2544e-01;7.3343e-01;1.3141e-01;5.4037e-01;1.8000e-01;4.1883e-01;7.8639e-01",0.0017231
"PWY-7344","UDP-&alpha;-D-galactose biosynthesis",4,"SORBI_3001G372500;SORBI_3002G170100;SORBI_3002G271200;SORBI_3007G114500","5.6581e-01;1.6097e-01;1.6230e-02;1.0975e-01",0.0035671
"GALACTMETAB-PWY","UDP-galactose biosynthesis (salvage pathway from galactose using UDP-glucose)",9,"SORBI_3001G026000;SORBI_3001G372500;SORBI_3002G170100;SORBI_3002G271200;SORBI_3002G291200;SORBI_3004G013500;SORBI_3007G114500;SORBI_3009G168600;SORBI_3010G251200","2.1670e-01;5.6581e-01;1.6097e-01;1.6230e-02;2.8499e-01;4.0044e-01;1.0975e-01;1.0120e-02;1.4848e-02",0.0040127
"PWY-7101","5-deoxystrigol biosynthesis",9,"SORBI_3002G380550;SORBI_3003G293600;SORBI_3005G002500;SORBI_3005G105700;SORBI_3005G168200;SORBI_3006G170300;SORBI_3007G016600;SORBI_3007G170300;SORBI_3009G030800","3.2911e-02;4.7863e-01;4.5121e-01;2.7378e-01;9.4981e-01;8.1296e-01;7.8751e-02;6.1844e-02;5.3583e-01",0.0047775
"PWY-6527","stachyose degradation",11,"SORBI_3001G026000;SORBI_3001G372500;SORBI_3002G047500;SORBI_3002G170100;SORBI_3002G271200;SORBI_3002G291200;SORBI_3004G013500;SORBI_3007G114500;SORBI_3007G219900;SORBI_3009G168600;SORBI_3010G251200","2.1670e-01;5.6581e-01;4.3706e-01;1.6097e-01;1.6230e-02;2.8499e-01;4.0044e-01;1.0975e-01;1.7914e-01;1.0120e-02;1.4848e-02",0.0049443
"POLYAMINSYN3-PWY","superpathway of polyamine biosynthesis II",9,"SORBI_3002G282800;SORBI_3002G282900;SORBI_3002G284000;SORBI_3002G302100;SORBI_3004G016000;SORBI_3004G113100;SORBI_3004G319100;SORBI_3005G156000;SORBI_3010G153900","1.9336e-02;2.1810e-02;7.1391e-01;1.3327e-01;6.8039e-01;2.6383e-01;1.1766e-01;1.1422e-01;5.1013e-01",0.0054796
"PWY-6665","pterostilbene biosynthesis",28,"SORBI_3001G246650;SORBI_3001G246700;SORBI_3001G354200;SORBI_3001G354400;SORBI_3003G298500;SORBI_3004G128400;SORBI_3004G341500;SORBI_3004G341600;SORBI_3005G045600;SORBI_3005G086600;SORBI_3005G110451;SORBI_3005G129100;SORBI_3006G007850;SORBI_3006G007900;SORBI_3006G008000;SORBI_3007G074800;SORBI_3008G013900;SORBI_3009G043900;SORBI_3009G197000;SORBI_3009G197100;SORBI_3009G197400;SORBI_3009G197600;SORBI_3009G197800;SORBI_3009G198000;SORBI_3010G230800;SORBI_3010G231000;SORBI_3010G234400;SORBI_3010G234500","4.5387e-01;2.5870e-02;8.2946e-01;4.7338e-01;5.9017e-01;2.4006e-01;3.0704e-01;2.6169e-01;5.2909e-01;7.5790e-01;2.8000e-01;4.7877e-01;8.6221e-03;2.4026e-02;1.4622e-02;6.7699e-01;6.8399e-02;7.8848e-01;4.8968e-05;8.6824e-04;7.0867e-04;2.1862e-03;5.8629e-02;1.2290e-02;5.4745e-01;2.0713e-01;8.1394e-01;7.7554e-01",0.0071135
"PWY-5659","GDP-mannose biosynthesis",12,"SORBI_3001G071800;SORBI_3001G424500;SORBI_3001G462200;SORBI_3002G100900;SORBI_3002G125800;SORBI_3002G155900;SORBI_3002G230600;SORBI_3003G087900;SORBI_3003G355200;SORBI_3005G176100;SORBI_3006G008200;SORBI_3006G271500","4.3261e-01;4.5778e-01;6.5824e-01;7.6052e-01;1.5473e-01;8.1070e-01;2.9396e-01;9.6041e-03;3.8312e-01;4.4454e-01;1.2544e-01;7.3343e-01",0.0071741
"PWY-4541","lipid-dependent phytate biosynthesis I (via Ins(1,4,5)P<sub>3</sub>)",2,"SORBI_3004G160800;SORBI_3006G251500","6.4494e-02;1.7848e-02",0.011263
"OXIDATIVEPENT-PWY","pentose phosphate pathway (oxidative branch) I",12,"SORBI_3001G336500;SORBI_3001G339100;SORBI_3001G390900;SORBI_3002G272500;SORBI_3002G368000;SORBI_3003G418600;SORBI_3004G204900;SORBI_3005G115600;SORBI_3006G030800;SORBI_3006G126300;SORBI_3007G179900;SORBI_3010G009300","9.1125e-01;3.2479e-01;5.2620e-01;2.0982e-01;2.7236e-02;7.9846e-01;3.4606e-01;4.7682e-01;9.1473e-04;6.4412e-01;1.3905e-01;1.5934e-01",0.012385
"PWY-3981","&beta;-alanine biosynthesis I",10,"SORBI_3002G215700;SORBI_3002G318100;SORBI_3003G203500;SORBI_3004G250900;SORBI_3004G300800;SORBI_3005G064800;SORBI_3006G163300;SORBI_3008G057500;SORBI_3010G113000;SORBI_3010G178300","1.5091e-01;7.3045e-03;8.9249e-02;4.5419e-01;3.3271e-03;4.0761e-02;4.5391e-01;9.5079e-01;9.9775e-02;7.3392e-02",0.018674
"PWY-2841","cytokinins degradation",4,"SORBI_3003G036700;SORBI_3004G093900;SORBI_3004G094000;SORBI_3006G151500","5.9115e-01;4.5147e-02;3.2184e-02;1.0902e-01",0.019205
