"GENE","magma_p","magma_z","n_top_pathways","best_pathway_p","pathway_rank","pathways","gwas_min_p","gwas_rank","magma_rank","hit_gwas","hit_magma","hit_pathway","support_layers","score"
"SORBI_3009G220100",2.8433e-05,3.7885,1,4.44281448339832e-15,18,"PWY-5980",2.8433e-05,414,414,FALSE,FALSE,TRUE,1,5.26334788232672
"SORBI_3006G057733",6.5871e-11,5.021,0,NA,NA,NA,6.5871e-11,80,80,TRUE,TRUE,FALSE,2,5.25593440848269
"SORBI_3010G201266",0.056928,1.8916,1,5.95944405557204e-35,1,"PWY-3781",0.056928,4140,4140,FALSE,FALSE,TRUE,1,5.25059312550678
"SORBI_3009G247100",8.3518e-11,6.0757,0,NA,NA,NA,8.3518e-11,81,81,TRUE,TRUE,FALSE,2,5.24514434470928
"SORBI_3004G027700",0.058615,1.0798,1,5.95944405557204e-35,1,"PWY-3781",0.058615,4205,4205,FALSE,FALSE,TRUE,1,5.23706180748071
"SORBI_3009G233100",1.1274e-10,6.037,0,NA,NA,NA,1.1274e-10,82,82,TRUE,TRUE,FALSE,2,5.23448667769915
"SORBI_3009G244800",1.1965e-10,5.939,0,NA,NA,NA,1.1965e-10,83.5,83.5,TRUE,TRUE,FALSE,2,5.21874143149937
"SORBI_3009G244900",1.1965e-10,6.0872,0,NA,NA,NA,1.1965e-10,83.5,83.5,TRUE,TRUE,FALSE,2,5.21874143149937
"SORBI_3009G232000",1.2219e-10,6.94,0,NA,NA,NA,1.2219e-10,85,85,TRUE,TRUE,FALSE,2,5.20327653103799
"SORBI_3009G224200",1.2734e-10,6.3204,0,NA,NA,NA,1.2734e-10,86,86,TRUE,TRUE,FALSE,2,5.19311747997944
"SORBI_3009G225250",1.4515e-10,5.9816,0,NA,NA,NA,1.4515e-10,87,87,TRUE,TRUE,FALSE,2,5.18307587722934
"SORBI_3010G189200",0.066647,1.542,1,5.95944405557204e-35,1,"PWY-3781",0.066647,4514,4514,FALSE,FALSE,TRUE,1,5.17547069826509
"SORBI_3009G243500",1.5594e-10,6.4086,0,NA,NA,NA,1.5594e-10,88,88,TRUE,TRUE,FALSE,2,5.17314903816624
"SORBI_3009G244700",3.2568e-10,5.8469,0,NA,NA,NA,3.2568e-10,90,90,TRUE,TRUE,FALSE,2,5.15362936358793
"SORBI_3009G232500",3.6702e-10,6.0851,0,NA,NA,NA,3.6702e-10,91,91,TRUE,TRUE,FALSE,2,5.14403159782439
"SORBI_3003G270500",0.044473,2.5584,6,1.23132121837649e-32,2,"PWY-5910; PWY-5120; PWY-5123; PWY-5121; PWY-5863; PWYQT-4449",0.044473,3631,3631,FALSE,FALSE,TRUE,1,5.13302474830213
"SORBI_3009G236800",4.4894e-10,5.177,0,NA,NA,NA,4.4894e-10,92.5,92.5,TRUE,TRUE,FALSE,2,5.12983091698851
"SORBI_3009G236950",4.4894e-10,5.1273,0,NA,NA,NA,4.4894e-10,92.5,92.5,TRUE,TRUE,FALSE,2,5.12983091698851
"SORBI_3009G234900",5.515e-10,6.0055,0,NA,NA,NA,5.515e-10,94,94,TRUE,TRUE,FALSE,2,5.11585867526718
"SORBI_3009G243600",6.125e-10,6.654,0,NA,NA,NA,6.125e-10,95,95,TRUE,TRUE,FALSE,2,5.10666717188888
"SORBI_3009G249900",3.9526e-08,5.6141,1,9.99999000001e-07,55,"PWY-6233",3.9526e-08,191,191,TRUE,TRUE,TRUE,3,5.10004769140055
"SORBI_3009G205800",0.00096431,3.1586,2,3.74364284205717e-19,7,"PWY-7252; PWY-7253",0.00096431,799,799,FALSE,FALSE,TRUE,1,5.09969138297095
"SORBI_3009G246100",6.5354e-10,5.9475,0,NA,NA,NA,6.5354e-10,96,96,TRUE,TRUE,FALSE,2,5.09757191638744
"SORBI_3009G229100",7.2781e-10,6.0674,0,NA,NA,NA,7.2781e-10,97,97,TRUE,TRUE,FALSE,2,5.08857091393409
"SORBI_3003G172966",0.079467,1.0192,1,5.95944405557204e-35,1,"PWY-3781",0.079467,4998,4998,FALSE,FALSE,TRUE,1,5.08700130416771
"SORBI_3003G173032",0.079467,1.0192,1,5.95944405557204e-35,1,"PWY-3781",0.079467,4998,4998,FALSE,FALSE,TRUE,1,5.08700130416771
