"G","Archetype","method","power","mean_rank","top_probability","median_p"
"G=20","Type V","Fisher",0.242,4.816,0,0.142428785607196
"G=20","Type V","TFisher",0.804,3.215,0.01,0.0124937531234383
"G=20","Type V","minP",0.908,1.397,0.3,0.00149925037481259
"G=20","Type V","Stouffer",0.108,5.916,0,0.318840579710145
"G=20","Type V","Omnibus",0.704,3.788,0.002,0.0129935032483758
"G=50","Type I","ACAT",0.958,1.574,0.882,0.000499750124937531
"G=50","Type I","Fisher",0.576,4.389,0,0.0337331334332834
"G=50","Type I","TFisher",0.964,3.598,0.064,0.00999500249875063
"G=50","Type I","minP",0.964,1.836,0.048,0.000999500249875062
"G=50","Type I","Stouffer",0.312,5.868,0,0.133933033483258
"G=50","Type I","Omnibus",0.924,3.735,0.006,0.0114942528735632
"G=50","Type II","ACAT",0.444,3.682,0.102,0.0609695152423788
"G=50","Type II","Fisher",0.476,2.795,0.174,0.0539730134932534
"G=50","Type II","TFisher",0.552,2.854,0.34,0.0414792603698151
"G=50","Type II","minP",0.386,4.164,0.174,0.0759620189905048
"G=50","Type II","Stouffer",0.438,4.302,0.07,0.0689655172413793
"G=50","Type II","Omnibus",0.478,3.203,0.14,0.0552223888055972
"G=50","Type III","ACAT",0.2,3.872,0.068,0.166916541729135
"G=50","Type III","Fisher",0.256,3.023,0.166,0.15392303848076
"G=50","Type III","TFisher",0.252,3.573,0.14,0.179910044977511
"G=50","Type III","minP",0.172,4.12,0.268,0.220139930034983
"G=50","Type III","Stouffer",0.27,3.11,0.296,0.157171414292854
"G=50","Type III","Omnibus",0.268,3.302,0.062,0.157421289355322
"G=50","Type IV","ACAT",0.662,3.417,0.138,0.0267366316841579
"G=50","Type IV","Fisher",0.636,2.861,0.196,0.0249875062468766
"G=50","Type IV","TFisher",0.718,3.271,0.282,0.0124937531234383
"G=50","Type IV","minP",0.568,3.989,0.15,0.0379810094952524
"G=50","Type IV","Stouffer",0.582,4.563,0.032,0.0334832583708146
"G=50","Type IV","Omnibus",0.642,2.899,0.202,0.0194902548725637
"G=50","Type V","ACAT",0.918,1.683,0.786,0.000499750124937531
"G=50","Type V","Fisher",0.176,4.794,0,0.218140929535232
"G=50","Type V","TFisher",0.792,3.095,0.004,0.0184907546226887
"G=50","Type V","minP",0.938,1.473,0.21,0.000499750124937531
"G=50","Type V","Stouffer",0.104,5.938,0,0.410794602698651
"G=50","Type V","Omnibus",0.632,4.017,0,0.028735632183908
