"pathway_id","pathway_name","n_genes","acat_p","fisher_p","tfisher_p","stouffer_p","minp_gene_p","omni_p","omni_p_BH","omni_perm_p","omni_perm_p_BH","omni_final_p","omni_final_BH"
"HOMOSERSYN-PWY","L-homoserine biosynthesis",13,0.0024876597162871,9.07594730479687e-05,4.43332651343109e-05,0.000160510361976287,0.00330708129492436,0.000123429256778884,0.0277715827752489,0.0202979702029797,1,0.0202979702029797,1
"PWY-5733","germacrene biosynthesis",2,0.0297134492585916,0.0115341924530179,0.0306091604654024,0.0183050706297452,0.032644104119011,0.020988324350708,0.590296622363662,0.022997700229977,1,0.022997700229977,1
"PWY-7206","pyrimidine deoxyribonucleotides dephosphorylation",4,0.0281916589712284,0.0078604752931928,0.0257672392120096,0.0124666690234841,0.0296640959012599,0.015855769336093,0.509649728660132,0.0350964903509649,1,0.0350964903509649,1
"PWY-5122","geranyl diphosphate biosynthesis",2,0.0868071844242115,0.0634035915343187,0.0813422062695339,0.067366108674088,0.106411944862453,0.0783920166286356,0.839914463878238,0.0983901609839016,1,0.0983901609839016,1
"PWY18C3-24","methylsalicylate degradation",2,0.139940012625079,0.0879853948133286,0.142775517077931,0.118568644152062,0.176879186187863,0.126625012690433,0.9135378150339,0.157184281571843,1,0.157184281571843,1
"PWY-4361","<i>S</i>-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation I",11,0.00861249357261466,0.0024105745772,0.0197787864604441,0.00910430081308467,0.00947329464868544,0.00627472787356631,0.352953442888105,0.18018198180182,1,0.18018198180182,1
"PWY18C3-1","cholesterol biosynthesis (plants, early side-chain reductase)",2,0.173620642356421,0.129781818338013,0.190576936519181,0.165523101189449,0.214800081303102,0.170486697021554,0.965916478580006,0.210578942105789,1,0.210578942105789,1
"PWY4FS-10","scopolin biosynthesis",4,0.116272784941366,0.0753118406921085,0.10936345116846,0.0842912992767952,0.151060213064246,0.101211348576452,0.893060364152718,0.215978402159784,1,0.215978402159784,1
"PWY-8011","L-serine biosynthesis II",10,0.0157445575219544,0.00754650694352918,0.0244064751123472,0.0124666690234841,0.0137496191731504,0.0128234950367627,0.480881063878602,0.223377662233777,1,0.223377662233777,1
"PWY-5142","acyl-[acyl-carrier protein] thioesterase pathway",6,0.0807003997094351,0.0436726259563031,0.0704356914811144,0.0353850360453185,0.099799891562656,0.0570660233482627,0.755285603138771,0.233876612338766,1,0.233876612338766,1
"PWYQT-4449","polyisoprenoid biosynthesis",5,0.109482979911419,0.0646714560642085,0.0813422062695339,0.0743258507216214,0.108875345210568,0.0840797363393857,0.859906394380081,0.233976602339766,1,0.233976602339766,1
"PWY-6235","hydroxyjasmonate sulfate biosynthesis",2,0.231323953662264,0.167979486218325,0.250771212624164,0.195107808990544,0.24593566086127,0.213950898928478,0.992738249666425,0.262173782621738,1,0.262173782621738,1
"PWY-7120","esterified suberin biosynthesis",4,0.1445253394347,0.0888440673988027,0.149726263990906,0.123067618792912,0.177769356054546,0.129925378138155,0.9135378150339,0.268473152684732,1,0.268473152684732,1
"PWY-6163","chorismate biosynthesis from 3-dehydroquinate",8,0.0513166385559597,0.0288580344855872,0.0436726259563032,0.0308308736921264,0.0792836406266287,0.0409874909615531,0.755285603138771,0.295370462953705,1,0.295370462953705,1
"PWY-6291","valencene and 7-epi-&alpha;-selinene biosynthesis",2,0.266376757388773,0.211873297552793,0.334241849277562,0.270175184402401,0.279900496667702,0.268232172441596,0.999994356681512,0.311368863113689,1,0.311368863113689,1
"PWY-5886","3-(4-hydroxyphenyl)pyruvate biosynthesis",4,0.179656695030124,0.154724477789695,0.207441092202921,0.180776493288747,0.222631428741326,0.186407989886627,0.965916478580006,0.341465853414659,1,0.341465853414659,1
"PWY-7280","ternatin C3 biosynthesis",2,0.284494609972645,0.251278991689593,0.373197231530453,0.288448404861237,0.298635865195751,0.295850830360703,0.999994356681512,0.343565643435656,1,0.343565643435656,1
"PWY-7345","superpathway of anaerobic sucrose degradation",2,0.291390974788831,0.266105212414003,0.383045635537753,0.306908556708905,0.302046460979945,0.306977030494899,0.999994356681512,0.355564443555644,1,0.355564443555644,1
"PROUT-PWY","L-proline degradation I",6,0.132296318675155,0.0834770096276214,0.113470112277846,0.095876797871003,0.158923220056063,0.111171974026501,0.893060364152718,0.371062893710629,1,0.371062893710629,1
"PWY-7196","superpathway of pyrimidine ribonucleosides salvage",8,0.0834669376464367,0.0436726259563031,0.0741662017258383,0.0467851733476883,0.099799891562656,0.062780825223713,0.784760315296412,0.371562843715628,1,0.371562843715628,1
"PWY-6144","CMP-<i>N</i>-glycoloylneuraminate biosynthesis",2,0.303026162346794,0.290113136376996,0.409405246201886,0.333352618471894,0.328542464722413,0.330110658725487,0.999994356681512,0.375562443755624,1,0.375562443755624,1
"PWY-6498","eumelanin biosynthesis",2,0.323726265300858,0.299069633115175,0.427586017326552,0.339284973404466,0.339969843311149,0.343213490391179,0.999994356681512,0.391060893910609,1,0.391060893910609,1
"PWY-6762","salicylate glucosides biosynthesis IV",5,0.179345633308417,0.141930559090215,0.205118135596809,0.180663188736495,0.219932590390344,0.181752474653414,0.965916478580006,0.404359564043596,1,0.404359564043596,1
"PWY-861","dhurrin biosynthesis",8,0.0853372632472569,0.0529493377698644,0.0809300271686546,0.067366108674088,0.104914834777525,0.0743279374681135,0.836189296516277,0.412158784121588,1,0.412158784121588,1
"PWY-7208","superpathway of pyrimidine nucleobases salvage",8,0.0834669376464367,0.0512321159920074,0.0787609383056259,0.066820315412337,0.103881898921895,0.0727592989400276,0.836189296516277,0.413258674132587,1,0.413258674132587,1
"PWY-7464","cyanidin 3,7-diglucoside polyacylation biosynthesis",6,0.152725958203064,0.10578783843683,0.176989823925766,0.134056762674396,0.200105084374848,0.147125720846935,0.941400018991918,0.421657834216578,1,0.421657834216578,1
"PWY-7458","violdelphin biosynthesis",6,0.152725958203064,0.100074097979891,0.167345408343111,0.132108559965042,0.197931686627004,0.142823633558162,0.941400018991918,0.424157584241576,1,0.424157584241576,1
"PWY-5947","lutein biosynthesis",2,0.344037739839583,0.31602058040691,0.51053426900023,0.354632788443931,0.366909141670228,0.374071126058414,0.999994356681512,0.424557544245575,1,0.424557544245575,1
"PWY-6363","D-<i>myo</i>-inositol (1,4,5)-trisphosphate degradation",6,0.175027149015513,0.130701889886325,0.200270849027093,0.171260029166904,0.215280577388021,0.173879532038175,0.965916478580006,0.467453254674533,1,0.467453254674533,1
"PWYDQC-4","indole-3-acetate biosynthesis I",17,0.00791476898657519,0.00179458821510303,0.00893259304859662,0.00437889785273179,0.00787777746935262,0.00434478970543184,0.325859227907388,0.475252474752525,1,0.475252474752525,1
"PWY-6754","<i>S</i>-methyl-5'-thioadenosine degradation I",5,0.245654427627777,0.194679733850036,0.282841354255084,0.256692620702717,0.262658019099858,0.245351469274386,0.999994356681512,0.480951904809519,1,0.480951904809519,1
"PWY-5115","GDP-L-galactose biosynthesis",2,0.375077540999575,0.337619687352931,0.689207512251022,0.376980878691488,0.395138740037608,0.434336362141529,0.999994356681512,0.484851514848515,1,0.484851514848515,1
"PWY-63","UDP-&beta;-L-arabinose biosynthesis I (from UDP-&alpha;-D-xylose)",4,0.327454587352535,0.301180993013238,0.444242533982687,0.339570674491263,0.349105962723585,0.349138609547562,0.999994356681512,0.508349165083492,1,0.508349165083492,1
"PWY-6465","&omega;-hydroxylation of caprate and laurate",2,0.476884016320021,0.445138896026966,1,0.497483769792299,0.506245893545585,0.481312214176272,0.999994356681512,0.514148585141486,1,0.514148585141486,1
"PWY-6468","&omega;- hydroxylation of laurate",2,0.476884016320021,0.445897651969463,1,0.497483769792299,0.506488797175871,0.481567451120691,0.999994356681512,0.520747925207479,1,0.520747925207479,1
"PWY-5326","sulfite oxidation IV (sulfite oxidase)",2,0.482084874435645,0.449145289278096,1,0.500754646775171,0.511470021893119,0.485760434267942,0.999994356681512,0.538046195380462,1,0.538046195380462,1
"GLYSYN2-PWY","glycine biosynthesis",16,0.014296027812493,0.00423810863443382,0.0212020733524829,0.0111445019229283,0.00975080775807954,0.00916915880633529,0.412612146285088,0.551544845515448,1,0.551544845515448,1
"PWY0A-6303","methyl indole-3-acetate interconversion",7,0.187786547739854,0.156180820557268,0.220910563907091,0.181638107157421,0.224781847471515,0.191203738276795,0.965916478580006,0.557744225577442,1,0.557744225577442,1
"METHIONINE-DEG1-PWY","L-methionine degradation I (to L-homocysteine)",6,0.290731000354731,0.258781925833399,0.381481334334045,0.299053444974395,0.300395332826455,0.302856727746791,0.999994356681512,0.586841315868413,1,0.586841315868413,1
"PWY-7528","L-methionine salvage cycle I (bacteria and plants)",5,0.412661085712783,0.373798373106041,1,0.421866512579559,0.419021135631423,0.406447403476554,0.999994356681512,0.606039396060394,1,0.606039396060394,1
"PWY-6540","costunolide biosynthesis",2,0.603740764733342,0.571810545468906,1,0.576439686129152,0.645335611653676,0.600277823794893,0.999994356681512,0.629037096290371,1,0.629037096290371,1
"PWY-6950","DIMBOA-glucoside biosynthesis",7,0.282969689241888,0.224825058280555,0.364979639337711,0.285677169588187,0.293390808622503,0.285540062461696,0.999994356681512,0.64033596640336,1,0.64033596640336,1
"OXIDATIVEPENT-PWY","pentose phosphate pathway (oxidative branch) I",12,0.0746890738405569,0.0401369365056079,0.0684390984544005,0.0347772506243425,0.0978699704896313,0.054500541719703,0.755285603138771,0.644035596440356,1,0.644035596440356,1
"PWY-702","L-methionine biosynthesis II",5,0.375667624459666,0.337718983269213,0.799520861775497,0.386512185915523,0.398158138613977,0.480757692713817,0.999994356681512,0.656734326567343,1,0.656734326567343,1
"PWY-1801","formaldehyde oxidation II (glutathione-dependent)",4,0.515942197325887,0.529994980398264,1,0.528077013128191,0.569474028971246,0.536042252376013,0.999994356681512,0.656834316568343,1,0.656834316568343,1
"PWY-46","putrescine biosynthesis III",4,0.547075940428269,0.554129098126596,1,0.546464590138771,0.596752869566511,0.561407569131689,0.999994356681512,0.658034196580342,1,0.658034196580342,1
