"block","pathway_size","rho","n_broken","method","lambda","lambda_se","type1_05","type1_05_se","n_combos"
"B_profile",5,0,1,"acat",1.32840622700216,0.171863802447492,0.0756,0.0136,5
"B_profile",5,0,1,"fisher",1.15978136601435,0.152127066886052,0.0664,0.0164,5
"B_profile",5,0,1,"tfisher",0.225629928710141,0.0337670383157557,0.0372,0.0012,5
"B_profile",5,0,1,"minp",1.25816371005153,0.163682889911265,0.0736,0.0156,5
"B_profile",5,0,1,"stouffer",1.24666613429487,0.162338158188647,0.0612,0.0172,5
"B_profile",5,0,1,"omnibus_analytic",0.829674789610658,0.00791309984740527,0.0736,0.00453431361950185,5
"B_profile",5,0,1,"omnibus_mvn",1.01045607799067,0.0110422450619719,0.0628,0.0039293765408777,5
"B_profile",5,0,2,"acat",1.50027002944966,0.140326207083615,0.0892,0.0111043535006171,10
"B_profile",5,0,2,"fisher",1.31190843290041,0.124211229979025,0.0828,0.0133905439272147,10
"B_profile",5,0,2,"tfisher",0.259396967025897,0.0275706713328701,0.0384,0.000979795897113272,10
"B_profile",5,0,2,"minp",1.4218465999628,0.133646519968917,0.0892,0.0127373466624725,10
"B_profile",5,0,2,"stouffer",1.40900429248352,0.132548551115135,0.0784,0.0140437411919569,10
"B_profile",5,0,2,"omnibus_analytic",0.960182704373061,0.00705977819612539,0.0892,0.00321385887818505,10
"B_profile",5,0,2,"omnibus_mvn",1.01718849028431,0.0100956981370757,0.0628,0.00231324687638633,10
"B_profile",5,0,3,"acat",1.67213383189715,0.140326207083615,0.1028,0.0111043535006171,10
"B_profile",5,0,3,"fisher",1.46403549978646,0.124211229979025,0.0992,0.0133905439272147,10
"B_profile",5,0,3,"tfisher",0.293164005341653,0.0275706713328701,0.0396,0.000979795897113272,10
"B_profile",5,0,3,"minp",1.58552948987406,0.133646519968917,0.1048,0.0127373466624725,10
"B_profile",5,0,3,"stouffer",1.57134245067217,0.132548551115135,0.0956,0.0140437411919569,10
"B_profile",5,0,3,"omnibus_analytic",1.10441791659652,0.0080874345476144,0.1052,0.00350491718082531,10
"B_profile",5,0,3,"omnibus_mvn",1.01901135075729,0.00902567832225048,0.0628,0.00174355957741627,10
"B_profile",5,0,4,"acat",1.84399763434464,0.171863802447492,0.1164,0.0136,5
"B_profile",5,0,4,"fisher",1.61616256667251,0.152127066886052,0.1156,0.0164,5
"B_profile",5,0,4,"tfisher",0.326931043657408,0.0337670383157557,0.0408,0.0012,5
"B_profile",5,0,4,"minp",1.74921237978533,0.163682889911265,0.1204,0.0156,5
"B_profile",5,0,4,"stouffer",1.73368060886081,0.162338158188647,0.1128,0.0172,5
"B_profile",5,0,4,"omnibus_analytic",1.26020868249086,0.00850640569927992,0.1204,0.00318747549010185,5
"B_profile",5,0,4,"omnibus_mvn",1.01789257477791,0.00767161221927928,0.0624,0.00305941170815567,5
"B_profile",5,0.3,1,"acat",0.998708499348632,0.132938355192352,0.0748,0.0168,5
"B_profile",5,0.3,1,"fisher",0.780390343482241,0.106307111867916,0.1144,0.0184,5
"B_profile",5,0.3,1,"tfisher",0.225629759361014,0.0337670145213543,0.0376,0.0016,5
"B_profile",5,0.3,1,"minp",0.590655710469775,0.0824437375749269,0.0544,0.0124,5
"B_profile",5,0.3,1,"stouffer",0.996931699481043,0.132724617103751,0.1348,0.0188,5
"B_profile",5,0.3,1,"omnibus_analytic",0.612144953449507,0.00282052675463303,0.1084,0.00587877538267963,5
"B_profile",5,0.3,1,"omnibus_mvn",0.82665606786527,0.0039442752425327,0.0508,0.000489897948556634,5
"B_profile",5,0.3,2,"acat",1.13164685454098,0.108543712488711,0.0916,0.0137171425595858,10
"B_profile",5,0.3,2,"fisher",0.886697455350157,0.0867993933684547,0.1328,0.0150235370890702,10
"B_profile",5,0.3,2,"tfisher",0.259396773882368,0.0275706519048226,0.0392,0.00130639452948436,10
"B_profile",5,0.3,2,"minp",0.673099448044702,0.0673150298488305,0.0668,0.0101245576035038,10
