# MEAN_SAMPLE_SIZE = 3107
# TOTAL_GENES = 34873
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
ALACAT2-PWY                           SET      11      0.10313    0.0018314      0.32279      0.37467 ALACAT2-PWY
ALANINE-SYN2-PWY                      SET       9     0.067828    0.0010895      0.32439      0.41719 ALANINE-SYN2-PWY
ASPARTATE-DEG1-PWY                    SET       4      0.66206    0.0070903      0.70653      0.17437 ASPARTATE-DEG1-PWY
ASPARTATESYN-PWY                      SET       4      0.66206    0.0070903      0.70653      0.17437 ASPARTATESYN-PWY
CITRULBIO-PWY                         SET      71     0.094573     0.004263      0.12595      0.22636 CITRULBIO-PWY
CITRULLINE-DEG-PWY                    SET      14      -0.1179   -0.0023618      0.32278      0.64254 CITRULLINE-DEG-PWY
CYSTSYN-PWY                           SET      15     0.033209   0.00068861      0.38205      0.46537 CYSTSYN-PWY
DTDPRHAMSYN-PWY                       SET       8    -0.068128   -0.0010318      0.32687      0.58255 DTDPRHAMSYN-PWY
FASYN-ELONG-PWY                       SET      16    -0.083637   -0.0017911      0.27633      0.61893 FASYN-ELONG-PWY
GLUCONEO-PWY                          SET      83      0.14045    0.0068437      0.12929      0.13868 GLUCONEO-PWY
GLUTAMATE-DEG1-PWY                    SET       2       3.6454     0.027607       3.2493      0.13096 GLUTAMATE-DEG1-PWY
GLUTAMINDEG-PWY                       SET      54       0.1216    0.0047814      0.14375      0.19881 GLUTAMINDEG-PWY
GLYSYN2-PWY                           SET      16     -0.21869   -0.0046833      0.25492      0.80451 GLYSYN2-PWY
HEME-BIOSYNTHESIS-II                  SET       9      0.59288    0.0095235      0.34313     0.042014 HEME-BIOSYNTHESIS-II
HISTSYN-PWY                           SET      10     -0.65866    -0.011152      0.27429      0.99183 HISTSYN-PWY
HOMOSERSYN-PWY                        SET      13      0.26738    0.0051616      0.28089      0.17058 HOMOSERSYN-PWY
LEU-DEG2-PWY                          SET      14      0.78984     0.015823      0.29818    0.0040408 LEU-DEG2-PWY
LEUSYN-PWY                            SET      19      0.22033    0.0051415      0.21214       0.1495 LEUSYN-PWY
LIPAS-PWY                             SET     120     -0.15687   -0.0091862     0.098864       0.9437 LIPAS-PWY
LIPASYN-PWY                           SET     108     -0.01507  -0.00083738      0.10305      0.55813 LIPASYN-PWY
MANNOSYL-CHITO-DOLICHOL-BIOS...       SET      27      0.12891    0.0035857      0.21129      0.27089 MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS
METHIONINE-DEG1-PWY                   SET       6    -0.030336  -0.00039789      0.33676      0.53589 METHIONINE-DEG1-PWY
NONOXIPENT-PWY                        SET      13     -0.38702   -0.0074711      0.27764      0.91833 NONOXIPENT-PWY
OXIDATIVEPENT-PWY                     SET      12     -0.54656    -0.010137      0.49358      0.86592 OXIDATIVEPENT-PWY
PANTO-PWY                             SET       3      0.45354    0.0042065        1.295      0.36309 PANTO-PWY
PHOSLIPSYN2-PWY                       SET      12     -0.57773    -0.010715       0.3936      0.92892 PHOSLIPSYN2-PWY
POLYAMINSYN3-PWY                      SET       3      0.30309    0.0028111      0.79615      0.35172 POLYAMINSYN3-PWY
PROUT-PWY                             SET       6      0.53298    0.0069906      0.38729     0.084387 PROUT-PWY
PWY-101                               SET      23     0.047425    0.0012176      0.31753      0.44064 PWY-101
PWY-1042                              SET      91    -0.031288   -0.0015962      0.10967      0.61229 PWY-1042
PWY-1422                              SET      10      0.26368    0.0044646      0.27902      0.17233 PWY-1422
PWY-1801                              SET       4      -0.2095   -0.0022437      0.36575      0.71661 PWY-1801
PWY-1822                              SET       5      0.11208     0.001342      0.29472      0.35186 PWY-1822
PWY-2161                              SET      12     0.085554    0.0015868      0.24704      0.36455 PWY-2161
PWY-2261                              SET      30      0.13722     0.004023      0.21942      0.26587 PWY-2261
PWY-2541                              SET      13     -0.31417   -0.0060648        0.365       0.8053 PWY-2541
PWY-2582                              SET       9      0.27548     0.004425      0.44525      0.26806 PWY-2582
PWY-2681                              SET      23      0.23816    0.0061144      0.19152      0.10683 PWY-2681
PWY-2841                              SET       2      0.46856    0.0035484      0.87504      0.29616 PWY-2841
PWY-2981                              SET       9     0.018649   0.00029956      0.35332      0.47895 PWY-2981
PWY-3001                              SET       4      0.66206    0.0070903      0.70653      0.17437 PWY-3001
PWY-3341                              SET       2      0.18782    0.0014224      0.53188        0.362 PWY-3341
PWY-3385                              SET      16     -0.63787     -0.01366      0.26615      0.99172 PWY-3385
PWY-3462                              SET      10     -0.14045    -0.002378      0.23668      0.72354 PWY-3462
PWY-3561                              SET      34       0.5335      0.01665      0.18586    0.0020519 PWY-3561
PWY-361                               SET      47     -0.17214   -0.0063155      0.16941      0.84521 PWY-361
PWY-3781                              SET     313     0.037784    0.0035636     0.060842      0.26729 PWY-3781
PWY-3801                              SET      26     -0.24246   -0.0066179      0.19172      0.89699 PWY-3801
PWY-3821                              SET       9     0.099139    0.0015925      0.30322      0.37185 PWY-3821
PWY-3982                              SET       5     -0.37684   -0.0045121      0.63536      0.72345 PWY-3982
PWY-4041                              SET       8      0.13299    0.0020141      0.40024      0.36984 PWY-4041
PWY-4321                              SET      22     -0.11442   -0.0028729      0.20317      0.71334 PWY-4321
PWY-4361                              SET      11      0.37588    0.0066748      0.32906      0.12668 PWY-4361
PWY-4381                              SET       6      0.38609     0.005064      0.41188      0.17428 PWY-4381
PWY-4541                              SET      12      0.26145    0.0048492      0.33207      0.21555 PWY-4541
PWY-46                                SET       4     -0.24343    -0.002607      0.74636      0.62785 PWY-46
PWY-4661                              SET      21      0.15661    0.0038421       0.2296      0.24759 PWY-4661
PWY-4861                              SET       9     -0.36285   -0.0058284      0.43389      0.79849 PWY-4861
PWY-4984                              SET      13     -0.23738   -0.0045824        0.378      0.73499 PWY-4984
PWY-5027                              SET       7      0.28302    0.0040095      0.49616       0.2842 PWY-5027
PWY-5034                              SET       4     -0.20892   -0.0022374      0.39948       0.6995 PWY-5034
PWY-5035                              SET      10       0.2224    0.0037656      0.34876      0.26184 PWY-5035
PWY-5046                              SET      12    -0.090335   -0.0016755      0.31057      0.61442 PWY-5046
PWY-5048                              SET      34    -0.088554   -0.0027638      0.18801      0.68118 PWY-5048
PWY-5060                              SET      18      0.36217    0.0082263      0.28447      0.10149 PWY-5060
PWY-5080                              SET      59     -0.18375   -0.0075519      0.12883      0.92311 PWY-5080
PWY-5083                              SET      54      0.05025    0.0019759      0.15656      0.37412 PWY-5083
PWY-5084                              SET      10      0.22723    0.0038475       0.2681      0.19834 PWY-5084
PWY-5097                              SET      25      0.19224    0.0051454      0.19442      0.16138 PWY-5097
PWY-5114                              SET      20     -0.17493    -0.004188      0.23497       0.7717 PWY-5114
PWY-5115                              SET       2     -0.85909   -0.0065058      0.87664      0.83645 PWY-5115
PWY-5121                              SET       8      0.44167     0.006689      0.53826      0.20595 PWY-5121
PWY-5122                              SET       2       1.3296     0.010069       1.6147      0.20513 PWY-5122
PWY-5125                              SET      13    -0.029724   -0.0005738      0.31764      0.53728 PWY-5125
PWY-5129                              SET      54      0.17654    0.0069417       0.1149     0.062214 PWY-5129
PWY-5136                              SET      25       0.6999     0.018733      0.21948   0.00071518 PWY-5136
PWY-5138                              SET      20     -0.24173   -0.0057874      0.21804      0.86621 PWY-5138
PWY-5139                              SET       3      0.40126    0.0037216      0.68905      0.28017 PWY-5139
PWY-5142                              SET       6     -0.54006   -0.0070834      0.54803       0.8378 PWY-5142
PWY-5147                              SET      41      0.10228    0.0035052      0.16903      0.27255 PWY-5147
PWY-5172                              SET       8      0.30512    0.0046209      0.32126      0.17112 PWY-5172
PWY-5268                              SET       3      0.40126    0.0037216      0.68905      0.28017 PWY-5268
PWY-5326                              SET       2     -0.69973    -0.005299      0.92832       0.7745 PWY-5326
PWY-5337                              SET      10     -0.18969   -0.0032117      0.33033      0.71709 PWY-5337
PWY-5340                              SET      10     -0.56518   -0.0095695      0.41473      0.91351 PWY-5340
PWY-5350                              SET       6      -0.2617   -0.0034324      0.53988      0.68607 PWY-5350
PWY-5434                              SET       4      0.11112      0.00119      0.44042      0.40041 PWY-5434
PWY-5453                              SET       6      0.84516     0.011085      0.70909      0.11666 PWY-5453
PWY-5486                              SET      14    -0.080991   -0.0016225      0.22558      0.64021 PWY-5486
PWY-5667                              SET      29     0.085096     0.002453      0.18315       0.3211 PWY-5667
PWY-5669                              SET      13     -0.61773    -0.011925      0.39262      0.94217 PWY-5669
PWY-5690                              SET      50    -0.041234   -0.0015602      0.16231      0.60027 PWY-5690
PWY-5704                              SET       2     -0.19901   -0.0015071      0.84055      0.59358 PWY-5704
PWY-5733                              SET       2      -2.3163    -0.017542      0.81514      0.99775 PWY-5733
PWY-5863                              SET       8      0.44167     0.006689      0.53826      0.20595 PWY-5863
PWY-5872                              SET       6      0.58032    0.0076114      0.60586      0.16908 PWY-5872
PWY-5886                              SET       4     -0.12783    -0.001369      0.33103      0.65031 PWY-5886
PWY-5910                              SET       8      0.44167     0.006689      0.53826      0.20595 PWY-5910
PWY-5925                              SET       3     -0.62244    -0.005773      0.48307      0.90121 PWY-5925
PWY-5934                              SET       6    -0.056175  -0.00073679      0.30462      0.57315 PWY-5934
PWY-5947                              SET       2     0.029327   0.00022209      0.46409      0.47481 PWY-5947
PWY-5957                              SET       9     -0.33205   -0.0053337      0.29347      0.87106 PWY-5957
PWY-5973                              SET      23    0.0040331   0.00010354      0.24395       0.4934 PWY-5973
PWY-5980                              SET      33     -0.10026   -0.0030827      0.18531      0.70575 PWY-5980
PWY-6012                              SET       5     -0.13625   -0.0016313      0.62534      0.58624 PWY-6012
PWY-6019                              SET       3     -0.19114   -0.0017728      0.64636      0.61628 PWY-6019
PWY-6030                              SET       9     -0.29698   -0.0047703      0.30682      0.83346 PWY-6030
PWY-6039                              SET      29      -0.1141   -0.0032891      0.21702      0.70047 PWY-6039
PWY-6066                              SET       3    -0.098053  -0.00090942      0.41471      0.59345 PWY-6066
PWY-6120                              SET       5    -0.089683   -0.0010738      0.44927      0.57911 PWY-6120
