block,pathway_size,cor_structure,method,calibration,lambda,lambda_se,type1_05,type1_05_se,type1_01,type1_01_se,mean_p,median_p
A_null,5,LD_moderate,acat,analytic,0.9745068841677246,0.11960761327953884,0.046,0.00936845771725528,0.008,0.003983967871356395,0.49921109128331953,0.5055156828482628
A_null,5,LD_moderate,fisher,analytic,0.714163279134132,0.12226056333577615,0.098,0.013296315279053818,0.044,0.009172131704244111,0.5344750276276766,0.56867907828868125
A_null,5,LD_moderate,tfisher,analytic,0.19186270245418624,4.0169685932282814e-8,0.04,0.008763560920082658,0.036,0.008331146379700696,0.7026155725557859,0.7676570852110111
A_null,5,LD_moderate,minp,analytic,0.5872961889971007,0.08434212204030461,0.032,0.0078709592807992609,0.006,0.0034536936748935914,0.5796837716687909,0.6052290836635654
A_null,5,LD_moderate,stouffer,analytic,0.9954974496315451,0.1587730960727887,0.134,0.015234434679370286,0.064,0.010945684080951725,0.49738946512488574,0.5009673883331632
A_null,5,LD_moderate,omnibus,analytic,0.5287845420505465,0.072717479194106,0.092,0.012925633446759968,0.042,0.008970618707759236,0.556679005275742,0.6237997317126489
A_null,5,LD_moderate,omnibus,mvn,0.9274128558549395,0.10766136651387843,0.062,0.010784804124322332,0.004,0.002822764602300376,0.4991168831168831,0.515984015984016
A_null,5,LD_strong,acat,analytic,1.145444065439708,0.13535019715645863,0.06,0.010620734437881401,0.016,0.005611416933360059,0.4903889477015206,0.4703779483686206
A_null,5,LD_strong,fisher,analytic,0.5364976621516284,0.15114388347398522,0.144,0.01570121014444428,0.094,0.013050976974924139,0.5587208068094284,0.6212806301090097
A_null,5,LD_strong,tfisher,analytic,0.1918626455883627,2.90022454093587e-8,0.052,0.00992935043192655,0.048,0.009559916317625379,0.6997397697703522,0.7676571186526644
A_null,5,LD_strong,minp,analytic,0.20617972275546922,0.05931241247086694,0.042,0.008970618707759236,0.01,0.0044497190922573975,0.6634910935013753,0.7594065937612682
A_null,5,LD_strong,stouffer,analytic,1.2576000441237702,0.2246044269864679,0.21,0.01821537811850196,0.124,0.014739335127474372,0.48427862660082394,0.449414612468723
A_null,5,LD_strong,omnibus,analytic,0.4758400437738137,0.0919929400696537,0.138,0.01542439626046997,0.086,0.012538261442480771,0.5732722127857358,0.6417375225545136
A_null,5,LD_strong,omnibus,mvn,1.1549685679924844,0.16491094710508514,0.048,0.009559916317625379,0.01,0.0044497190922573975,0.48385214785214786,0.46853146853146854
A_null,5,LD_independent,acat,analytic,0.8332055961160568,0.08808635745411403,0.034,0.008104813384649889,0.008,0.003983967871356395,0.5324301904960468,0.5381094073699975
