"m","n_pathways","threads","pathway_size","n_pathways_label","thread_label","intercept","slope_per_B","r2","sec_per_10k_B","sec_per_100k_B"
10,1,1,"m = 10","P = 1","1 thread",0.304343283582088,2.84201492537314e-05,0.999677384756865,0.284201492537314,2.84201492537314
10,1,4,"m = 10","P = 1","4 threads",0.158184079601994,9.40109452736317e-06,0.999956610510399,0.0940109452736317,0.940109452736317
10,10,1,"m = 10","P = 10","1 thread",-0.132223880597009,0.000289321641791045,0.99972212295734,2.89321641791045,28.9321641791045
10,10,4,"m = 10","P = 10","4 threads",1.42834660033168,9.3089087893864e-05,0.999725370259328,0.93089087893864,9.30890878938641
10,100,1,"m = 10","P = 100","1 thread",-4.4978955223876,0.00289833656716418,0.999597645260238,28.9833656716418,289.833656716418
10,100,4,"m = 10","P = 100","4 threads",14.1299718076285,0.000929969021558873,0.999653384767754,9.29969021558873,92.9969021558873
20,1,1,"m = 20","P = 1","1 thread",0.353212271973445,3.41520729684909e-05,0.999899488071641,0.341520729684909,3.41520729684909
20,1,4,"m = 20","P = 1","4 threads",0.249666666666682,1.11566666666666e-05,0.99999074701189,0.111566666666666,1.11566666666666
20,10,1,"m = 20","P = 10","1 thread",1.16115091210614,0.000340631708126037,0.99994464833633,3.40631708126037,34.0631708126037
20,10,4,"m = 20","P = 10","4 threads",1.86450912106137,0.000112607081260365,0.999821401611918,1.12607081260365,11.2607081260365
20,100,1,"m = 20","P = 100","1 thread",9.24053731343358,0.00340542805970149,0.999915990823298,34.0542805970149,340.542805970149
20,100,4,"m = 20","P = 100","4 threads",18.0129336650084,0.00112711122719735,0.999779898028028,11.2711122719735,112.711122719735
50,1,1,"m = 50","P = 1","1 thread",0.36593200663338,4.89917578772804e-05,0.999714428792034,0.489917578772805,4.89917578772805
50,1,4,"m = 50","P = 1","4 threads",0.28261525704824,1.73031177446101e-05,0.999937695638423,0.173031177446101,1.73031177446101
50,10,1,"m = 50","P = 10","1 thread",-40.1810613598674,0.000713249635157546,0.975220008302471,7.13249635157546,71.3249635157546
50,10,4,"m = 50","P = 10","4 threads",-12.8731741293532,0.000254355721393035,0.974782860031188,2.54355721393035,25.4355721393035
50,100,1,"m = 50","P = 100","1 thread",-445.650995024875,0.0073558284079602,0.971547743791435,73.558284079602,735.58284079602
50,100,4,"m = 50","P = 100","4 threads",-144.431067993368,0.00262488175787728,0.971336143318024,26.2488175787728,262.488175787728
