"archetype","mean_regret","median_regret","max_regret","within_0.05","within_0.10"
"Archetype I - SDA",0.0597777777777778,0.0539999999999999,0.2,0.5,0.777777777777778
"Archetype II - CME",0.0308888888888889,0.02,0.104,0.777777777777778,0.944444444444444
"Archetype III - DPS",0.0162222222222222,0.012,0.044,1,1
"Archetype IV - HDS",0.0248888888888889,0.014,0.0840000000000001,0.833333333333333,1
"Archetype V - SGP",0.106888888888889,0.058,0.496,0.5,0.666666666666667
