"pathway_size","archetype","effect_scale","method","power","mean_rank","top_probability"
"50","Archetype IV - HDS",1,"Omnibus",0.584,3.134,0.116
"50","Archetype IV - HDS",1.2,"ACAT",0.788,3.074,0.296
"50","Archetype IV - HDS",1.2,"Fisher",0.78,3.088,0.14
"50","Archetype IV - HDS",1.2,"TFisher",0.856,3.73,0.22
"50","Archetype IV - HDS",1.2,"minP",0.74,3.738,0.092
"50","Archetype IV - HDS",1.2,"Stouffer",0.704,4.796,0.008
"50","Archetype IV - HDS",1.2,"Omnibus",0.776,2.574,0.244
"50","Archetype IV - HDS",1.5,"ACAT",0.964,2.396,0.58
"50","Archetype IV - HDS",1.5,"Fisher",0.956,3.468,0.08
"50","Archetype IV - HDS",1.5,"TFisher",0.976,4.882,0.104
"50","Archetype IV - HDS",1.5,"minP",0.916,3.05,0.028
"50","Archetype IV - HDS",1.5,"Stouffer",0.864,5.04,0
"50","Archetype IV - HDS",1.5,"Omnibus",0.96,2.164,0.208
"50","Archetype IV - HDS",1.8,"ACAT",0.98,2.058,0.808
"50","Archetype IV - HDS",1.8,"Fisher",0.98,3.64,0.064
"50","Archetype IV - HDS",1.8,"TFisher",0.996,5.418,0.028
"50","Archetype IV - HDS",1.8,"minP",0.984,2.538,0.004
"50","Archetype IV - HDS",1.8,"Stouffer",0.944,5.14,0
"50","Archetype IV - HDS",1.8,"Omnibus",0.988,2.206,0.096
"50","Archetype V - SGP",0.5,"ACAT",0.3,3.078,0.188
"50","Archetype V - SGP",0.5,"Fisher",0.088,4.006,0.064
"50","Archetype V - SGP",0.5,"TFisher",0.16,2.916,0.12
"50","Archetype V - SGP",0.5,"minP",0.316,2.23,0.54
"50","Archetype V - SGP",0.5,"Stouffer",0.072,4.83,0.084
"50","Archetype V - SGP",0.5,"Omnibus",0.088,3.94,0.004
"50","Archetype V - SGP",0.8,"ACAT",0.684,2.198,0.492
"50","Archetype V - SGP",0.8,"Fisher",0.124,4.582,0
"50","Archetype V - SGP",0.8,"TFisher",0.448,2.8,0.036
"50","Archetype V - SGP",0.8,"minP",0.76,1.394,0.464
"50","Archetype V - SGP",0.8,"Stouffer",0.076,5.864,0.004
"50","Archetype V - SGP",0.8,"Omnibus",0.264,4.162,0.004
"50","Archetype V - SGP",1,"ACAT",0.956,1.626,0.836
"50","Archetype V - SGP",1,"Fisher",0.252,4.81,0
"50","Archetype V - SGP",1,"TFisher",0.844,3.134,0.004
"50","Archetype V - SGP",1,"minP",0.972,1.496,0.16
"50","Archetype V - SGP",1,"Stouffer",0.12,5.948,0
"50","Archetype V - SGP",1,"Omnibus",0.732,3.986,0
"50","Archetype V - SGP",1.2,"ACAT",1,1.52,0.984
"50","Archetype V - SGP",1.2,"Fisher",0.28,4.832,0
"50","Archetype V - SGP",1.2,"TFisher",0.992,3.216,0
"50","Archetype V - SGP",1.2,"minP",1,1.52,0.016
"50","Archetype V - SGP",1.2,"Stouffer",0.124,5.956,0
"50","Archetype V - SGP",1.2,"Omnibus",0.952,3.956,0
"50","Archetype V - SGP",1.5,"ACAT",1,1.514,1
"50","Archetype V - SGP",1.5,"Fisher",0.384,4.71,0
"50","Archetype V - SGP",1.5,"TFisher",1,3.378,0
"50","Archetype V - SGP",1.5,"minP",1,1.514,0
"50","Archetype V - SGP",1.5,"Stouffer",0.128,5.964,0
"50","Archetype V - SGP",1.5,"Omnibus",0.996,3.92,0
"50","Archetype V - SGP",1.8,"ACAT",1,1.518,1
"50","Archetype V - SGP",1.8,"Fisher",0.672,4.41,0
"50","Archetype V - SGP",1.8,"TFisher",1,4.002,0
"50","Archetype V - SGP",1.8,"minP",1,1.518,0
"50","Archetype V - SGP",1.8,"Stouffer",0.152,5.956,0
"50","Archetype V - SGP",1.8,"Omnibus",1,3.596,0
