"pathway_size","archetype","method","power","mean_rank","top_probability","median_p"
"5","Archetype I - SDA","ACAT",0.72,2.503,0.37,0.0124937531234383
"5","Archetype I - SDA","Fisher",0.494,4.439,0.022,0.0514742628685657
"5","Archetype I - SDA","TFisher",0.734,3.379,0.052,0.0169915042478761
"5","Archetype I - SDA","minP",0.762,1.703,0.504,0.0124937531234383
"5","Archetype I - SDA","Stouffer",0.276,5.5,0.048,0.164167916041979
"5","Archetype I - SDA","Omnibus",0.666,3.476,0.004,0.0169915042478761
"5","Archetype II - CME","ACAT",0.304,3.553,0.08,0.123688155922039
"5","Archetype II - CME","Fisher",0.33,3.095,0.154,0.116691654172914
"5","Archetype II - CME","TFisher",0.316,3.78,0.152,0.126936531734133
"5","Archetype II - CME","minP",0.282,3.785,0.262,0.138430784607696
"5","Archetype II - CME","Stouffer",0.326,3.317,0.352,0.129185407296352
"5","Archetype II - CME","Omnibus",0.308,3.47,0,0.120689655172414
"5","Archetype III - DPS","ACAT",0.148,3.479,0.064,0.233633183408296
"5","Archetype III - DPS","Fisher",0.202,3.208,0.104,0.22463768115942
"5","Archetype III - DPS","TFisher",0.15,4.069,0.138,0.26111944027986
"5","Archetype III - DPS","minP",0.128,3.848,0.252,0.268865567216392
"5","Archetype III - DPS","Stouffer",0.208,2.863,0.442,0.218890554722639
"5","Archetype III - DPS","Omnibus",0.188,3.533,0,0.238130934532734
"5","Archetype IV - HDS","ACAT",0.528,3.741,0.092,0.0429785107446277
"5","Archetype IV - HDS","Fisher",0.566,2.727,0.252,0.0387306346826587
"5","Archetype IV - HDS","TFisher",0.536,3.982,0.102,0.0444777611194403
"5","Archetype IV - HDS","minP",0.484,4.128,0.18,0.0542228885557221
"5","Archetype IV - HDS","Stouffer",0.514,3.079,0.374,0.0477261369315342
"5","Archetype IV - HDS","Omnibus",0.536,3.343,0,0.0429785107446277
"5","Archetype V - SGP","ACAT",0.946,2.013,0.772,0.00124937531234383
"5","Archetype V - SGP","Fisher",0.804,4.333,0.01,0.0149925037481259
"5","Archetype V - SGP","TFisher",0.954,4.118,0.01,0.00399800099950025
"5","Archetype V - SGP","minP",0.958,1.767,0.198,0.000999500249875062
"5","Archetype V - SGP","Stouffer",0.392,5.721,0.01,0.0879560219890055
"5","Archetype V - SGP","Omnibus",0.926,3.048,0,0.00299850074962519
"20","Archetype I - SDA","ACAT",0.9,1.847,0.71,0.00174912543728136
"20","Archetype I - SDA","Fisher",0.502,4.681,0.008,0.0497251374312844
"20","Archetype I - SDA","TFisher",0.9,3.229,0.11,0.00549725137431284
"20","Archetype I - SDA","minP",0.92,1.835,0.172,0.00249875062468766
"20","Archetype I - SDA","Stouffer",0.252,5.915,0,0.171664167916042
"20","Archetype I - SDA","Omnibus",0.848,3.493,0,0.00549725137431284
"20","Archetype II - CME","ACAT",0.41,3.836,0.108,0.0729635182408796
"20","Archetype II - CME","Fisher",0.432,2.808,0.274,0.0659670164917541
"20","Archetype II - CME","TFisher",0.486,2.944,0.286,0.056471764117941
"20","Archetype II - CME","minP",0.348,4.227,0.168,0.0954522738630685
"20","Archetype II - CME","Stouffer",0.382,3.904,0.132,0.087456271864068
"20","Archetype II - CME","Omnibus",0.448,3.281,0.032,0.0702148925537231
"20","Archetype III - DPS","ACAT",0.196,3.731,0.086,0.17216391804098
"20","Archetype III - DPS","Fisher",0.264,3.032,0.16,0.143928035982009
"20","Archetype III - DPS","TFisher",0.252,3.639,0.16,0.182658670664668
"20","Archetype III - DPS","minP",0.166,4.282,0.194,0.201649175412294
"20","Archetype III - DPS","Stouffer",0.266,2.922,0.384,0.141929035482259
"20","Archetype III - DPS","Omnibus",0.264,3.394,0.016,0.14367816091954
"20","Archetype IV - HDS","ACAT",0.558,3.83,0.098,0.0419790104947526
"20","Archetype IV - HDS","Fisher",0.566,2.765,0.286,0.0379810094952524
"20","Archetype IV - HDS","TFisher",0.606,3.107,0.268,0.024487756121939
"20","Archetype IV - HDS","minP",0.472,4.292,0.17,0.0539730134932534
"20","Archetype IV - HDS","Stouffer",0.502,3.851,0.138,0.0499750124937531
"20","Archetype IV - HDS","Omnibus",0.568,3.155,0.04,0.0334832583708146
"20","Archetype V - SGP","ACAT",0.866,1.868,0.688,0.00149925037481259
"20","Archetype V - SGP","Fisher",0.242,4.816,0,0.142428785607196
"20","Archetype V - SGP","TFisher",0.804,3.215,0.01,0.0124937531234383
"20","Archetype V - SGP","minP",0.908,1.397,0.3,0.00149925037481259
"20","Archetype V - SGP","Stouffer",0.108,5.916,0,0.318840579710145
"20","Archetype V - SGP","Omnibus",0.704,3.788,0.002,0.0129935032483758
"50","Archetype I - SDA","ACAT",0.958,1.574,0.882,0.000499750124937531
"50","Archetype I - SDA","Fisher",0.576,4.389,0,0.0337331334332834
"50","Archetype I - SDA","TFisher",0.964,3.598,0.064,0.00999500249875063
"50","Archetype I - SDA","minP",0.964,1.836,0.048,0.000999500249875062
"50","Archetype I - SDA","Stouffer",0.312,5.868,0,0.133933033483258
"50","Archetype I - SDA","Omnibus",0.924,3.735,0.006,0.0114942528735632
"50","Archetype II - CME","ACAT",0.444,3.682,0.102,0.0609695152423788
"50","Archetype II - CME","Fisher",0.476,2.795,0.174,0.0539730134932534
"50","Archetype II - CME","TFisher",0.552,2.854,0.34,0.0414792603698151
"50","Archetype II - CME","minP",0.386,4.164,0.174,0.0759620189905048
"50","Archetype II - CME","Stouffer",0.438,4.302,0.07,0.0689655172413793
"50","Archetype II - CME","Omnibus",0.478,3.203,0.14,0.0552223888055972
"50","Archetype III - DPS","ACAT",0.2,3.872,0.068,0.166916541729135
"50","Archetype III - DPS","Fisher",0.256,3.023,0.166,0.15392303848076
"50","Archetype III - DPS","TFisher",0.252,3.573,0.14,0.179910044977511
"50","Archetype III - DPS","minP",0.172,4.12,0.268,0.220139930034983
"50","Archetype III - DPS","Stouffer",0.27,3.11,0.296,0.157171414292854
"50","Archetype III - DPS","Omnibus",0.268,3.302,0.062,0.157421289355322
"50","Archetype IV - HDS","ACAT",0.662,3.417,0.138,0.0267366316841579
"50","Archetype IV - HDS","Fisher",0.636,2.861,0.196,0.0249875062468766
"50","Archetype IV - HDS","TFisher",0.718,3.271,0.282,0.0124937531234383
"50","Archetype IV - HDS","minP",0.568,3.989,0.15,0.0379810094952524
"50","Archetype IV - HDS","Stouffer",0.582,4.563,0.032,0.0334832583708146
"50","Archetype IV - HDS","Omnibus",0.642,2.899,0.202,0.0194902548725637
"50","Archetype V - SGP","ACAT",0.918,1.683,0.786,0.000499750124937531
"50","Archetype V - SGP","Fisher",0.176,4.794,0,0.218140929535232
"50","Archetype V - SGP","TFisher",0.792,3.095,0.004,0.0184907546226887
"50","Archetype V - SGP","minP",0.938,1.473,0.21,0.000499750124937531
"50","Archetype V - SGP","Stouffer",0.104,5.938,0,0.410794602698651
"50","Archetype V - SGP","Omnibus",0.632,4.017,0,0.028735632183908
