block,pathway_size,cor_structure,method,calibration,lambda,lambda_se,type1_05,type1_05_se,type1_01,type1_01_se,mean_p,median_p,method_label,calibration_label
A_null,5,LD_moderate,acat,analytic,0.9583996041675545,0.1191028343590354,0.044,0.009172131704244111,0.002,0.0019979989989987483,0.5061205352151318,0.509057196892537,ACAT,Analytic
A_null,5,LD_moderate,acat,mvn,1.0235212737345982,0.12461925269782058,0.032,0.0078709592807992609,0,0,0.4962197802197802,0.495004995004995,ACAT,MVN
A_null,5,LD_moderate,fisher,analytic,0.6771522012030464,0.10512899758016495,0.076,0.011851075900524812,0.028,0.007377804551490911,0.5451726988213388,0.5788832323075905,FISHER,Analytic
A_null,5,LD_moderate,fisher,mvn,1.0378160041564815,0.10982960403324717,0.034,0.008104813384649889,0.004,0.002822764602300376,0.4954145854145854,0.492007992007992,FISHER,MVN
A_null,5,LD_moderate,tfisher,analytic,0.19186272673083357,4.181070023006065e-8,0.028,0.007377804551490911,0.02,0.006260990336999411,0.708251891243933,0.767657070934402,TFISHER,Analytic
A_null,5,LD_moderate,tfisher,mvn,1.0693069497042262,0.08147374541507056,0.032,0.0078709592807992609,0.004,0.002822764602300376,0.4907312687312687,0.4855144855144855,TFISHER,MVN
A_null,5,LD_moderate,minp,analytic,0.6149496319689239,0.08362838938930266,0.028,0.007377804551490911,0,0,0.5763799507578572,0.5968593673526132,MINP,Analytic
A_null,5,LD_moderate,minp,mvn,1.0522407010557706,0.10736967809094053,0.042,0.008970618707759236,0,0,0.4966013986013986,0.48901098901098905,MINP,MVN
A_null,5,LD_moderate,stouffer,analytic,0.9540343407560086,0.1603050561642717,0.108,0.013880633991284405,0.048,0.009559916317625379,0.5098124466996155,0.5100206820348521,STOUFFER,Analytic
A_null,5,LD_moderate,stouffer,mvn,1.025875494054142,0.12441407234365649,0.046,0.00936845771725528,0.002,0.0019979989989987483,0.49825374625374624,0.4945054945054945,STOUFFER,MVN
A_null,5,LD_strong,acat,analytic,1.2112831210902322,0.11264688986475382,0.068,0.011258419071965654,0.01,0.0044497190922573975,0.4794763732783633,0.4578862036304677,ACAT,Analytic
A_null,5,LD_strong,acat,mvn,1.103958643606638,0.09983163536212467,0.052,0.00992935043192655,0.006,0.0034536936748935914,0.49586413586413586,0.4785214785214785,ACAT,MVN
A_null,5,LD_strong,fisher,analytic,0.6449569623999055,0.10722424254887375,0.164,0.0165592270351004,0.078,0.011992997957141493,0.5480668623949146,0.5880458465787999,FISHER,Analytic
A_null,5,LD_strong,fisher,mvn,1.0989613539357401,0.08823814229138774,0.05,0.009746794344808964,0.004,0.002822764602300376,0.4967932067932068,0.4795204795204795,FISHER,MVN
A_null,5,LD_strong,tfisher,analytic,0.19186261353659384,3.91633969516875e-8,0.054,0.010107818755794942,0.046,0.00936845771725528,0.7013592739990583,0.767657137501671,TFISHER,Analytic
A_null,5,LD_strong,tfisher,mvn,1.0769906670542997,0.1216432917399845,0.046,0.00936845771725528,0,0,0.4992247752247752,0.4935064935064935,TFISHER,MVN
A_null,5,LD_strong,minp,analytic,0.22529482077192226,0.06837727426702073,0.036,0.008331146379700696,0.006,0.0034536936748935914,0.6548268651019156,0.7488835624096697,MINP,Analytic
A_null,5,LD_strong,minp,mvn,0.9587331125862474,0.12844553937913522,0.052,0.00992935043192655,0.006,0.0034536936748935914,0.4983316683316683,0.508991008991009,MINP,MVN
A_null,5,LD_strong,stouffer,analytic,1.4198072688926777,0.2400140118867699,0.226,0.01870422412183943,0.128,0.014940950438308804,0.4734003436886083,0.42161602148604393,STOUFFER,Analytic
A_null,5,LD_strong,stouffer,mvn,1.114030272251459,0.08826031306197629,0.05,0.009746794344808964,0.004,0.002822764602300376,0.4963856143856144,0.4765234765234765,STOUFFER,MVN
A_null,5,LD_independent,acat,analytic,0.8818365890839245,0.11443673032389387,0.07,0.011410521460476731,0.02,0.006260990336999411,0.5094179384035225,0.5264847635204242,ACAT,Analytic
A_null,5,LD_independent,acat,mvn,0.9632311223591467,0.12260810236529643,0.074,0.011706750189527408,0.02,0.006260990336999411,0.49794405594405594,0.5079920079920079,ACAT,MVN
A_null,5,LD_independent,fisher,analytic,0.8801221882174964,0.09562077787916666,0.074,0.011706750189527408,0.028,0.007377804551490911,0.5010866388344752,0.5268978561870651,FISHER,Analytic
A_null,5,LD_independent,fisher,mvn,0.9033822521322884,0.10305720241282518,0.078,0.011992997957141493,0.028,0.007377804551490911,0.4919080919080919,0.5214785214785215,FISHER,MVN
A_null,5,LD_independent,tfisher,analytic,0.1918628122902981,5.865374307237533e-8,0.052,0.00992935043192655,0.05,0.009746794344808964,0.6828895754886235,0.767657020618606,TFISHER,Analytic
A_null,5,LD_independent,tfisher,mvn,0.9723654620771832,0.11698416508107805,0.076,0.011851075900524812,0.026,0.007116740827092132,0.5004155844155844,0.505994005994006,TFISHER,MVN
