archetype,group,rank,p,mlog10p
Archetype I - SDA,in_set,0.004545454545454545,1.1036826032301415e-8,7.957155802951338
Archetype I - SDA,in_set,0.00909090909090909,1.8944146227745316e-8,7.7225249626737185
Archetype I - SDA,in_set,0.013636363636363636,1.7063427374192384e-5,4.767933731656214
Archetype I - SDA,in_set,0.01818181818181818,2.414695452742814e-5,4.617137635733836
Archetype I - SDA,in_set,0.022727272727272728,7.708912572166032e-5,4.113006879694209
Archetype I - SDA,in_set,0.02727272727272727,0.0016277123903907856,2.7884223305898495
Archetype I - SDA,in_set,0.031818181818181815,0.004773509022891713,2.321162252194422
Archetype I - SDA,in_set,0.03636363636363636,0.006582576917018914,2.1816040574871107
Archetype I - SDA,in_set,0.04090909090909091,0.01057597602341807,1.9756795424375793
Archetype I - SDA,in_set,0.045454545454545456,0.013710670433662073,1.8629413082651192
Archetype I - SDA,in_set,0.05,0.013809583190017394,1.8598194293871346
Archetype I - SDA,in_set,0.05454545454545454,0.01857174114411949,1.731147378229209
Archetype I - SDA,in_set,0.05909090909090909,0.0238737095599038,1.6220800939288929
Archetype I - SDA,in_set,0.06363636363636363,0.026040952979792687,1.5843431266210388
Archetype I - SDA,in_set,0.06818181818181818,0.02888431767718779,1.5393378871681709
Archetype I - SDA,in_set,0.07272727272727272,0.031183900462512605,1.5060695644710187
Archetype I - SDA,in_set,0.07727272727272727,0.035099326290254196,1.4547012194667404
Archetype I - SDA,in_set,0.08181818181818182,0.03758403667402068,1.4249965767872803
Archetype I - SDA,in_set,0.08636363636363636,0.041739494647940814,1.3794528133668589
Archetype I - SDA,in_set,0.09090909090909091,0.04670777284759249,1.3306108405491017
Archetype I - SDA,in_set,0.09545454545454546,0.047380272044897524,1.3244024500028984
Archetype I - SDA,in_set,0.1,0.04976420569592275,1.303082923466993
Archetype I - SDA,in_set,0.10454545454545454,0.05074152906358577,1.2946364497301315
Archetype I - SDA,in_set,0.10909090909090909,0.05560942647767321,1.2548515839532415
Archetype I - SDA,in_set,0.11363636363636363,0.058573789617882406,1.232296676998278
