method,p_column,n_pathways_tested,bonferroni_threshold,n_bonferroni_significant,min_p,median_p,max_p
ACAT,acat_p,409,1.2224938875305625e-4,29,9.173699955813911e-9,0.0233471708669554,0.99863115882025
Fisher,fisher_p,409,1.2224938875305625e-4,150,1e-15,0.00144415975409473,0.929887218741258
TFisher,tfisher_p_analytic,409,1.2224938875305625e-4,9,1e-15,0.730244165667379,0.73365899899018
minP,minp_p_analytic,409,1.2224938875305625e-4,29,9.17369996259698e-9,0.0379880599725077,0.9343359375
Stouffer,stouffer_p_analytic,409,1.2224938875305625e-4,146,1e-15,0.00191155683515274,0.898246890401878
Omnibus_analytic,omni_p_analytic,409,1.2224938875305625e-4,141,1.72084568816899e-15,0.00294950923316878,0.993167316295855
Omnibus_final,omni_p_final,409,1.2224938875305625e-4,362,1.9548888309447404e-9,4.999995000005e-5,3.92999607000393e-4
