magma_rank,magma_gene,magma_p
1,SORBI_3004G140501,2.9519e-11
2,SORBI_3008G028800,3.7061e-11
3,SORBI_3004G140800,4.0962e-11
4,SORBI_3008G028850,1.5175e-10
5,SORBI_3009G083900,2.6855e-10
6,SORBI_3004G102200,2.7688e-10
7,SORBI_3008G028900,3.0183e-10
8,SORBI_3009G090500,6.53e-10
9,SORBI_3008G029300,7.7657e-10
10,SORBI_3008G029200,1.0193e-9
