source,method_label,lambda,lambda_se,type1_05,type1_05_se
Adaptive,Adaptive+Analytic,0.4539179326843066,NA,0.04703703703703704,NA
Adaptive,Adaptive+MVN,0.9707002557173305,NA,0.05296296296296296,NA
Adaptive,Analytic,0.439254173867083,NA,0.15555555555555556,NA
Adaptive,MVN,0.9899004765956371,NA,0.04111111111111111,NA
Leave-one-out,-ACAT,1.0353897486840462,NA,0.05488888888888889,NA
Leave-one-out,-Fisher,1.0562303064435685,NA,0.05466666666666667,NA
Leave-one-out,-Stouffer,1.0766122503252473,NA,0.051333333333333335,NA
Leave-one-out,-TFisher,1.0581294204156813,NA,0.058444444444444445,NA
Leave-one-out,-minP,1.0309659576083154,NA,0.05466666666666667,NA
Leave-one-out,All,1.0476303114793557,NA,0.05555555555555555,NA
