method,lambda
omni_p_final,30.4026470691835
omni_p_mvn,30.4026470691835
omni_p_analytic,1.68306625460695
acat_p,2.27480835046513
fisher_p,2.24724212056863
stouffer_p_analytic,2.32764306366122
tfisher_p_analytic,0.261311595540872
