method,alpha,n,observed,ci_lo,ci_hi,calibrated
omni_p_final,0.05,2045,1,0.998197772931273,1,FALSE
omni_p_final,0.01,2045,1,0.998197772931273,1,FALSE
omni_p_mvn,0.05,2045,1,0.998197772931273,1,FALSE
omni_p_mvn,0.01,2045,1,0.998197772931273,1,FALSE
omni_p_analytic,0.05,2045,0.163814180929095,0.148019435298849,0.180578938691621,FALSE
omni_p_analytic,0.01,2045,0.0723716381418093,0.0615166723620961,0.0844707025110352,FALSE
acat_p,0.05,2045,0.113936430317848,0.100481739102491,0.128508616069817,FALSE
acat_p,0.01,2045,0.0322738386308068,0.0250466712179548,0.0408789609671663,FALSE
fisher_p,0.05,2045,0.18679706601467,0.170118666627016,0.204378277047758,FALSE
fisher_p,0.01,2045,0.0841075794621027,0.0724365396782793,0.0969863747703366,FALSE
stouffer_p_analytic,0.05,2045,0.179951100244499,0.163525132968669,0.197299861881188,FALSE
stouffer_p_analytic,0.01,2045,0.087041564792176,0.075177990793873,0.10010390032477,FALSE
tfisher_p_analytic,0.05,2045,0.00146699266503668,0.000302631389607176,0.00428113350742776,FALSE
tfisher_p_analytic,0.01,2045,0.00146699266503668,0.000302631389607176,0.00428113350742776,FALSE
