null_set,alpha,n,observed,ci_lo,ci_hi,calibrated
naive_all_other,0.05,28560,0.512254901960784,0.506439325982657,0.518067984270448,FALSE
naive_all_other,0.01,28560,0.378921568627451,0.373290391922924,0.38457738575298,FALSE
nonoverlap_spiked_pathway,0.05,28210,0.507621410847217,0.501769158121316,0.513472093465363,FALSE
nonoverlap_spiked_pathway,0.01,28210,0.373661822048919,0.368012005127705,0.379337669725749,FALSE
nonoverlap_causal_genes,0.05,28210,0.507621410847217,0.501769158121316,0.513472093465363,FALSE
nonoverlap_causal_genes,0.01,28210,0.373661822048919,0.368012005127705,0.379337669725749,FALSE
