method,lambda
omni_p_final,8.92558273015458
omni_p_mvn,8.92558273015458
omni_p_analytic,10.0768983539238
acat_p,6.58741003224782
fisher_p,10.5291657170122
minp_p_analytic,4.66576817372256
stouffer_p_analytic,12.1447120405215
tfisher_p_analytic,0.797783674375846
