block,pathway_size,rho,method,n_components,drop_label,lambda,lambda_se,type1_05,type1_05_se,type1_01,type1_01_se
D,5,0,omnibus_analytical,5,Drop: stouffer,0.6098194555522222,0.08439773778047427,0.03,0.009848857801796104,0.023333333333333334,0.008715673408461504
D,5,0,omnibus_mvn,5,Drop: stouffer,0.9318803579306061,0.18373032321595512,0.03,0.009848857801796104,0.006666666666666667,0.0046983054470813275
D,5,0,omnibus_adaptive,4,Drop: stouffer,0.5276823656702742,0.059964074525198786,0.023333333333333334,0.008715673408461504,0.023333333333333334,0.008715673408461504
D,5,0,omnibus_adaptive_mvn,4,Drop: stouffer,0.903360252043244,0.1257160889599238,0.05333333333333334,0.012972906239401265,0.016666666666666666,0.007391185942027817
D,5,0.3,omnibus_analytical,5,Drop: stouffer,0.519820442012911,0.08819549367256838,0.07666666666666666,0.015361085995559135,0.04666666666666667,0.012177696674506895
D,5,0.3,omnibus_mvn,5,Drop: stouffer,0.903360252043244,0.11513649565185055,0.04666666666666667,0.012177696674506895,0.01,0.005744562646538029
D,5,0.3,omnibus_adaptive,4,Drop: stouffer,0.4626003359610656,0.07780094986867189,0.06333333333333334,0.014062031885212775,0.03333333333333333,0.010363754503432016
D,5,0.3,omnibus_adaptive_mvn,4,Drop: stouffer,0.9362728874939048,0.13012481494748893,0.06333333333333334,0.014062031885212775,0.01,0.005744562646538029
D,5,0.7,omnibus_analytical,5,"Drop: fisher, stouffer",0.2676034101022906,0.08856923189802544,0.16,0.021166010488516726,0.08,0.015663120165960973
D,5,0.7,omnibus_mvn,5,"Drop: fisher, stouffer",0.7450418380948983,0.1223866254213906,0.05,0.012583057392117916,0.013333333333333334,0.006622073078111707
D,5,0.7,omnibus_adaptive,3,"Drop: fisher, stouffer",0.22022321382037235,0.05238976531963186,0.04666666666666667,0.012177696674506895,0.04,0.01131370849898476
D,5,0.7,omnibus_adaptive_mvn,3,"Drop: fisher, stouffer",0.7603314610726416,0.12538210682315917,0.043333333333333335,0.011755219486899646,0.013333333333333334,0.006622073078111707
D,25,0,omnibus_analytical,5,"Drop: acat, fisher, tfisher, stouffer",0.7897469792590626,0.1327697204261222,0.04666666666666667,0.012177696674506895,0.023333333333333334,0.008715673408461504
D,25,0,omnibus_mvn,5,"Drop: acat, fisher, tfisher, stouffer",1.1628276248714056,0.17254799841525514,0.03,0.009848857801796104,0.0033333333333333335,0.003327773140415986
D,25,0,omnibus_adaptive,1,"Drop: acat, fisher, tfisher, stouffer",1.1097076028553838,0.134499459351444,0.04666666666666667,0.012177696674506895,0.0033333333333333335,0.003327773140415986
D,25,0,omnibus_adaptive_mvn,1,"Drop: acat, fisher, tfisher, stouffer",1.0790993735176357,0.1459726108001385,0.04666666666666667,0.012177696674506895,0,0
D,25,0.3,omnibus_analytical,5,"Drop: fisher, tfisher, stouffer",0.30787683767499757,0.10872322465989807,0.17333333333333334,0.02185473929447866,0.11666666666666667,0.01853425257512475
D,25,0.3,omnibus_mvn,5,"Drop: fisher, tfisher, stouffer",0.7564829567027588,0.11211047584569425,0.043333333333333335,0.011755219486899646,0.0033333333333333335,0.003327773140415986
D,25,0.3,omnibus_adaptive,2,"Drop: fisher, tfisher, stouffer",0.4755543639963254,0.12604872524330785,0.043333333333333335,0.011755219486899646,0,0
D,25,0.3,omnibus_adaptive_mvn,2,"Drop: fisher, tfisher, stouffer",0.9519287225659709,0.14229794154103173,0.03333333333333333,0.010363754503432016,0,0
D,25,0.7,omnibus_analytical,5,"Drop: acat, fisher, tfisher, stouffer",0.1440048327375874,0.10945088845054712,0.2833333333333333,0.02601637660881799,0.21666666666666667,0.02378530514289738
D,25,0.7,omnibus_mvn,5,"Drop: acat, fisher, tfisher, stouffer",1.1708400318387293,0.13725388846652553,0.04,0.01131370849898476,0.006666666666666667,0.0046983054470813275
D,25,0.7,omnibus_adaptive,1,"Drop: acat, fisher, tfisher, stouffer",0.046389679371418684,0.017250115575725745,0.03333333333333333,0.010363754503432016,0.0033333333333333335,0.003327773140415986
D,25,0.7,omnibus_adaptive_mvn,1,"Drop: acat, fisher, tfisher, stouffer",1.1811722932377902,0.1327479111692961,0.07333333333333333,0.015050532167286263,0.016666666666666666,0.007391185942027817
D,50,0,omnibus_analytical,5,Drop: tfisher,0.5504561300578852,0.08040730427772293,0.06666666666666667,0.01440164599646191,0.016666666666666666,0.007391185942027817
D,50,0,omnibus_mvn,5,Drop: tfisher,0.8948315165128228,0.12380386024434732,0.043333333333333335,0.011755219486899646,0.006666666666666667,0.0046983054470813275
