block,pathway_size,rho,method,n_components,drop_label,lambda,lambda_se,type1_05,type1_05_se,type1_01,type1_01_se
D,50,0,omnibus_adaptive,4,Drop: tfisher,0.6777741049694002,0.08151429127087668,0.043333333333333335,0.011755219486899646,0.006666666666666667,0.0046983054470813275
D,50,0,omnibus_adaptive_mvn,4,Drop: tfisher,0.869149204906585,0.08600467326474988,0.03,0.009848857801796104,0.006666666666666667,0.0046983054470813275
D,50,0.3,omnibus_analytical,5,"Drop: fisher, tfisher, stouffer",0.5585433226572298,0.24298054187458096,0.25,0.025,0.16333333333333333,0.02134287980846349
D,50,0.3,omnibus_mvn,5,"Drop: fisher, tfisher, stouffer",1.1089901483533786,0.1598205476775125,0.056666666666666664,0.013348602368232609,0.01,0.005744562646538029
D,50,0.3,omnibus_adaptive,2,"Drop: fisher, tfisher, stouffer",0.5149833459832217,0.12848242099340815,0.08666666666666667,0.01624351722539955,0.023333333333333334,0.008715673408461504
D,50,0.3,omnibus_adaptive_mvn,2,"Drop: fisher, tfisher, stouffer",0.9609476388452395,0.1312654375953265,0.08333333333333333,0.015957118462605634,0.023333333333333334,0.008715673408461504
D,50,0.7,omnibus_analytical,5,"Drop: acat, fisher, tfisher, stouffer",0.2054161547495607,0.1574848970471782,0.31333333333333335,0.026780313388479703,0.27,0.025632011235952594
D,50,0.7,omnibus_mvn,5,"Drop: acat, fisher, tfisher, stouffer",1.2348495630128897,0.1383452132501049,0.03,0.009848857801796104,0.006666666666666667,0.0046983054470813275
D,50,0.7,omnibus_adaptive,1,"Drop: acat, fisher, tfisher, stouffer",0.05034638153129722,0.013994123447342664,0.03666666666666667,0.010850840554571832,0.0033333333333333335,0.003327773140415986
D,50,0.7,omnibus_adaptive_mvn,1,"Drop: acat, fisher, tfisher, stouffer",1.0940404677729636,0.10791471444442516,0.05,0.012583057392117916,0.0033333333333333335,0.003327773140415986
