pathway_rank,pathway_id,pathway_name,n_genes,omni_p_final,FDR_BH,dominant_component,agreement_score,genes_used
1,PWY-3981,&beta;-alanine biosynthesis I,10,9.99900009999e-5,5.61587676848754e-4,tfisher_p_analytic,1,SORBI_3002G318100;SORBI_3002G215700;SORBI_3006G163300;SORBI_3004G250900;SORBI_3004G300800;SORBI_3008G057500;SORBI_3005G064800;SORBI_3003G203500;SORBI_3010G178300;SORBI_3010G113000
2,PWY-6554,"1D-<i>myo</i>-inositol hexakisphosphate biosynthesis V (from Ins(1,3,4)P3)",8,9.99900009999e-5,5.61587676848754e-4,tfisher_p_analytic,0.8,SORBI_3004G160800;SORBI_3004G141100;SORBI_3001G106900;SORBI_3001G278700;SORBI_3001G286100;SORBI_3001G447200;SORBI_3002G266300;SORBI_3006G251500
3,PWY-5046,2-oxoisovalerate decarboxylation to isobutanoyl-CoA,9,9.99900009999e-5,5.61587676848754e-4,tfisher_p_analytic,0.6,SORBI_3005G044600;SORBI_3009G052200;SORBI_3009G054600;SORBI_3003G155300;SORBI_3003G152900;SORBI_3003G148800;SORBI_3008G062200;SORBI_3002G392800;SORBI_3002G046800
4,PWY-6147,6-hydroxymethyl-dihydropterin diphosphate biosynthesis I,5,9.99900009999e-5,5.61587676848754e-4,tfisher_p_analytic,1,SORBI_3006G254100;SORBI_3007G172600;SORBI_3002G296500;SORBI_3003G146800;SORBI_3002G376200
5,PWY-2781,<i>cis</i>-zeatin biosynthesis,4,9.99900009999e-5,5.61587676848754e-4,tfisher_p_analytic,1,SORBI_3010G277700;SORBI_3003G442000;SORBI_3009G223100;SORBI_3002G407800
6,PWY-5123,"<i>trans, trans</i>-farnesyl diphosphate biosynthesis",7,9.99900009999e-5,5.61587676848754e-4,tfisher_p_analytic,1,SORBI_3009G137700;SORBI_3004G327500;SORBI_3002G330500;SORBI_3003G270500;SORBI_3009G216800;SORBI_3006G248000;SORBI_3002G353300
7,PWY-2681,<i>trans</i>-zeatin biosynthesis,21,9.99900009999e-5,5.61587676848754e-4,tfisher_p_analytic,1,SORBI_3003G162200;SORBI_3003G261700;SORBI_3009G223100;SORBI_3001G042901;SORBI_3006G059900;SORBI_3002G076700;SORBI_3003G202200;SORBI_3003G273700;SORBI_3009G254900;SORBI_3009G214600;SORBI_3004G221100;SORBI_3001G127700;SORBI_3001G374200;SORBI_3001G004500;SORBI_3001G217700;SORBI_3006G149300;SORBI_3002G286400;SORBI_3002G102900;SORBI_3004G352000;SORBI_3007G133600;SORBI_3002G197000
8,PWY-5667,CDP-diacylglycerol biosynthesis I,29,9.99900009999e-5,5.61587676848754e-4,tfisher_p_analytic,1,SORBI_3003G142500;SORBI_3003G229700;SORBI_3003G360700;SORBI_3003G114200;SORBI_3009G157000;SORBI_3009G162000;SORBI_3009G202600;SORBI_3005G214400;SORBI_3008G130800;SORBI_3001G099300;SORBI_3001G250200;SORBI_3001G283700;SORBI_3001G026100;SORBI_3001G493300;SORBI_3006G041266;SORBI_3002G325300;SORBI_3003G317500;SORBI_3009G188900;SORBI_3009G015800;SORBI_3005G197100;SORBI_3008G112100;SORBI_3001G206000;SORBI_3006G221500;SORBI_3002G267500;SORBI_3003G073800;SORBI_3003G301900;SORBI_3005G149300;SORBI_3004G025400;SORBI_3002G167100
9,PWY0-1319,CDP-diacylglycerol biosynthesis II,21,9.99900009999e-5,5.61587676848754e-4,tfisher_p_analytic,1,SORBI_3003G142500;SORBI_3003G229700;SORBI_3003G360700;SORBI_3003G114200;SORBI_3009G157000;SORBI_3009G162000;SORBI_3009G202600;SORBI_3005G214400;SORBI_3008G130800;SORBI_3001G099300;SORBI_3001G250200;SORBI_3001G283700;SORBI_3001G026100;SORBI_3001G493300;SORBI_3006G041266;SORBI_3002G325300;SORBI_3003G073800;SORBI_3003G301900;SORBI_3005G149300;SORBI_3004G025400;SORBI_3002G167100
10,PWY-1269,CMP-3-deoxy-D-<I>manno</I>-octulosonate biosynthesis,3,9.99900009999e-5,5.61587676848754e-4,tfisher_p_analytic,1,SORBI_3004G047400;SORBI_3008G075200;SORBI_3009G231100
11,PWY-6363,"D-<i>myo</i>-inositol (1,4,5)-trisphosphate degradation",7,9.99900009999e-5,5.61587676848754e-4,tfisher_p_analytic,0.8,SORBI_3009G211400;SORBI_3009G211600;SORBI_3004G023000;SORBI_3004G355000;SORBI_3007G198300;SORBI_3002G254700;SORBI_3009G048900
