pathway_size,rho,n_broken,method,lambda,lambda_se,type1_05,type1_05_se,n_combos
5,0.3,3,stouffer,1.635957277,0.137540223,0.1852,0.015023537,10
5,0.3,3,omnibus_analytic,0.935892791,0.003083938,0.1404,0.004906232,10
5,0.3,3,omnibus_mvn,1.107483273,0.001845132,0.056,5.16E-04,10
5,0.3,4,acat,1.853863673,0.172712981,0.1244,0.0156,5
5,0.3,4,fisher,1.283992936,0.122866888,0.16,0.016,5
5,0.3,4,tfisher,0.32693088,0.033767022,0.048,0.002,5
5,0.3,4,minp,1.124158705,0.108548578,0.086,0.01,5
5,0.3,4,stouffer,1.804408959,0.168451682,0.2036,0.0184,5
5,0.3,4,omnibus_analytic,1.073952501,0.007059194,0.1564,0.005418487,5
5,0.3,4,omnibus_mvn,1.105981523,0.003407231,0.0568,8.00E-04,5
5,0.7,1,acat,1.378675005,0.177684761,0.084,0.018,5
5,0.7,1,fisher,0.754584619,0.103104773,0.1752,0.0152,5
5,0.7,1,tfisher,0.225629682,0.033767004,0.062,0,5
5,0.7,1,minp,0.308445399,0.045236337,0.052,0.008,5
5,0.7,1,stouffer,1.600767855,0.203094431,0.2428,0.0188,5
5,0.7,1,omnibus_analytic,0.625481923,0.005404826,0.1696,0.011634432,5
5,0.7,1,omnibus_mvn,1.285366254,0.003011828,0.0732,4.90E-04,5
5,0.7,2,acat,1.556359766,0.145079,0.102,0.014696938,10
5,0.7,2,fisher,0.857689392,0.084184694,0.1904,0.012410748,10
5,0.7,2,tfisher,0.259396686,0.027570643,0.062,0,10
5,0.7,2,minp,0.353681736,0.036935315,0.06,0.006531973,10
5,0.7,2,stouffer,1.803862286,0.165825909,0.2616,0.015350136,10
5,0.7,2,omnibus_analytic,0.72407019,0.005254293,0.1884,0.008603875,10
5,0.7,2,omnibus_mvn,1.286509292,0.00273334,0.0726,3.06E-04,10
5,0.7,3,acat,1.734044527,0.145079,0.12,0.014696938,10
5,0.7,3,fisher,0.960794164,0.084184694,0.2056,0.012410748,10
5,0.7,3,tfisher,0.29316369,0.027570643,0.062,0,10
5,0.7,3,minp,0.398918073,0.036935315,0.068,0.006531973,10
5,0.7,3,stouffer,2.006956717,0.165825909,0.2804,0.015350136,10
5,0.7,3,omnibus_analytic,0.837217466,0.005771379,0.2062,0.008024684,10
5,0.7,3,omnibus_mvn,1.291036313,0.002721148,0.0732,3.27E-04,10
5,0.7,4,acat,1.911729287,0.177684761,0.138,0.018,5
5,0.7,4,fisher,1.063898937,0.103104773,0.2208,0.0152,5
5,0.7,4,tfisher,0.326930693,0.033767004,0.062,0,5
5,0.7,4,minp,0.444154411,0.045236337,0.076,0.008,5
5,0.7,4,stouffer,2.210051148,0.203094431,0.2992,0.0188,5
5,0.7,4,omnibus_analytic,0.964468073,0.00704681,0.222,0.009230385,5
5,0.7,4,omnibus_mvn,1.296133978,0.001794187,0.0736,4.00E-04,5
25,0,1,acat,1.195795054,0.156370883,0.0768,0.0148,5
25,0,1,fisher,1.210995001,0.158157116,0.0596,0.0116,5
25,0,1,tfisher,0.283594523,0.041827761,0.0912,0.0092,5
25,0,1,minp,1.019570255,0.135444034,0.0768,0.0168,5
25,0,1,stouffer,1.209852191,0.158023106,0.0576,0.0136,5
25,0,1,omnibus_analytic,0.717212536,0.006261554,0.1,0.001549193,5
25,0,1,omnibus_mvn,0.979382423,0.010910392,0.06,0.002,5
25,0,2,acat,1.352165937,0.127676292,0.0916,0.012084149,10
25,0,2,fisher,1.369152117,0.129134744,0.0712,0.00947136,10
25,0,2,tfisher,0.325422283,0.034152224,0.1004,0.007511769,10
25,0,2,minp,1.15501429,0.110589591,0.0936,0.013717143,10
25,0,2,stouffer,1.367875297,0.129025325,0.0712,0.011104354,10
25,0,2,omnibus_analytic,0.842360093,0.007239405,0.1186,0.0014,10
25,0,2,omnibus_mvn,0.968553962,0.009935462,0.0606,0.001334999,10
25,0,3,acat,1.508536821,0.127676292,0.1064,0.012084149,10
25,0,3,fisher,1.527309232,0.129134744,0.0828,0.00947136,10
25,0,3,tfisher,0.367250044,0.034152224,0.1096,0.007511769,10
