GENE,score,support_layers,gwas_rank_score,magma_rank_score,pathway_rank_score,multi_pathway_bonus,magma_p,magma_fdr,magma_rank,magma_z,gwas_min_p,gwas_n_snps,gwas_rank,n_top_pathways,best_pathway_p,pathway_rank,best_pathway_id,best_pathway_name,pathways,pathway_names,hit_gwas,hit_magma,hit_pathway
SORBI_3007G102300,8.2824530985869,2,4.53030217448527,3.75215092410163,0,0,3.2091e-6,0.0181356938,6,4.5121,3.962789e-10,588,1,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE
SORBI_3002G249700,7.94666099666371,2,3.41635882217843,4.53030217448527,0,0,8.976e-7,0.0181356938,1,4.7752,1.664797e-8,830,13,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE
SORBI_3009G101600,7.9144763132923,2,4.22927217882129,3.68520413447101,0,0,3.9764e-6,0.0192616816,7,4.4664,2.909898e-9,1025,2,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE
SORBI_3002G249650,7.68039310725894,2,3.45112092843765,4.22927217882129,0,0,1.7128e-6,0.0181356938,2,4.6435,1.664797e-8,875,12,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE
SORBI_3009G101700,7.54209040909265,2,4.05318091976561,3.48890948932705,0,0,2.9256e-5,0.0901829498181818,11,4.0187,2.909898e-9,1445,3,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE
SORBI_3002G249900,7.4073918351952,2,3.35421091542959,4.05318091976561,0,0,1.7717e-6,0.0181356938,3,4.6365,1.664797e-8,812,15,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE
SORBI_3001G212300,7.37936311159496,2,3.92824218315731,3.45112092843765,0,0,4.3664e-5,0.123379909333333,12,3.9233,4.073872e-9,717,4,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE
SORBI_3001G212350,7.36163434463452,2,3.83133217014925,3.53030217448527,0,0,2.1407e-5,0.0725868556,10,4.0917,4.073872e-9,618,5,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE
SORBI_3002G249500,7.36163434463452,2,3.53030217448527,3.83133217014925,0,0,2.8612e-6,0.0181356938,5,4.5364,1.664797e-8,1001,10,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE
SORBI_3002G249800,7.31241632196434,2,3.38417413880703,3.92824218315731,0,0,2.4424e-6,0.0181356938,4,4.5697,1.664797e-8,834,14,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE
SORBI_3001G212401,7.16850974628006,2,3.75215092410163,3.41635882217843,0,0,4.8017e-5,0.125243110461538,13,3.9004,4.073872e-9,672,6,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE
SORBI_3002G249600,7.11612167682037,2,3.48890948932705,3.62721218749333,0,0,5.1646e-6,0.0218901571,8,4.4102,1.664797e-8,971,11,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE
SORBI_3001G212451,7.0394150499006,2,3.68520413447101,3.35421091542959,0,0,6.8785e-5,0.14893453225,15,3.8125,4.073872e-9,1148,7,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE
SORBI_3005G079400,6.80533184386724,2,3.22927217882129,3.57605966504595,0,0,2.1097e-5,0.0725868556,9,4.0951,3.120376e-8,935,20,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE
SORBI_3010G107200,6.80193996049149,3,3.57605966504595,3.13236216581323,0.00641826186623234,0.301029995663981,2.103e-4,0.249124932181425,25,3.5268,1.375665e-8,2077,9,1,1.02818073617339e-5,403,PWY-5080,very long chain fatty acid biosynthesis I,PWY-5080,very long chain fatty acid biosynthesis I,TRUE,TRUE,TRUE
SORBI_3009G189900,6.659203808189,2,3.27502966938197,3.38417413880703,0,0,5.4441e-5,0.131856102,14,3.8699,2.537186e-8,817,18,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE
SORBI_3002G250000,6.65236438365869,2,3.32618219182935,3.32618219182935,0,0,7.0277e-5,0.14893453225,16,3.8072,1.664797e-8,1212,16,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE
SORBI_3009G189800,6.599706506214,2,3.299853253107,3.299853253107,0,0,9.0466e-5,0.180442419294118,17,3.7443,2.537186e-8,794,17,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE
SORBI_3005G179200,6.42512060215563,2,3.62721218749333,2.7979084146623,0,0,4.9804e-4,0.249124932181425,54,3.2916,1.289365e-8,952,8,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE
SORBI_3005G146300,6.28087220395101,3,3.038940480651,2.4733973231488,1.35645080290404,0.301029995663981,9.5826e-4,0.249124932181425,114,3.1029,1.066546e-7,1551,31,1,2.0050470406883097e-11,18,PWY-6348,phosphate acquisition,PWY-6348,phosphate acquisition,TRUE,TRUE,TRUE
SORBI_3002G231500,6.24171176621841,3,2.81429883085047,3.08314414314305,0.507919587051385,0.301029995663981,2.3191e-4,0.249124932181425,28,3.5008,2.584487e-7,876,52,1,1.13571221263714e-6,127,PWY-6124,inosine-5'-phosphate biosynthesis II,PWY-6124,inosine-5'-phosphate biosynthesis II,TRUE,TRUE,TRUE
SORBI_3002G175800,6.18670275110608,2,3.18787949366307,2.99882325744302,0,0,2.7037e-4,0.249124932181425,34,3.4597,7.415657e-8,1022,22,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE
SORBI_3002G051400,6.12409060649165,2,2.97399967371798,3.15009093277367,0,0,1.762e-4,0.248941233333333,24,3.5734,1.15452e-7,799,36,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE
SORBI_3002G175900,6.08609265623321,2,3.16857433846768,2.91751831776554,0,0,3.5857e-4,0.249124932181425,41,3.3829,7.415657e-8,1066,23,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE
SORBI_3005G079300,5.868036895634,2,3.25154857353244,2.61648832210155,0,0,7.1219e-4,0.249124932181425,82,3.1897,3.120376e-8,1085,19,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE
SORBI_3002G232500,5.84391074980079,2,2.7449723394745,3.09893841032628,0,0,2.2376e-4,0.249124932181425,27,3.5103,2.584487e-7,1033,61,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE
SORBI_3002G176000,5.81116138752796,2,3.15009093277367,2.6610704547543,0,0,6.3769e-4,0.249124932181425,74,3.2215,7.415657e-8,1105,24,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE
SORBI_3002G138600,5.7841425447973,2,3.20808287975135,2.57605966504595,0,0,7.6761e-4,0.249124932181425,90,3.1679,6.265927e-8,1278,21,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE
SORBI_3002G232400,5.77730312026699,2,2.75215092410163,3.02515219616537,0,0,2.6515e-4,0.249124932181425,32,3.465,2.584487e-7,1144,60,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE
SORBI_3005G098300,5.76834827761407,2,2.92824218315731,2.84010609445676,0,0,4.3267e-4,0.249124932181425,49,3.331,1.155183e-7,879,40,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE
SORBI_3002G051500,5.74045806285949,2,2.95051857786846,2.78993948499103,0,0,5.0972e-4,0.249124932181425,55,3.2851,1.15452e-7,835,38,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE
SORBI_3002G176100,5.73324541458421,2,3.13236216581323,2.60088324877098,0,0,7.2646e-4,0.249124932181425,85,3.1839,7.415657e-8,1087,25,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE
SORBI_3002G051100,5.69885918333821,3,3.01178823460738,2.45112092843765,0.11066404578959,0.602059991327962,9.9545e-4,0.249124932181425,120,3.0916,1.15452e-7,754,33,3,2.22903398364687e-6,317,NONOXIPENT-PWY,pentose phosphate pathway (non-oxidative branch),NONOXIPENT-PWY; CALVIN-PWY; PWY-5723,pentose phosphate pathway (non-oxidative branch); Calvin-Benson-Bassham cycle; Rubisco shunt,TRUE,TRUE,TRUE
SORBI_3002G231900,5.67894786638476,2,2.78211414747907,2.89683371890568,0,0,3.7694e-4,0.249124932181425,43,3.3692,2.584487e-7,1172,56,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE
SORBI_3006G068350,5.63801450911906,2,2.90705288408737,2.73096162503169,0,0,5.7345e-4,0.249124932181425,63,3.2518,1.616078e-7,1464,42,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE
SORBI_3002G051300,5.62444170192979,2,2.986234130135,2.63820757179479,0,0,6.8653e-4,0.249124932181425,78,3.2003,1.15452e-7,868,35,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE
SORBI_3002G231600,5.62032513573496,2,2.80602630488448,2.81429883085047,0,0,4.6328e-4,0.249124932181425,52,3.3119,2.584487e-7,888,53,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE
SORBI_3002G200700,5.60575948896203,2,2.35421091542959,3.25154857353244,0,0,1.2947e-4,0.231056250526316,19,3.6532,1.140916e-6,914,150,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE
SORBI_3002G232200,5.54130149973511,2,2.76687418092233,2.77442731881278,0,0,5.3476e-4,0.249124932181425,57,3.2716,2.584487e-7,1280,58,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE
SORBI_3002G249300,5.50672132232667,2,2.27744914350538,3.22927217882129,0,0,1.4496e-4,0.245765184,20,3.6241,1.585258e-6,994,179,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE
SORBI_3002G249400,5.48311254913332,2,2.27502966938197,3.20808287975135,0,0,1.5629e-4,0.248221972727273,21,3.6047,1.585258e-6,1093,180,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE
SORBI_3009G073700,5.46236115731692,2,2.71738881784242,2.7449723394745,0,0,5.5815e-4,0.249124932181425,61,3.2594,2.690204e-7,1302,65,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE
SORBI_3009G073600,5.44824440100277,2,2.72412220050138,2.72412220050138,0,0,5.8784e-4,0.249124932181425,64,3.2447,2.690204e-7,1296,64,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE
SORBI_3002G051200,5.4052737909612,2,2.99882325744302,2.40645053351819,0,0,0.0011068,0.249124932181425,133,3.06,1.15452e-7,734,34,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE
SORBI_3009G073400,5.40488979935183,2,2.73791048498702,2.66697931436482,0,0,6.3291e-4,0.249124932181425,73,3.2236,2.690204e-7,1187,62,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE
SORBI_3002G232300,5.34526966517823,2,2.75945016284313,2.5858195023351,0,0,7.5244e-4,0.249124932181425,88,3.1737,2.584487e-7,1168,59,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE
SORBI_3002G200500,5.33719895578859,3,2.36004045909031,2.88684949799908,0,0.301029995663981,3.7939e-4,0.249124932181425,44,3.3674,1.140916e-6,954,148,1,6.2703508421557e-4,409,PWY-3781,aerobic respiration I (cytochrome c),PWY-3781,aerobic respiration I (cytochrome c),TRUE,TRUE,TRUE
SORBI_3002G200600,5.33111557979098,2,2.357115906073,2.97399967371798,0,0,2.9468e-4,0.249124932181425,36,3.4365,1.140916e-6,862,149,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE
