pathway_rank,pathway_id,pathway_name,n_genes,ACAT,Fisher,Stouffer,minP,TFisher,Omnibus
1,PWY-1422,vitamin E biosynthesis (tocopherols),13,1.35999864000136e-4,1.999998000002e-6,1.999998000002e-6,1.36999863000137e-4,1.1999988000012e-4,1.9548888309447404e-9
2,PWY-7219,adenosine ribonucleotides <i>de novo</i> biosynthesis,14,2.8999971000029e-5,9.99999000001e-7,7.999992000008e-6,2.8999971000029e-5,1.20999879000121e-4,2.2509956994871903e-9
3,PWY-5147,oleate biosynthesis I (plants),42,9.99999000001e-7,9.99999000001e-7,9.99999000001e-7,9.99999000001e-7,9.99999000001e-7,2.89072709305527e-7
4,PWY-5971,palmitate biosynthesis II (bacteria and plants),43,9.99999000001e-7,9.99999000001e-7,9.99999000001e-7,9.99999000001e-7,9.99999000001e-7,3.53905936538848e-7
5,PWY-6663,plant sterol biosynthesis II,28,9.99999000001e-7,9.99999000001e-7,6.999993000007e-6,9.99999000001e-7,9.99999000001e-7,3.75769256416765e-7
6,PWY-5989,stearate biosynthesis II (bacteria and plants),38,9.99999000001e-7,9.99999000001e-7,1.999998000002e-6,9.99999000001e-7,9.99999000001e-7,4.35530056830128e-7
7,PWY-3781,aerobic respiration I (cytochrome c),297,2.8999971000029e-5,9.99999000001e-7,1.999998000002e-6,3.5999964000036e-5,9.99999000001e-7,6.55618820419099e-7
8,GLUTAMINDEG-PWY,L-glutamine degradation I,34,8.81999118000882e-4,9.99999000001e-7,9.99999000001e-7,0.0010959989040011,3.47999652000348e-4,8.34195071621225e-7
9,PWY-101,photosynthesis light reactions,32,4.7999952000048e-5,9.99999000001e-7,9.99999000001e-7,8.3999916000084e-5,3.24999675000325e-4,8.98859198797274e-7
10,TRIGLSYN-PWY,diacylglycerol and triacylglycerol biosynthesis,53,0.0131809868190132,9.99999000001e-7,9.99999000001e-7,0.0398259601740398,5.55999444000556e-4,9.43855162018643e-7
11,PWY-6549,L-glutamine biosynthesis III,26,0.00153599846400154,9.99999000001e-7,9.99999000001e-7,0.00159299840700159,2.54999745000255e-4,9.61295604327669e-7
12,PWY-6733,sporopollenin precursors biosynthesis,62,0.00103899896100104,9.99999000001e-7,9.99999000001e-7,0.00175699824300176,5.52999447000553e-4,9.62434205690177e-7
13,PWY-5083,NAD/NADH phosphorylation and dephosphorylation,52,0.00378299621700378,9.99999000001e-7,9.99999000001e-7,0.00834099165900834,5.02999497000503e-4,9.84083282490216e-7
14,PWY-5723,Rubisco shunt,38,0.00722699277300723,9.99999000001e-7,9.99999000001e-7,0.00925799074200926,3.62999637000363e-4,9.85876202621487e-7
15,PWY-321,cutin biosynthesis,56,9.95999004000996e-4,9.99999000001e-7,9.99999000001e-7,0.00166499833500167,5.42999457000543e-4,1.02077046186364e-6
16,PWYIO2-7,triacylglycerol biosynthesis (Chlamydomonas),53,0.0134169865830134,9.99999000001e-7,9.99999000001e-7,0.04002095997904,5.05999494000506e-4,1.11003509591732e-6
17,LIPAS-PWY,triacylglycerol degradation,117,0.00806999193000807,9.99999000001e-7,9.99999000001e-7,0.0188329811670188,0.00117199882800117,1.1366107838217e-6
18,PWY-1121,suberin monomers biosynthesis,67,0.00117499882500118,9.99999000001e-7,9.99999000001e-7,0.00196199803800196,6.30999369000631e-4,1.14614381058523e-6
