block,pathway_size,cor_structure,method,calibration,lambda,lambda_se,type1_05,type1_05_se,type1_01,type1_01_se,mean_p,median_p
A_null,5,LD_moderate,acat,analytic,0.9745068841677246,0.11960761327953884,0.046,0.00936845771725528,0.008,0.003983967871356395,0.49921109128331953,0.5055156828482628
A_null,5,LD_moderate,acat,mvn,1.025875494054142,0.1081365287294245,0.042,0.008970618707759236,0.002,0.0019979989989987483,0.49851948051948053,0.4945054945054945
A_null,5,LD_moderate,fisher,analytic,0.714163279134132,0.12226056333577615,0.098,0.013296315279053818,0.044,0.009172131704244111,0.5344750276276766,0.56867907828868125
A_null,5,LD_moderate,fisher,mvn,1.0000177789366764,0.13170870722269898,0.05,0.009746794344808964,0.006,0.0034536936748935914,0.4954405594405594,0.5
A_null,5,LD_moderate,tfisher,analytic,0.19186270245418624,4.0169685932282814e-8,0.04,0.008763560920082658,0.036,0.008331146379700696,0.7026155725557859,0.7676570852110111
A_null,5,LD_moderate,tfisher,mvn,1.030632236232655,0.11117921244122612,0.048,0.009559916317625379,0.004,0.002822764602300376,0.5018641358641358,0.4945054945054945
A_null,5,LD_moderate,minp,analytic,0.5872961889971007,0.08434212204030461,0.032,0.0078709592807992609,0.006,0.0034536936748935914,0.5796837716687909,0.6052290836635654
A_null,5,LD_moderate,minp,mvn,1.0023324207386055,0.09713744187017925,0.042,0.008970618707759236,0,0,0.5028971028971029,0.4995004995004995
A_null,5,LD_moderate,stouffer,analytic,0.9954974496315451,0.1587730960727887,0.134,0.015234434679370286,0.064,0.010945684080951725,0.49738946512488574,0.5009673883331632
A_null,5,LD_moderate,stouffer,mvn,1.0282538651433983,0.10317171425508505,0.06,0.010620734437881401,0.006,0.0034536936748935914,0.49595204795204795,0.494005994005994
A_null,5,LD_moderate,omnibus,analytic,0.5287845420505465,0.072717479194106,0.092,0.012925633446759968,0.042,0.008970618707759236,0.556679005275742,0.6237997317126489
A_null,5,LD_moderate,omnibus,mvn,0.9274128558549395,0.10766136651387843,0.062,0.010784804124322332,0.004,0.002822764602300376,0.4991168831168831,0.515984015984016
A_null,5,LD_strong,acat,analytic,1.145444065439708,0.13535019715645863,0.06,0.010620734437881401,0.016,0.005611416933360059,0.4903889477015206,0.4703779483686206
A_null,5,LD_strong,acat,mvn,1.178501290934437,0.11098981195842667,0.048,0.009559916317625379,0.01,0.0044497190922573975,0.4828871128871129,0.46403596403596403
A_null,5,LD_strong,fisher,analytic,0.5364976621516284,0.15114388347398522,0.144,0.01570121014444428,0.094,0.013050976974924139,0.5587208068094284,0.6212806301090097
A_null,5,LD_strong,fisher,mvn,1.1369185374581268,0.11931498243157988,0.05,0.009746794344808964,0.01,0.0044497190922573975,0.4833666333666334,0.47202797202797203
A_null,5,LD_strong,tfisher,analytic,0.1918626455883627,2.90022454093587e-8,0.052,0.00992935043192655,0.048,0.009559916317625379,0.6997397697703522,0.7676571186526644
A_null,5,LD_strong,tfisher,mvn,1.1140216531001195,0.10163392080047479,0.044,0.009172131704244111,0,0,0.4947672327672328,0.477022977022977
A_null,5,LD_strong,minp,analytic,0.20617972275546922,0.05931241247086694,0.042,0.008970618707759236,0.01,0.0044497190922573975,0.6634910935013753,0.7594065937612682
A_null,5,LD_strong,minp,mvn,1.1292543398753117,0.16927878985944575,0.048,0.009559916317625379,0.01,0.0044497190922573975,0.48353846153846153,0.4735264735264735
A_null,5,LD_strong,stouffer,analytic,1.2576000441237702,0.2246044269864679,0.21,0.01821537811850196,0.124,0.014739335127474372,0.48427862660082394,0.449414612468723
A_null,5,LD_strong,stouffer,mvn,1.1758665546522393,0.09634677653728571,0.052,0.00992935043192655,0.01,0.0044497190922573975,0.48395204795204794,0.4645354645354645
A_null,5,LD_strong,omnibus,analytic,0.4758400437738137,0.0919929400696537,0.138,0.01542439626046997,0.086,0.012538261442480771,0.5732722127857358,0.6417375225545136
A_null,5,LD_strong,omnibus,mvn,1.1549685679924844,0.16491094710508514,0.048,0.009559916317625379,0.01,0.0044497190922573975,0.48385214785214786,0.46853146853146854
A_null,5,LD_independent,acat,analytic,0.8332055961160568,0.08808635745411403,0.034,0.008104813384649889,0.008,0.003983967871356395,0.5324301904960468,0.5381094073699975
A_null,5,LD_independent,acat,mvn,0.7058814310023845,0.07971848196470688,0.03,0.00762889244910426,0.006,0.0034536936748935914,0.5415924075924076,0.5709290709290709
A_null,5,LD_independent,fisher,analytic,0.7672660421431219,0.0691220011675365,0.04,0.008763560920082658,0.008,0.003983967871356395,0.5373129148167727,0.5546472811618236
A_null,5,LD_independent,fisher,mvn,0.7564829567027588,0.06703202279584212,0.04,0.008763560920082658,0.008,0.003983967871356395,0.5436423576423577,0.5574425574425574
A_null,5,LD_independent,tfisher,analytic,0.19186274582794413,5.5323751666528184e-8,0.026,0.007116740827092132,0.02,0.006260990336999411,0.7104742958150932,0.7676570597037753
A_null,5,LD_independent,tfisher,mvn,0.7954972218275482,0.10114235078580025,0.032,0.0078709592807992609,0.006,0.0034536936748935914,0.5293546453546454,0.5474525474525475
A_null,5,LD_independent,minp,analytic,0.7118586989845918,0.061365504425962586,0.03,0.00762889244910426,0.008,0.003983967871356395,0.5429636200693334,0.5693031339921002
A_null,5,LD_independent,minp,mvn,0.6823370773296943,0.07201210544083177,0.028,0.007377804551490911,0.006,0.0034536936748935914,0.5487692307692308,0.5774225774225774
A_null,5,LD_independent,stouffer,analytic,0.7816441286433494,0.0881459153881493,0.052,0.00992935043192655,0.008,0.003983967871356395,0.5302942102481211,0.550961001280041
A_null,5,LD_independent,stouffer,mvn,0.7299530356122319,0.08297907030144809,0.052,0.00992935043192655,0.01,0.0044497190922573975,0.5407612387612387,0.5644355644355644
A_null,5,LD_independent,omnibus,analytic,0.5353317269180334,0.045018544150755714,0.032,0.0078709592807992609,0.018,0.005945754788081997,0.5753388395622421,0.6216600771980376
A_null,5,LD_independent,omnibus,mvn,0.7150817763511751,0.073244902830102,0.032,0.0078709592807992609,0.006,0.0034536936748935914,0.5449090909090909,0.5684315684315684
A_null,25,LD_moderate,acat,analytic,1.2587236380245495,0.2030881669901571,0.082,0.012269963325128565,0.008,0.003983967871356395,0.47870540756142194,0.449235409630961
A_null,25,LD_moderate,acat,mvn,1.2514020100276666,0.1547760058938354,0.08,0.01213260071048248,0.014,0.00525433154644813,0.474985014985015,0.45054945054945056
A_null,25,LD_moderate,fisher,analytic,0.8255298835222343,0.2854396968925068,0.222,0.018585801031970616,0.142,0.015609996796924718,0.5246929768582713,0.5400011029860055
A_null,25,LD_moderate,fisher,mvn,1.3132555686104843,0.20401443399679015,0.062,0.010784804124322332,0.01,0.0044497190922573975,0.47326873126873126,0.43956043956043955
