table_group,GENE,score,gwas_rank,gwas_min_p,magma_rank,magma_p,pathway_rank,best_pathway_name,n_top_pathways,hit_gwas,hit_magma,hit_pathway,best_pathway_p,pathways
Top10_GWAS_genes,SORBI_3004G140501,9.06060434897054,1,3.975969e-15,1,2.9519e-11,NA,NA,NA,TRUE,TRUE,FALSE,NA,NA
Top10_GWAS_genes,SORBI_3004G140600,7.61344631762832,2,3.975969e-15,14,2.8426e-9,NA,NA,NA,TRUE,TRUE,FALSE,NA,NA
Top10_GWAS_genes,SORBI_3004G140800,8.10636183953122,3,3.975969e-15,3,4.0962e-11,NA,NA,NA,TRUE,TRUE,FALSE,NA,NA
Top10_GWAS_genes,SORBI_3009G090500,7.55545437065064,4,1.445844e-13,8,6.53e-10,NA,NA,NA,TRUE,TRUE,FALSE,NA,NA
Top10_GWAS_genes,SORBI_3008G028900,7.51653630462027,5,3.107246e-13,7,3.0183e-10,NA,NA,NA,TRUE,TRUE,FALSE,NA,NA
Top10_GWAS_genes,SORBI_3008G029000,6.86747975061608,6,3.107246e-13,26,1.9869e-8,NA,NA,NA,TRUE,TRUE,FALSE,NA,NA
Top10_GWAS_genes,SORBI_3008G029200,8.49249833690093,7,3.107246e-13,10,1.0193e-9,3,oleate biosynthesis I (plants),4,TRUE,TRUE,TRUE,NA,NA
Top10_GWAS_genes,SORBI_3008G029300,7.20327185253927,8,3.107246e-13,9,7.7657e-10,NA,NA,NA,TRUE,TRUE,FALSE,NA,NA
Top10_GWAS_genes,SORBI_3008G029400,6.7841425447973,9,3.107246e-13,21,9.0778e-9,NA,NA,NA,TRUE,TRUE,FALSE,NA,NA
Top10_GWAS_genes,SORBI_3004G102100,7.01921166381232,10,7.925157e-13,11,1.1692e-9,NA,NA,NA,TRUE,TRUE,FALSE,NA,NA
Top10_MAGMA_genes,SORBI_3004G140501,9.06060434897054,1,3.975969e-15,1,2.9519e-11,NA,NA,NA,TRUE,TRUE,FALSE,NA,NA
Top10_MAGMA_genes,SORBI_3008G028800,7.48082075235373,19,2.271261e-12,2,3.7061e-11,NA,NA,NA,TRUE,TRUE,FALSE,NA,NA
Top10_MAGMA_genes,SORBI_3004G140800,8.10636183953122,3,3.975969e-15,3,4.0962e-11,NA,NA,NA,TRUE,TRUE,FALSE,NA,NA
Top10_MAGMA_genes,SORBI_3008G028850,7.1575143619786,20,2.271261e-12,4,1.5175e-10,NA,NA,NA,TRUE,TRUE,FALSE,NA,NA
Top10_MAGMA_genes,SORBI_3009G083900,6.79343262056753,37,1.276774e-11,5,2.6855e-10,NA,NA,NA,TRUE,TRUE,FALSE,NA,NA
Top10_MAGMA_genes,SORBI_3004G102200,7.24106041342867,11,7.925157e-13,6,2.7688e-10,NA,NA,NA,TRUE,TRUE,FALSE,NA,NA
Top10_MAGMA_genes,SORBI_3008G028900,7.51653630462027,5,3.107246e-13,7,3.0183e-10,NA,NA,NA,TRUE,TRUE,FALSE,NA,NA
Top10_MAGMA_genes,SORBI_3009G090500,7.55545437065064,4,1.445844e-13,8,6.53e-10,NA,NA,NA,TRUE,TRUE,FALSE,NA,NA
Top10_MAGMA_genes,SORBI_3008G029300,7.20327185253927,8,3.107246e-13,9,7.7657e-10,NA,NA,NA,TRUE,TRUE,FALSE,NA,NA
Top10_MAGMA_genes,SORBI_3008G029200,8.49249833690093,7,3.107246e-13,10,1.0193e-9,3,oleate biosynthesis I (plants),4,TRUE,TRUE,TRUE,NA,NA
Top10_All3_genes,SORBI_3008G029200,8.49249833690093,7,3.107246e-13,10,1.0193e-9,3,oleate biosynthesis I (plants),4,NA,NA,NA,2.89072709305527e-7,PWY-5147; PWY-5971; PWY-5989; PWY-5142
Top10_All3_genes,SORBI_3004G014400,6.77271736157353,76,4.801701e-11,35,4.7267e-8,5,plant sterol biosynthesis II,3,NA,NA,NA,3.75769256416765e-7,PWY-6663; PWY-8028; PWY-6115
Top10_All3_genes,SORBI_3006G032800,6.66123093912028,24,4.807311e-12,46,9.4689e-8,32,"(1,4)-&beta;-D-xylan degradation",1,NA,NA,NA,1.999998000002e-6,PWY-6717
Top10_All3_genes,SORBI_3006G032700,6.44580402515979,23,4.807311e-12,68,2.478e-7,43,thiosulfate disproportionation IV (rhodanese),1,NA,NA,NA,8.07065687943666e-6,PWY-5350
Top10_All3_genes,SORBI_3009G066100,6.42474545477021,16,1.316785e-12,81,3.6056e-7,69,crocetin esters biosynthesis,1,NA,NA,NA,1.72780094492077e-5,PWY-5398
Top10_All3_genes,SORBI_3008G009300,6.13184229723381,163,5.297095e-10,49,1.1245e-7,7,aerobic respiration I (cytochrome c),1,NA,NA,NA,6.55618820419099e-7,PWY-3781
Top10_All3_genes,SORBI_3008G001400,5.89203593632258,49,1.779451e-11,141,1.3912e-6,36,tetrahydrofolate biosynthesis II,2,NA,NA,NA,2.999997000003e-6,PWY-3742; PWY-6543
Top10_All3_genes,SORBI_3008G009000,5.8663181716648,160,5.297095e-10,92,5.5218e-7,7,aerobic respiration I (cytochrome c),1,NA,NA,NA,6.55618820419099e-7,PWY-3781
Top10_All3_genes,SORBI_3007G022600,5.69864416059829,219,1.029089e-9,185,2.4489e-6,2,adenosine ribonucleotides <i>de novo</i> biosynthesis,1,NA,NA,NA,2.2509956994871903e-9,PWY-7219
Top10_All3_genes,SORBI_3003G168700,5.47760919307639,169,6.043731e-10,188,2.627e-6,9,photosynthesis light reactions,1,NA,NA,NA,8.98859198797274e-7,PWY-101
