GENE,score,gwas_rank,gwas_min_p,magma_rank,magma_p,pathway_rank,best_pathway_name,n_top_pathways,hit_gwas,hit_magma,hit_pathway
SORBI_3004G140501,9.06060434897054,1,3.975969e-15,1,2.9519e-11,NA,NA,NA,TRUE,TRUE,FALSE
SORBI_3004G140600,7.61344631762832,2,3.975969e-15,14,2.8426e-9,NA,NA,NA,TRUE,TRUE,FALSE
SORBI_3004G140800,8.10636183953122,3,3.975969e-15,3,4.0962e-11,NA,NA,NA,TRUE,TRUE,FALSE
SORBI_3009G090500,7.55545437065064,4,1.445844e-13,8,6.53e-10,NA,NA,NA,TRUE,TRUE,FALSE
SORBI_3008G028900,7.51653630462027,5,3.107246e-13,7,3.0183e-10,NA,NA,NA,TRUE,TRUE,FALSE
SORBI_3008G029000,6.86747975061608,6,3.107246e-13,26,1.9869e-8,NA,NA,NA,TRUE,TRUE,FALSE
SORBI_3008G029200,8.49249833690093,7,3.107246e-13,10,1.0193e-9,3,oleate biosynthesis I (plants),4,TRUE,TRUE,TRUE
SORBI_3008G029300,7.20327185253927,8,3.107246e-13,9,7.7657e-10,NA,NA,NA,TRUE,TRUE,FALSE
SORBI_3008G029400,6.7841425447973,9,3.107246e-13,21,9.0778e-9,NA,NA,NA,TRUE,TRUE,FALSE
SORBI_3004G102100,7.01921166381232,10,7.925157e-13,11,1.1692e-9,NA,NA,NA,TRUE,TRUE,FALSE
