block,pathway_size,cor_structure,method,calibration,lambda,lambda_se,type1_05,type1_05_se,type1_01,type1_01_se
E,5,LD_moderate,omnibus_minus_acat,mvn,0.8925664166172428,0.11139018299144607,0.042,0.008970618707759236,0.008,0.003983967871356395
E,5,LD_moderate,omnibus_minus_fisher,mvn,0.844125594562295,0.07554323095107071,0.048,0.009559916317625379,0.008,0.003983967871356395
E,5,LD_moderate,omnibus_minus_tfisher,mvn,0.8734028422361794,0.09230541711492278,0.046,0.00936845771725528,0.01,0.0044497190922573975
E,5,LD_moderate,omnibus_minus_minp,mvn,0.8054750537814163,0.0889016806209314,0.042,0.008970618707759236,0.008,0.003983967871356395
E,5,LD_moderate,omnibus_minus_stouffer,mvn,0.9076938703041264,0.12088019039079352,0.042,0.008970618707759236,0.008,0.003983967871356395
E,5,LD_moderate,omnibus_all,mvn,0.8818671796213595,0.09575544090261492,0.044,0.009172131704244111,0.008,0.003983967871356395
E,5,LD_strong,omnibus_minus_acat,mvn,1.16016622044662,0.1494796352813085,0.072,0.011559930795640603,0.01,0.0044497190922573975
E,5,LD_strong,omnibus_minus_fisher,mvn,1.1679984327604347,0.14886621557295346,0.07,0.011410521460476731,0.01,0.0044497190922573975
E,5,LD_strong,omnibus_minus_tfisher,mvn,1.1706511238316273,0.13775210877306396,0.072,0.011559930795640603,0.01,0.0044497190922573975
E,5,LD_strong,omnibus_minus_minp,mvn,1.2266683649751047,0.11371348380345721,0.072,0.011559930795640603,0.01,0.0044497190922573975
E,5,LD_strong,omnibus_minus_stouffer,mvn,1.1758755852837357,0.15047811306502554,0.066,0.011103512957618413,0.01,0.0044497190922573975
E,5,LD_strong,omnibus_all,mvn,1.1706511238316273,0.14989689773494258,0.072,0.011559930795640603,0.01,0.0044497190922573975
E,5,LD_independent,omnibus_minus_acat,mvn,1.2212424203915366,0.09258597204377293,0.048,0.009559916317625379,0.004,0.002822764602300376
E,5,LD_independent,omnibus_minus_fisher,mvn,1.3017842596196452,0.11445798351927167,0.044,0.009172131704244111,0.004,0.002822764602300376
E,5,LD_independent,omnibus_minus_tfisher,mvn,1.2430780691025844,0.1263522206549468,0.04,0.008763560920082658,0.004,0.002822764602300376
E,5,LD_independent,omnibus_minus_minp,mvn,1.0990295257744183,0.11252979392347115,0.044,0.009172131704244111,0.004,0.002822764602300376
E,5,LD_independent,omnibus_minus_stouffer,mvn,1.3363189224040013,0.10423839148072672,0.044,0.009172131704244111,0.004,0.002822764602300376
E,5,LD_independent,omnibus_all,mvn,1.2735517792690507,0.11038671795920821,0.046,0.00936845771725528,0.004,0.002822764602300376
E,25,LD_moderate,omnibus_minus_acat,mvn,0.9318803579306061,0.1170139817209843,0.06,0.010620734437881401,0.01,0.0044497190922573975
E,25,LD_moderate,omnibus_minus_fisher,mvn,0.9907117165754084,0.12723063305354745,0.062,0.010784804124322332,0.01,0.0044497190922573975
E,25,LD_moderate,omnibus_minus_tfisher,mvn,0.9564267323388701,0.13412521648262157,0.068,0.011258419071965654,0.012,0.004869496893930624
E,25,LD_moderate,omnibus_minus_minp,mvn,0.9055233945175974,0.11333821546927998,0.06,0.010620734437881401,0.01,0.0044497190922573975
E,25,LD_moderate,omnibus_minus_stouffer,mvn,1.0164103112365412,0.13241844927044244,0.052,0.00992935043192655,0.01,0.0044497190922573975
