pathway_size,missing_frac,method,strategy,lambda,lambda_se,type1_05,type1_05_se,type1_01,type1_01_se
5,0.3,omnibus,mvn_imputed_cor,0.956426732,0.095728139,0.05,0.009746794,0.022,0.006559878
5,0.5,acat,analytic_fallback,1.069438654,0.152303213,0.064,0.010945684,0.01,0.004449719
5,0.5,acat,mvn_true_cor,0.960955307,0.122067754,0.062,0.010784804,0.008,0.003983968
5,0.5,acat,mvn_imputed_cor,1.267973569,0.148321925,0.068,0.011258419,0.02,0.00626099
5,0.5,fisher,analytic_fallback,0.627840498,0.145998122,0.138,0.015424396,0.066,0.011103513
5,0.5,fisher,mvn_true_cor,0.958687186,0.104482197,0.06,0.010620734,0.022,0.006559878
5,0.5,fisher,mvn_imputed_cor,1.062115857,0.145768408,0.082,0.012269963,0.032,0.007870959
5,0.5,tfisher,analytic_fallback,0.191862692,3.96E-08,0.054,0.010107819,0.046,0.009368458
5,0.5,tfisher,mvn_true_cor,1.047410679,0.122966734,0.054,0.010107819,0.016,0.005611417
5,0.5,tfisher,mvn_imputed_cor,0.993026415,0.11430772,0.06,0.010620734,0.026,0.007116741
5,0.5,minp,analytic_fallback,0.337262219,0.062677759,0.054,0.010107819,0.008,0.003983968
5,0.5,minp,mvn_true_cor,0.967759697,0.10527252,0.054,0.010107819,0.008,0.003983968
5,0.5,minp,mvn_imputed_cor,0.764179965,0.099586838,0.054,0.010107819,0.012,0.004869497
5,0.5,stouffer,analytic_fallback,1.103468852,0.215472002,0.198,0.017821111,0.096,0.013174521
5,0.5,stouffer,mvn_true_cor,0.936287933,0.110493732,0.058,0.010453325,0.024,0.00684456
5,0.5,stouffer,mvn_imputed_cor,1.345068905,0.141540265,0.1,0.013416408,0.044,0.009172132
5,0.5,omnibus,analytic_fallback,0.523897582,0.086818508,0.122,0.014636666,0.062,0.010784804
5,0.5,omnibus,mvn_true_cor,0.976893874,0.129043641,0.062,0.010784804,0.016,0.005611417
5,0.5,omnibus,mvn_imputed_cor,1.129245621,0.149346939,0.094,0.013050977,0.026,0.007116741
5,0.7,acat,analytic_fallback,0.830693826,0.128174136,0.058,0.010453325,0.02,0.00626099
5,0.7,acat,mvn_true_cor,0.764179965,0.095056064,0.058,0.010453325,0.018,0.005945755
5,0.7,acat,mvn_imputed_cor,0.709550225,0.109790365,0.052,0.00992935,0.016,0.005611417
5,0.7,fisher,analytic_fallback,0.399522351,0.086631661,0.128,0.01494095,0.064,0.010945684
5,0.7,fisher,mvn_true_cor,0.760324907,0.080486821,0.058,0.010453325,0.014,0.005254332
5,0.7,fisher,mvn_imputed_cor,0.537733424,0.086127322,0.086,0.012538261,0.034,0.008104813
5,0.7,tfisher,analytic_fallback,0.191862619,3.70E-08,0.046,0.009368458,0.042,0.008970619
5,0.7,tfisher,mvn_true_cor,0.839999515,0.11496521,0.054,0.010107819,0.014,0.005254332
5,0.7,tfisher,mvn_imputed_cor,0.636809357,0.069000682,0.04,0.008763561,0.016,0.005611417
5,0.7,minp,analytic_fallback,0.2798414,0.055242966,0.046,0.009368458,0.018,0.005945755
5,0.7,minp,mvn_true_cor,0.860770414,0.103560208,0.05,0.009746794,0.018,0.005945755
5,0.7,minp,mvn_imputed_cor,0.462764212,0.058961036,0.044,0.009172132,0.014,0.005254332
5,0.7,stouffer,analytic_fallback,0.753051434,0.175035795,0.184,0.01732882,0.096,0.013174521
5,0.7,stouffer,mvn_true_cor,0.760324907,0.10719371,0.06,0.010620734,0.018,0.005945755
5,0.7,stouffer,mvn_imputed_cor,0.756482957,0.123637462,0.104,0.013651667,0.036,0.008331146
5,0.7,omnibus,analytic_fallback,0.382775835,0.063953991,0.116,0.014320894,0.062,0.010784804
5,0.7,omnibus,mvn_true_cor,0.768048173,0.079144169,0.062,0.010784804,0.014,0.005254332
5,0.7,omnibus,mvn_imputed_cor,0.609784988,0.083228848,0.05,0.009746794,0.016,0.005611417
25,0,acat,analytic_fallback,0.817671117,0.093580739,0.07,0.011410521,0.012,0.004869497
25,0,acat,mvn_true_cor,0.819550133,0.069826479,0.044,0.009172132,0.008,0.003983968
25,0,acat,mvn_imputed_cor,0.819550133,0.077049832,0.044,0.009172132,0.008,0.003983968
25,0,fisher,analytic_fallback,0.137307431,0.049488572,0.206,0.01808668,0.146,0.01579139
25,0,fisher,mvn_true_cor,0.799472095,0.066758677,0.048,0.009559916,0.004,0.002822765
25,0,fisher,mvn_imputed_cor,0.799472095,0.068940804,0.048,0.009559916,0.004,0.002822765
25,0,tfisher,analytic_fallback,0.06501346,0.00575865,0.1,0.013416408,0.084,0.01240516
25,0,tfisher,mvn_true_cor,0.852391623,0.086748798,0.052,0.00992935,0,0
25,0,tfisher,mvn_imputed_cor,0.852391623,0.080488394,0.052,0.00992935,0,0
25,0,minp,analytic_fallback,0.123671526,0.035355707,0.032,0.007870959,0.01,0.004449719
25,0,minp,mvn_true_cor,0.827677201,0.076728911,0.04,0.008763561,0.01,0.004449719
25,0,minp,mvn_imputed_cor,0.827677201,0.070826652,0.04,0.008763561,0.01,0.004449719
25,0,stouffer,analytic_fallback,0.46193165,0.160599645,0.264,0.019713143,0.194,0.017684117
25,0,stouffer,mvn_true_cor,0.821661007,0.081157041,0.05,0.009746794,0,0
25,0,stouffer,mvn_imputed_cor,0.821661007,0.08756218,0.05,0.009746794,0,0
25,0,omnibus,analytic_fallback,0.106150138,0.02911699,0.216,0.018403478,0.164,0.016559227
25,0,omnibus,mvn_true_cor,0.768054768,0.073993186,0.042,0.008970619,0.004,0.002822765
25,0,omnibus,mvn_imputed_cor,0.768054768,0.072048987,0.042,0.008970619,0.004,0.002822765
