"G","Archetype","Power_best_method","Mean rank_best_method","Top method_best_method","Power_value","Mean rank_value","Top method_value"
"G=5","Type I","minP","minP","minP","0.76","1.70","0.50"
"G=5","Type II","Fisher","Fisher","Stouffer","0.33","3.10","0.35"
"G=5","Type III","Stouffer","Stouffer","Stouffer","0.21","2.86","0.44"
"G=5","Type IV","Fisher","Fisher","Stouffer","0.57","2.73","0.37"
"G=5","Type V","minP","minP","ACAT","0.96","1.77","0.77"
"G=20","Type I","minP","minP","ACAT","0.92","1.83","0.71"
"G=20","Type II","TFisher","Fisher","TFisher","0.49","2.81","0.29"
"G=20","Type III","Stouffer","Stouffer","Stouffer","0.27","2.92","0.38"
"G=20","Type IV","TFisher","Fisher","Fisher","0.61","2.77","0.29"
"G=20","Type V","minP","minP","ACAT","0.91","1.40","0.69"
"G=50","Type I","TFisher","ACAT","ACAT","0.96","1.57","0.88"
"G=50","Type II","TFisher","Fisher","TFisher","0.55","2.79","0.34"
"G=50","Type III","Stouffer","Fisher","Stouffer","0.27","3.02","0.30"
"G=50","Type IV","TFisher","Fisher","TFisher","0.72","2.86","0.28"
"G=50","Type V","minP","minP","ACAT","0.94","1.47","0.79"
