block,pathway_size,rho,n_broken,method,lambda,lambda_se,type1_05,type1_05_se,n_combos
B_profile,5,0,1,acat,1.0651383130597887,0.14089523464639694,0.0728,0.0128,5
B_profile,5,0,1,fisher,1.0733213925914946,0.14187059124859117,0.0664,0.012400000000000003,5
B_profile,5,0,1,tfisher,0.22562985651448325,0.033767028171903975,0.039599999999999996,0.0016,5
B_profile,5,0,1,minp,0.9509002089944975,0.12717230340294372,0.0708,0.0108,5
B_profile,5,0,1,stouffer,1.0849135943607404,0.14325205470944827,0.0544,0.016399999999999998,5
B_profile,5,0,1,omnibus_analytic,0.7220892194795459,0.0038275572122277307,0.0684,0.003867815921162743,5
B_profile,5,0,1,omnibus_mvn,0.8683327331475929,0.004081584029416661,0.0632,0.002653299832284321,5
B_profile,5,0,2,acat,1.2060335477061856,0.11504047735779278,0.0856,0.010451156235874894,10
B_profile,5,0,2,fisher,1.2151919838400858,0.11583685268866968,0.07880000000000001,0.010124557603503804,10
B_profile,5,0,2,tfisher,0.2593968846863872,0.0275706630504498,0.0412,0.0013063945294843615,10
B_profile,5,0,2,minp,1.0780725123974413,0.10383575091720697,0.0816,0.008818163074019442,10
B_profile,5,0,2,stouffer,1.2281656490701887,0.11696481288113607,0.0708,0.013390543927214706,10
B_profile,5,0,2,omnibus_analytic,0.8365709679948082,0.0042263954754489215,0.0864,0.0034615346628659115,10
B_profile,5,0,2,omnibus_mvn,0.8785117969935461,0.0036938231731953593,0.062,0.0013984117975602024,10
B_profile,5,0,3,acat,1.3469287823525826,0.11504047735779278,0.0984,0.010451156235874892,10
B_profile,5,0,3,fisher,1.357062575088677,0.11583685268866968,0.0912,0.010124557603503804,10
B_profile,5,0,3,tfisher,0.29316391285829124,0.0275706630504498,0.0428,0.0013063945294843615,10
B_profile,5,0,3,minp,1.205244815800385,0.10383575091720697,0.0924,0.008818163074019442,10
B_profile,5,0,3,stouffer,1.3714177037796371,0.11696481288113607,0.0872,0.013390543927214706,10
B_profile,5,0,3,omnibus_analytic,0.966470461801313,0.004363914198848192,0.1022,0.0026068286394689533,10
B_profile,5,0,3,omnibus_mvn,0.8832170251814536,0.004463875587044055,0.062,0.0011155467020454342,10
B_profile,5,0,4,acat,1.4878240169989796,0.14089523464639694,0.1112,0.0128,5
B_profile,5,0,4,fisher,1.4989331663372683,0.1418705912485912,0.1036,0.012400000000000001,5
B_profile,5,0,4,tfisher,0.3269309410301952,0.033767028171903975,0.0444,0.0016,5
B_profile,5,0,4,minp,1.3324171192033287,0.12717230340294372,0.1032,0.010799999999999999,5
B_profile,5,0,4,stouffer,1.5146697584890854,0.14325205470944827,0.1036,0.016399999999999998,5
