pathway_rank,pathway_id,pathway_name,n_genes,omni_p_final,FDR_BH,dominant_component,agreement_score,genes_used
21,PWY-5147,oleate biosynthesis I (plants),42,5.55355154352069e-6,1.0816202768095e-4,tfisher_p_analytic,1,SORBI_3006G272600;SORBI_3006G247200;SORBI_3006G247300;SORBI_3006G079500;SORBI_3008G051300;SORBI_3008G010800;SORBI_3005G054900;SORBI_3005G020300;SORBI_3005G033100;SORBI_3005G156100;SORBI_3009G031400;SORBI_3003G242000;SORBI_3003G303900;SORBI_3003G004900;SORBI_3003G258200;SORBI_3010G045500;SORBI_3010G045400;SORBI_3010G214900;SORBI_3010G180400;SORBI_3010G033300;SORBI_3004G088100;SORBI_3002G111500;SORBI_3002G256900;SORBI_3002G256800;SORBI_3006G171900;SORBI_3006G259300;SORBI_3004G293900;SORBI_3004G294000;SORBI_3004G293800;SORBI_3008G029200;SORBI_3003G337500;SORBI_3010G235300;SORBI_3003G377100;SORBI_3003G404000;SORBI_3004G157550;SORBI_3004G153300;SORBI_3007G071600;SORBI_3001G280700;SORBI_3001G265300;SORBI_3001G334501;SORBI_3006G048700;SORBI_3002G258500
22,PWY-1121,suberin monomers biosynthesis,67,6.05246205408425e-6,1.0877883745173e-4,fisher_p,1,SORBI_3006G272600;SORBI_3006G247200;SORBI_3006G247300;SORBI_3006G079500;SORBI_3008G051300;SORBI_3008G010800;SORBI_3005G054900;SORBI_3005G020300;SORBI_3005G033100;SORBI_3005G156100;SORBI_3009G031400;SORBI_3003G242000;SORBI_3003G303900;SORBI_3003G004900;SORBI_3003G258200;SORBI_3010G045500;SORBI_3010G045400;SORBI_3010G214900;SORBI_3001G491400;SORBI_3006G177000;SORBI_3001G509901;SORBI_3004G288500;SORBI_3008G036000;SORBI_3005G037000;SORBI_3009G155500;SORBI_3003G360600;SORBI_3003G362700;SORBI_3003G380600;SORBI_3002G128900;SORBI_3002G265300;SORBI_3006G175900;SORBI_3006G175800;SORBI_3006G085601;SORBI_3007G195300;SORBI_3005G232000;SORBI_3009G114800;SORBI_3003G008200;SORBI_3003G008300;SORBI_3003G378301;SORBI_3004G282800;SORBI_3007G122400;SORBI_3001G530300;SORBI_3001G320300;SORBI_3006G185600;SORBI_3002G181800;SORBI_3003G327800;SORBI_3009G181800;SORBI_3010G052200;SORBI_3007G218800;SORBI_3007G043200;SORBI_3007G218700;SORBI_3007G217200;SORBI_3002G242300;SORBI_3007G047300;SORBI_3001G346800;SORBI_3002G325000;SORBI_3003G337400;SORBI_3004G141200;SORBI_3002G126600;SORBI_3004G220700;SORBI_3004G220400;SORBI_3004G220500;SORBI_3004G220300;SORBI_3004G220600;SORBI_3001G160500;SORBI_3006G148800;SORBI_3006G148900
23,PWY-641,proanthocyanidins biosynthesis from flavanols,7,6.11714733836186e-6,1.0877883745173e-4,tfisher_p_analytic,1,SORBI_3003G345100;SORBI_3009G028200;SORBI_3005G072400;SORBI_3008G002600;SORBI_3004G000700;SORBI_3002G133150;SORBI_3002G366200
24,PWY0-1319,CDP-diacylglycerol biosynthesis II,21,7.53059162210974e-6,1.1901053479787e-4,tfisher_p_analytic,1,SORBI_3003G142500;SORBI_3003G229700;SORBI_3003G360700;SORBI_3003G114200;SORBI_3009G157000;SORBI_3009G162000;SORBI_3009G202600;SORBI_3005G214400;SORBI_3008G130800;SORBI_3001G099300;SORBI_3001G250200;SORBI_3001G283700;SORBI_3001G026100;SORBI_3001G493300;SORBI_3006G041266;SORBI_3002G325300;SORBI_3003G073800;SORBI_3003G301900;SORBI_3005G149300;SORBI_3004G025400;SORBI_3002G167100
25,PWY-6963,ammonia assimilation cycle I,11,7.64334948962619e-6,1.1901053479787e-4,tfisher_p_analytic,1,SORBI_3004G247000;SORBI_3001G231000;SORBI_3001G116400;SORBI_3001G451500;SORBI_3006G249400;SORBI_3010G060800;SORBI_3003G258800;SORBI_3009G225700;SORBI_3005G150250;SORBI_3004G209300;SORBI_3007G174600
26,PYRUVDEHYD-PWY,pyruvate decarboxylation to acetyl CoA,18,7.73793439297946e-6,1.1901053479787e-4,tfisher_p_analytic,1,SORBI_3002G259700;SORBI_3006G011200;SORBI_3001G155500;SORBI_3007G190100;SORBI_3004G244000;SORBI_3008G173000;SORBI_3010G101300;SORBI_3005G044600;SORBI_3009G052200;SORBI_3009G054600;SORBI_3003G155300;SORBI_3003G152900;SORBI_3003G053600;SORBI_3008G059900;SORBI_3004G093600;SORBI_3007G134800;SORBI_3001G047600;SORBI_3002G197500
27,PWY-7411,phosphatidate biosynthesis (yeast),32,8.15058731716292e-6,1.1901053479787e-4,tfisher_p_analytic,1,SORBI_3003G326800;SORBI_3003G420800;SORBI_3003G443400;SORBI_3009G183300;SORBI_3007G223801;SORBI_3001G247500;SORBI_3002G081500;SORBI_3008G187200;SORBI_3002G267500;SORBI_3006G221500;SORBI_3001G206000;SORBI_3008G112100;SORBI_3005G197100;SORBI_3009G015800;SORBI_3009G188900;SORBI_3003G317500;SORBI_3002G325300;SORBI_3006G041266;SORBI_3001G493300;SORBI_3001G026100;SORBI_3001G283700;SORBI_3001G250200;SORBI_3001G099300;SORBI_3008G130800;SORBI_3005G214400;SORBI_3009G202600;SORBI_3009G162000;SORBI_3009G157000;SORBI_3003G114200;SORBI_3003G360700;SORBI_3003G229700;SORBI_3003G142500
28,PWY-3841,folate transformations II,13,8.492777026646e-6,1.1901053479787e-4,tfisher_p_analytic,1,SORBI_3005G115500;SORBI_3003G373600;SORBI_3005G113300;SORBI_3008G144800;SORBI_3001G097100;SORBI_3009G045800;SORBI_3004G018000;SORBI_3002G172600;SORBI_3002G220200;SORBI_3004G055700;SORBI_3001G040100;SORBI_3001G181300;SORBI_3002G353000
29,PWY-5690,TCA cycle II (plants and fungi),29,8.52928718150066e-6,1.1901053479787e-4,tfisher_p_analytic,1,SORBI_3010G031000;SORBI_3010G015200;SORBI_3007G023400;SORBI_3001G072000;SORBI_3001G206700;SORBI_3002G185100;SORBI_3002G028700;SORBI_3002G149000;SORBI_3003G238500;SORBI_3009G240700;SORBI_3008G186200;SORBI_3007G137600;SORBI_3001G073900;SORBI_3001G219300;SORBI_3006G170800;SORBI_3002G385700;SORBI_3002G309400;SORBI_3003G129900;SORBI_3004G202100;SORBI_3006G120900;SORBI_3007G068100;SORBI_3001G512800;SORBI_3006G000100;SORBI_3002G316900;SORBI_3004G101900;SORBI_3004G078000;SORBI_3004G218600;SORBI_3002G352200;SORBI_3001G378800
30,PWYIO2-7,triacylglycerol biosynthesis (Chlamydomonas),53,8.72937908052891e-6,1.1901053479787e-4,stouffer_p_analytic,1,SORBI_3004G341900;SORBI_3002G218500;SORBI_3003G317500;SORBI_3009G188900;SORBI_3009G015800;SORBI_3005G197100;SORBI_3008G112100;SORBI_3001G206000;SORBI_3006G221500;SORBI_3002G267500;SORBI_3003G142500;SORBI_3003G229700;SORBI_3003G360700;SORBI_3003G114200;SORBI_3009G157000;SORBI_3009G162000;SORBI_3009G202600;SORBI_3005G214400;SORBI_3008G130800;SORBI_3001G099300;SORBI_3001G250200;SORBI_3001G283700;SORBI_3001G026100;SORBI_3001G493300;SORBI_3006G041266;SORBI_3002G325300;SORBI_3010G134400;SORBI_3010G170000;SORBI_3003G309600;SORBI_3003G258000;SORBI_3009G072700;SORBI_3009G226600;SORBI_3009G040250;SORBI_3009G034600;SORBI_3008G049000;SORBI_3004G261900;SORBI_3006G034200;SORBI_3002G020000;SORBI_3002G260000;SORBI_3010G193300;SORBI_3010G190300;SORBI_3003G265100;SORBI_3003G249000;SORBI_3003G078700;SORBI_3009G165400;SORBI_3009G221500;SORBI_3005G187300;SORBI_3004G293100;SORBI_3004G268300;SORBI_3007G108500;SORBI_3001G049300;SORBI_3001G408400;SORBI_3002G165140
31,PWY-5123,"<i>trans, trans</i>-farnesyl diphosphate biosynthesis",7,9.36223742708624e-6,1.2352113250575e-4,tfisher_p_analytic,1,SORBI_3009G137700;SORBI_3004G327500;SORBI_3002G330500;SORBI_3003G270500;SORBI_3009G216800;SORBI_3006G248000;SORBI_3002G353300
32,PWY-6543,4-aminobenzoate biosynthesis,5,9.84901702641351e-6,1.2588274886884e-4,tfisher_p_analytic,1,SORBI_3003G003200;SORBI_3009G088800;SORBI_3008G001400;SORBI_3004G122800;SORBI_3010G250200
33,PWY-6803,phosphatidylcholine acyl editing,99,1.06772396675412e-5,1.2766467073292e-4,fisher_p,1,SORBI_3003G414500;SORBI_3004G283600;SORBI_3006G257300;SORBI_3010G159700;SORBI_3010G159900;SORBI_3010G160000;SORBI_3010G047800;SORBI_3003G370500;SORBI_3003G390900;SORBI_3010G160033;SORBI_3003G370600;SORBI_3003G432600;SORBI_3003G239200;SORBI_3003G038000;SORBI_3003G239500;SORBI_3003G274700;SORBI_3003G239100;SORBI_3003G418700;SORBI_3003G391000;SORBI_3009G135100;SORBI_3009G240600;SORBI_3009G125300;SORBI_3009G240500;SORBI_3009G117500;SORBI_3009G014600;SORBI_3009G149700;SORBI_3005G203800;SORBI_3005G111400;SORBI_3005G032700;SORBI_3008G170100;SORBI_3004G297600;SORBI_3004G300100;SORBI_3007G187000;SORBI_3007G011300;SORBI_3007G036900;SORBI_3001G373200;SORBI_3001G365100;SORBI_3001G295700;SORBI_3006G214500;SORBI_3002G320900;SORBI_3002G409500;SORBI_3002G262300;SORBI_3002G177200;SORBI_3002G213300;SORBI_3010G214900;SORBI_3010G045400;SORBI_3010G045500;SORBI_3003G258200;SORBI_3003G004900;SORBI_3003G303900;SORBI_3003G242000;SORBI_3009G031400;SORBI_3005G156100;SORBI_3005G033100;SORBI_3005G020300;SORBI_3005G054900;SORBI_3008G010800;SORBI_3008G051300;SORBI_3006G079500;SORBI_3006G247300;SORBI_3006G247200;SORBI_3006G272600;SORBI_3010G228100;SORBI_3003G029000;SORBI_3003G029200;SORBI_3003G389400;SORBI_3003G074600;SORBI_3003G074500;SORBI_3005G186400;SORBI_3005G186100;SORBI_3005G159400;SORBI_3005G186200;SORBI_3005G219100;SORBI_3005G219000;SORBI_3005G145100;SORBI_3008G135401;SORBI_3008G166050;SORBI_3004G357800;SORBI_3007G158700;SORBI_3007G158500;SORBI_3007G158600;SORBI_3007G158800;SORBI_3001G157700;SORBI_3001G433900;SORBI_3001G103800;SORBI_3001G279800;SORBI_3001G288200;SORBI_3001G448800;SORBI_3001G348600;SORBI_3001G067500;SORBI_3001G429900;SORBI_3001G120400;SORBI_3001G158200;SORBI_3001G157900;SORBI_3006G276100;SORBI_3002G401900;SORBI_3002G228700;SORBI_3002G031800;SORBI_3002G377600
34,PWY-4302,aerobic respiration III (alternative oxidase pathway),62,1.08190823377426e-5,1.2766467073292e-4,fisher_p,1,SORBI_3010G201266;SORBI_3010G098800;SORBI_3003G170300;SORBI_3003G172966;SORBI_3003G296800;SORBI_3003G429200;SORBI_3003G173032;SORBI_3003G168300;SORBI_3003G416200;SORBI_3003G322300;SORBI_3003G429300;SORBI_3003G135600;SORBI_3003G286200;SORBI_3003G429000;SORBI_3003G279200;SORBI_3003G173200;SORBI_3009G176000;SORBI_3009G209400;SORBI_3009G095720;SORBI_3009G191400;SORBI_3005G031000;SORBI_3004G166400;SORBI_3004G344800;SORBI_3004G249200;SORBI_3004G155100;SORBI_3007G211500;SORBI_3007G172300;SORBI_3007G134900;SORBI_3007G168400;SORBI_3007G133500;SORBI_3001G286200;SORBI_3001G164350;SORBI_3001G282500;SORBI_3001G473400;SORBI_3001G519000;SORBI_3001G073600;SORBI_3001G134200;SORBI_3001G115700;SORBI_3001G230050;SORBI_3001G251750;SORBI_3001G392800;SORBI_3002G149550;SORBI_3002G254500;SORBI_3002G396700;SORBI_3002G246200;SORBI_3002G308300;SORBI_3002G356400;SORBI_3002G395000;SORBI_3002G149000;SORBI_3002G028700;SORBI_3002G185100;SORBI_3001G206700;SORBI_3001G072000;SORBI_3007G023400;SORBI_3010G015200;SORBI_3010G031000;SORBI_3004G270500;SORBI_3006G202500;SORBI_3006G202600;SORBI_3006G258700;SORBI_3006G203000;SORBI_3006G258800
35,PWY-401,galactolipid biosynthesis I,8,1.10322334124971e-5,1.2766467073292e-4,tfisher_p_analytic,1,SORBI_3005G045000;SORBI_3004G169000;SORBI_3001G456300;SORBI_3001G424600;SORBI_3006G075100;SORBI_3004G334000;SORBI_3007G211900;SORBI_3002G206200
36,DETOX1-PWY,superoxide radicals degradation,10,1.12369881329716e-5,1.2766467073292e-4,tfisher_p_analytic,1,SORBI_3010G274500;SORBI_3004G011566;SORBI_3001G517700;SORBI_3010G033000;SORBI_3010G012900;SORBI_3009G093200;SORBI_3007G166600;SORBI_3001G371900;SORBI_3001G453800;SORBI_3002G407900
37,GLUTAMINDEG-PWY,L-glutamine degradation I,34,1.15808870506707e-5,1.28015751452e-4,tfisher_p_analytic,1,SORBI_3003G221200;SORBI_3003G241000;SORBI_3003G017300;SORBI_3009G239500;SORBI_3009G239301;SORBI_3008G127100;SORBI_3003G193700;SORBI_3004G265900;SORBI_3007G104300;SORBI_3010G060800;SORBI_3003G258800;SORBI_3009G225700;SORBI_3005G150250;SORBI_3004G209300;SORBI_3007G174600;SORBI_3010G110000;SORBI_3005G003200;SORBI_3008G139800;SORBI_3001G406800;SORBI_3001G432300;SORBI_3006G278500;SORBI_3001G265500;SORBI_3001G151700;SORBI_3006G028000;SORBI_3006G027900;SORBI_3002G301500;SORBI_3005G143500;SORBI_3005G139300;SORBI_3006G237100;SORBI_3002G301600;SORBI_3002G301700;SORBI_3004G028500;SORBI_3002G005600;SORBI_3002G402700
38,GLYCOLYSIS,glycolysis I (from glucose 6-phosphate),61,1.24122486547678e-5,1.335949921e-4,tfisher_p_analytic,1,SORBI_3001G071800;SORBI_3002G230600;SORBI_3006G020900;SORBI_3004G234100;SORBI_3010G090100;SORBI_3010G219700;SORBI_3003G367500;SORBI_3009G152700;SORBI_3001G425400;SORBI_3010G041400;SORBI_3003G034700;SORBI_3003G105000;SORBI_3003G290000;SORBI_3009G204601;SORBI_3009G071800;SORBI_3007G139500;SORBI_3001G052500;SORBI_3001G253300;SORBI_3006G114700;SORBI_3006G074800;SORBI_3002G201700;SORBI_3010G188300;SORBI_3003G096000;SORBI_3003G393900;SORBI_3005G056400;SORBI_3008G053200;SORBI_3004G146000;SORBI_3003G072300;SORBI_3003G352300;SORBI_3002G277100;SORBI_3010G262466;SORBI_3010G262500;SORBI_3010G262433;SORBI_3010G100200;SORBI_3009G016700;SORBI_3005G159000;SORBI_3004G056400;SORBI_3004G205100;SORBI_3007G025400;SORBI_3010G221800;SORBI_3009G183700;SORBI_3004G055200;SORBI_3001G236800;SORBI_3003G336000;SORBI_3008G116600;SORBI_3001G384100;SORBI_3010G027000;SORBI_3010G026925;SORBI_3001G426100;SORBI_3002G186900;SORBI_3003G244700;SORBI_3003G130800;SORBI_3005G034400;SORBI_3005G101400;SORBI_3008G033600;SORBI_3001G386900;SORBI_3001G057200;SORBI_3001G140700;SORBI_3001G290600;SORBI_3006G267200;SORBI_3002G054400
39,PWY-5905,hypusine biosynthesis,4,1.32157128238523e-5,1.3648520958807e-4,tfisher_p_analytic,1,SORBI_3007G019200;SORBI_3001G096300;SORBI_3006G046500;SORBI_3004G349000
40,PWY-1422,vitamin E biosynthesis (tocopherols),13,1.33481867567797e-5,1.3648520958807e-4,tfisher_p_analytic,1,SORBI_3003G320000;SORBI_3005G190800;SORBI_3008G022000;SORBI_3004G269800;SORBI_3006G183500;SORBI_3004G125800;SORBI_3008G171300;SORBI_3008G171000;SORBI_3010G215600;SORBI_3002G351600;SORBI_3004G053700;SORBI_3002G104200;SORBI_3002G105600
41,PWY-5667,CDP-diacylglycerol biosynthesis I,29,1.44826845119396e-5,1.4447360891178e-4,tfisher_p_analytic,1,SORBI_3003G142500;SORBI_3003G229700;SORBI_3003G360700;SORBI_3003G114200;SORBI_3009G157000;SORBI_3009G162000;SORBI_3009G202600;SORBI_3005G214400;SORBI_3008G130800;SORBI_3001G099300;SORBI_3001G250200;SORBI_3001G283700;SORBI_3001G026100;SORBI_3001G493300;SORBI_3006G041266;SORBI_3002G325300;SORBI_3003G317500;SORBI_3009G188900;SORBI_3009G015800;SORBI_3005G197100;SORBI_3008G112100;SORBI_3001G206000;SORBI_3006G221500;SORBI_3002G267500;SORBI_3003G073800;SORBI_3003G301900;SORBI_3005G149300;SORBI_3004G025400;SORBI_3002G167100
42,RIBOSYN2-PWY,flavin biosynthesis I (bacteria and plants),21,1.74420456901425e-5,1.6985230207781e-4,tfisher_p_analytic,1,SORBI_3009G164300;SORBI_3004G187900;SORBI_3007G227000;SORBI_3004G156800;SORBI_3001G531400;SORBI_3001G531200;SORBI_3004G144400;SORBI_3010G039500;SORBI_3009G094700;SORBI_3009G059300;SORBI_3006G175100;SORBI_3002G136100;SORBI_3001G118700;SORBI_3006G244700;SORBI_3008G118600;SORBI_3003G118200;SORBI_3001G052600;SORBI_3003G301500;SORBI_3005G123200;SORBI_3001G524500;SORBI_3001G227200
43,PWY-1042,glycolysis IV (plant cytosol),60,1.98435347708732e-5,1.852675717875e-4,tfisher_p_analytic,1,SORBI_3007G140700;SORBI_3003G244700;SORBI_3003G130800;SORBI_3005G034400;SORBI_3005G101400;SORBI_3008G033600;SORBI_3001G386900;SORBI_3001G057200;SORBI_3001G140700;SORBI_3001G290600;SORBI_3006G267200;SORBI_3002G054400;SORBI_3010G027000;SORBI_3010G026925;SORBI_3001G426100;SORBI_3002G186900;SORBI_3003G336000;SORBI_3008G116600;SORBI_3001G384100;SORBI_3010G221800;SORBI_3009G183700;SORBI_3004G055200;SORBI_3001G236800;SORBI_3010G262466;SORBI_3010G262500;SORBI_3010G262433;SORBI_3010G100200;SORBI_3009G016700;SORBI_3005G159000;SORBI_3004G056400;SORBI_3004G205100;SORBI_3007G025400;SORBI_3003G072300;SORBI_3003G352300;SORBI_3002G277100;SORBI_3010G188300;SORBI_3003G096000;SORBI_3003G393900;SORBI_3005G056400;SORBI_3008G053200;SORBI_3004G146000;SORBI_3010G101600;SORBI_3010G134000;SORBI_3004G261800;SORBI_3007G101800;SORBI_3002G026300;SORBI_3002G156750;SORBI_3002G160300;SORBI_3010G041400;SORBI_3003G034700;SORBI_3003G105000;SORBI_3003G290000;SORBI_3009G204601;SORBI_3009G071800;SORBI_3007G139500;SORBI_3001G052500;SORBI_3001G253300;SORBI_3006G114700;SORBI_3006G074800;SORBI_3002G201700
44,GLUGLNSYN-PWY,L-glutamate biosynthesis IV,6,1.9930985717971e-5,1.852675717875e-4,tfisher_p_analytic,1,SORBI_3007G174600;SORBI_3004G209300;SORBI_3005G150250;SORBI_3009G225700;SORBI_3003G258800;SORBI_3010G060800
45,PWY-5989,stearate biosynthesis II (bacteria and plants),38,2.08086978605441e-5,1.8912794277694e-4,tfisher_p_analytic,1,SORBI_3006G272600;SORBI_3006G247200;SORBI_3006G247300;SORBI_3006G079500;SORBI_3008G051300;SORBI_3008G010800;SORBI_3005G054900;SORBI_3005G020300;SORBI_3005G033100;SORBI_3005G156100;SORBI_3009G031400;SORBI_3003G242000;SORBI_3003G303900;SORBI_3003G004900;SORBI_3003G258200;SORBI_3010G045500;SORBI_3010G045400;SORBI_3010G214900;SORBI_3002G256900;SORBI_3002G256800;SORBI_3006G171900;SORBI_3006G259300;SORBI_3004G293900;SORBI_3004G294000;SORBI_3004G293800;SORBI_3008G029200;SORBI_3003G337500;SORBI_3002G151000;SORBI_3007G225200;SORBI_3007G225300;SORBI_3007G112100;SORBI_3007G079600;SORBI_3009G150900;SORBI_3006G043700;SORBI_3007G209800;SORBI_3004G152800;SORBI_3004G178100;SORBI_3008G087300
46,PWY-5863,superpathway of phylloquinol biosynthesis,8,2.15865049951796e-5,1.9193218571801e-4,tfisher_p_analytic,1,SORBI_3003G270500;SORBI_3003G111500;SORBI_3009G216800;SORBI_3009G246400;SORBI_3004G287300;SORBI_3002G353300;SORBI_3003G122100;SORBI_3004G238500
47,PWY-5097,L-lysine biosynthesis VI,15,2.22555900722435e-5,1.9367098594782e-4,tfisher_p_analytic,1,SORBI_3007G171200;SORBI_3001G438600;SORBI_3001G531800;SORBI_3008G038600;SORBI_3008G133600;SORBI_3008G133500;SORBI_3001G401700;SORBI_3001G471100;SORBI_3010G216300;SORBI_3006G186600;SORBI_3001G081900;SORBI_3003G412100;SORBI_3001G011700;SORBI_3002G111800;SORBI_3002G155100
48,PWY-5125,anthocyanin biosynthesis,13,2.61313137129968e-5,2.2266056892949e-4,tfisher_p_analytic,1,SORBI_3003G345100;SORBI_3009G028200;SORBI_3005G072400;SORBI_3008G002600;SORBI_3004G000700;SORBI_3002G133150;SORBI_3010G070200;SORBI_3005G033801;SORBI_3005G033900;SORBI_3008G035600;SORBI_3002G311601;SORBI_3002G369600;SORBI_3002G070500
49,PWY-7219,adenosine ribonucleotides <i>de novo</i> biosynthesis,14,2.67092690810091e-5,2.2294063375781e-4,tfisher_p_analytic,1,SORBI_3003G233500;SORBI_3008G084600;SORBI_3008G084100;SORBI_3007G009200;SORBI_3007G022600;SORBI_3007G113600;SORBI_3007G021200;SORBI_3001G518500;SORBI_3006G261300;SORBI_3002G116200;SORBI_3001G392500;SORBI_3006G157000;SORBI_3001G486700;SORBI_3001G126300
50,PWY-282,cuticular wax biosynthesis,11,2.82824070474973e-5,2.3135008964852e-4,tfisher_p_analytic,1,SORBI_3010G212600;SORBI_3008G076200;SORBI_3008G076250;SORBI_3004G218100;SORBI_3004G342000;SORBI_3004G064000;SORBI_3001G222700;SORBI_3006G144500;SORBI_3002G207900;SORBI_3003G040300;SORBI_3001G510300
