block,pathway_size,missing_frac,method,strategy,lambda,lambda_se,type1_05,type1_05_se,type1_01,type1_01_se
C,5,0.1,omnibus,mvn_imputed_cor,0.8523986701662136,0.12354507488071775,0.06,0.010620734437881401,0.006,0.0034536936748935914
C,5,0.3,acat,analytic_fallback,1.026876813065451,0.08790164274713834,0.058,0.010453324829928513,0.016,0.005611416933360059
C,5,0.3,acat,mvn_true_cor,0.9296203730077741,0.06819694494087308,0.048,0.009559916317625379,0.016,0.005611416933360059
C,5,0.3,acat,mvn_imputed_cor,1.0164103112365412,0.08186992992543592,0.04,0.008763560920082658,0.018,0.005945754788081997
C,5,0.3,fisher,analytic_fallback,0.5241935732237114,0.0803577760820012,0.146,0.015791390059142988,0.068,0.011258419071965654
C,5,0.3,fisher,mvn_true_cor,0.877613494962224,0.059199186899694056,0.058,0.010453324829928513,0.018,0.005945754788081997
C,5,0.3,fisher,mvn_imputed_cor,0.8968707999917581,0.06561187239751916,0.056,0.010282412168358162,0.03,0.00762889244910426
C,5,0.3,tfisher,analytic_fallback,0.1918626307654551,3.258606188773013e-8,0.046,0.00936845771725528,0.042,0.008970618707759236
C,5,0.3,tfisher,mvn_true_cor,0.8861642305816894,0.1076425628486048,0.05,0.009746794344808964,0.018,0.005945754788081997
C,5,0.3,tfisher,mvn_imputed_cor,0.750746150047445,0.09881744536070441,0.042,0.008970618707759236,0.022,0.006559878047646922
C,5,0.3,minp,analytic_fallback,0.3053497381227074,0.06723982226761836,0.034,0.008104813384649889,0.006,0.0034536936748935914
C,5,0.3,minp,mvn_true_cor,0.9384953990209863,0.12199067708560205,0.046,0.00936845771725528,0.008,0.003983967871356395
C,5,0.3,minp,mvn_imputed_cor,0.7954972218275482,0.11175815831528811,0.038,0.00855055553750749,0.016,0.005611416933360059
C,5,0.3,stouffer,analytic_fallback,1.0087525562525212,0.1177383770025199,0.19,0.017544229820656135,0.108,0.013880633991284405
C,5,0.3,stouffer,mvn_true_cor,0.8990558686687286,0.06886495915897659,0.06,0.010620734437881401,0.02,0.006260990336999411
C,5,0.3,stouffer,mvn_imputed_cor,0.9907587903494437,0.07984236803410429,0.064,0.010945684080951725,0.028,0.007377804551490911
C,5,0.3,omnibus,analytic_fallback,0.4629185691368193,0.06078540748214312,0.128,0.014940950438308804,0.066,0.011103512957618413
C,5,0.3,omnibus,mvn_true_cor,0.8947149662011549,0.10581653319530204,0.064,0.010945684080951725,0.018,0.005945754788081997
C,5,0.3,omnibus,mvn_imputed_cor,0.9564267323388701,0.09572813931343582,0.05,0.009746794344808964,0.022,0.006559878047646922
C,5,0.5,acat,analytic_fallback,1.0694386535640872,0.15230321282374354,0.064,0.010945684080951725,0.01,0.0044497190922573975
C,5,0.5,acat,mvn_true_cor,0.9609553066408978,0.1220677543593999,0.062,0.010784804124322332,0.008,0.003983967871356395
C,5,0.5,acat,mvn_imputed_cor,1.2679735694696703,0.14832192504305977,0.068,0.011258419071965654,0.02,0.006260990336999411
C,5,0.5,fisher,analytic_fallback,0.6278404981654083,0.1459981215321844,0.138,0.01542439626046997,0.066,0.011103512957618413
C,5,0.5,fisher,mvn_true_cor,0.9586871855920548,0.10448219687455428,0.06,0.010620734437881401,0.022,0.006559878047646922
C,5,0.5,fisher,mvn_imputed_cor,1.0621158571831502,0.14576840764216584,0.082,0.012269963325128565,0.032,0.0078709592807992609
C,5,0.5,tfisher,analytic_fallback,0.19186269168211725,3.96335557726326e-8,0.054,0.010107818755794942,0.046,0.00936845771725528
C,5,0.5,tfisher,mvn_true_cor,1.0474106788077122,0.1229667335599246,0.054,0.010107818755794942,0.016,0.005611416933360059
C,5,0.5,tfisher,mvn_imputed_cor,0.9930264147396488,0.1143077198087907,0.06,0.010620734437881401,0.026,0.007116740827092132
C,5,0.5,minp,analytic_fallback,0.3372622190439626,0.0626777589227529,0.054,0.010107818755794942,0.008,0.003983967871356395
C,5,0.5,minp,mvn_true_cor,0.9677596966611742,0.10527251980586728,0.054,0.010107818755794942,0.008,0.003983967871356395
C,5,0.5,minp,mvn_imputed_cor,0.7641799654425244,0.09958683751149312,0.054,0.010107818755794942,0.012,0.004869496893930624
C,5,0.5,stouffer,analytic_fallback,1.1034688521333829,0.2154720017369652,0.198,0.01782111107647332,0.096,0.013174520864152897
C,5,0.5,stouffer,mvn_true_cor,0.9362879334707851,0.11049373206633575,0.058,0.010453324829928513,0.024,0.00684455988358638
C,5,0.5,stouffer,mvn_imputed_cor,1.345068905131852,0.14154026535024822,0.1,0.01341640786499874,0.044,0.009172131704244111
C,5,0.5,omnibus,analytic_fallback,0.5238975821459535,0.08681850758711601,0.122,0.014636666287102402,0.062,0.010784804124322332
C,5,0.5,omnibus,mvn_true_cor,0.9768938736011317,0.12904364129174972,0.062,0.010784804124322332,0.016,0.005611416933360059
C,5,0.5,omnibus,mvn_imputed_cor,1.1292456209281743,0.14934693888144637,0.094,0.013050976974924139,0.026,0.007116740827092132
C,5,0.7,acat,analytic_fallback,0.8306938258108888,0.12817413576571574,0.058,0.010453324829928513,0.02,0.006260990336999411
C,5,0.7,acat,mvn_true_cor,0.7641799654425244,0.09505606353988674,0.058,0.010453324829928513,0.018,0.005945754788081997
C,5,0.7,acat,mvn_imputed_cor,0.709550225399371,0.10979036492886625,0.052,0.00992935043192655,0.016,0.005611416933360059
C,5,0.7,fisher,analytic_fallback,0.3995223512973751,0.08663166142634249,0.128,0.014940950438308804,0.064,0.010945684080951725
C,5,0.7,fisher,mvn_true_cor,0.7603249066183935,0.08048682142041584,0.058,0.010453324829928513,0.014,0.00525433154644813
C,5,0.7,fisher,mvn_imputed_cor,0.5377334240542919,0.08612732183459094,0.086,0.012538261442480771,0.034,0.008104813384649889
C,5,0.7,tfisher,analytic_fallback,0.19186261943449473,3.695878943864876e-8,0.046,0.00936845771725528,0.042,0.008970618707759236
C,5,0.7,tfisher,mvn_true_cor,0.839999514642564,0.11496521021500614,0.054,0.010107818755794942,0.014,0.00525433154644813
C,5,0.7,tfisher,mvn_imputed_cor,0.6368093570643594,0.06900068169364687,0.04,0.008763560920082658,0.016,0.005611416933360059
C,5,0.7,minp,analytic_fallback,0.2798414000581158,0.05524296636361002,0.046,0.00936845771725528,0.018,0.005945754788081997
C,5,0.7,minp,mvn_true_cor,0.8607704137785358,0.10356020794042768,0.05,0.009746794344808964,0.018,0.005945754788081997
C,5,0.7,minp,mvn_imputed_cor,0.46276421193192463,0.058961036197609264,0.044,0.009172131704244111,0.014,0.00525433154644813
C,5,0.7,stouffer,analytic_fallback,0.7530514340201185,0.17503579505672193,0.184,0.017328819925199752,0.096,0.013174520864152897
C,5,0.7,stouffer,mvn_true_cor,0.7603249066183935,0.1071937100735427,0.06,0.010620734437881401,0.018,0.005945754788081997
C,5,0.7,stouffer,mvn_imputed_cor,0.7564829567027588,0.12363746198068719,0.104,0.013651666564928987,0.036,0.008331146379700696
C,5,0.7,omnibus,analytic_fallback,0.38277583472037563,0.06395399069224143,0.116,0.014320893826853127,0.062,0.010784804124322332
C,5,0.7,omnibus,mvn_true_cor,0.7680481732977564,0.07914416874491928,0.062,0.010784804124322332,0.014,0.00525433154644813
C,5,0.7,omnibus,mvn_imputed_cor,0.6097849883093833,0.08322884783713784,0.05,0.009746794344808964,0.016,0.005611416933360059
C,25,0,acat,analytic_fallback,0.8176711172313071,0.09358073941746217,0.07,0.011410521460476731,0.012,0.004869496893930624
C,25,0,acat,mvn_true_cor,0.8195501333837485,0.06982647885537349,0.044,0.009172131704244111,0.008,0.003983967871356395
C,25,0,acat,mvn_imputed_cor,0.8195501333837485,0.07704983210525314,0.044,0.009172131704244111,0.008,0.003983967871356395
C,25,0,fisher,analytic_fallback,0.13730743096301093,0.04948857159357047,0.206,0.01808668018183547,0.146,0.015791390059142988
C,25,0,fisher,mvn_true_cor,0.79947209524364,0.06675867716121124,0.048,0.009559916317625379,0.004,0.002822764602300376
C,25,0,fisher,mvn_imputed_cor,0.79947209524364,0.06894080431229926,0.048,0.009559916317625379,0.004,0.002822764602300376
C,25,0,tfisher,analytic_fallback,0.06501345951783676,0.00575865024951323,0.1,0.01341640786499874,0.084,0.012405160216619535
C,25,0,tfisher,mvn_true_cor,0.8523916226504865,0.08674879816099519,0.052,0.00992935043192655,0,0
C,25,0,tfisher,mvn_imputed_cor,0.8523916226504865,0.08048839440770174,0.052,0.00992935043192655,0,0
C,25,0,minp,analytic_fallback,0.12367152562415025,0.03535570714604597,0.032,0.0078709592807992609,0.01,0.0044497190922573975
C,25,0,minp,mvn_true_cor,0.8276772007488384,0.07672891095966783,0.04,0.008763560920082658,0.01,0.0044497190922573975
C,25,0,minp,mvn_imputed_cor,0.8276772007488384,0.07082665175286869,0.04,0.008763560920082658,0.01,0.0044497190922573975
C,25,0,stouffer,analytic_fallback,0.4619316503046655,0.16059964498492446,0.264,0.019713142824014644,0.194,0.01768411716767337
C,25,0,stouffer,mvn_true_cor,0.8216610071285497,0.08115704061323485,0.05,0.009746794344808964,0,0
C,25,0,stouffer,mvn_imputed_cor,0.8216610071285497,0.08756218043950083,0.05,0.009746794344808964,0,0
C,25,0,omnibus,analytic_fallback,0.10615013834241935,0.029116990409861626,0.216,0.01840347793217358,0.164,0.0165592270351004
C,25,0,omnibus,mvn_true_cor,0.7680547679935266,0.07399318623845749,0.042,0.008970618707759236,0.004,0.002822764602300376
C,25,0,omnibus,mvn_imputed_cor,0.7680547679935266,0.07204898673968056,0.042,0.008970618707759236,0.004,0.002822764602300376
C,25,0.1,acat,analytic_fallback,1.1375220879198602,0.157149717641905,0.08,0.01213260071048248,0.018,0.005945754788081997
C,25,0.1,acat,mvn_true_cor,1.0643857745602647,0.104830140430727,0.052,0.00992935043192655,0.01,0.0044497190922573975
C,25,0.1,acat,mvn_imputed_cor,1.0498297943283659,0.11028727814439543,0.066,0.011103512957618413,0.02,0.006260990336999411
C,25,0.1,fisher,analytic_fallback,0.38273177453720825,0.11950672040628173,0.218,0.018464885594013304,0.164,0.0165592270351004
C,25,0.1,fisher,mvn_true_cor,1.0401943159175828,0.10042199994689939,0.062,0.010784804124322332,0.002,0.0019979989989987483
C,25,0.1,fisher,mvn_imputed_cor,1.021134871848919,0.11628530585792568,0.072,0.011559930795640603,0.016,0.005611416933360059
C,25,0.1,tfisher,analytic_fallback,0.07068206378892808,0.007866488925226539,0.126,0.01484075469779081,0.112,0.014103616557464968
C,25,0.1,tfisher,mvn_true_cor,0.9474990074060314,0.09074375210529459,0.066,0.011103512957618413,0,0
C,25,0.1,tfisher,mvn_imputed_cor,0.9407254464773911,0.09931788641505944,0.072,0.011559930795640603,0,0
C,25,0.1,minp,analytic_fallback,0.1497433678855757,0.035399492131883974,0.042,0.008970618707759236,0.012,0.004869496893930624
C,25,0.1,minp,mvn_true_cor,0.8968853928821997,0.09477333310593444,0.052,0.00992935043192655,0.01,0.0044497190922573975
C,25,0.1,minp,mvn_imputed_cor,0.9679138656021199,0.09699339548529622,0.06,0.010620734437881401,0.016,0.005611416933360059
C,25,0.1,stouffer,analytic_fallback,1.3564086816828895,0.38928332980237734,0.27,0.019854470529329156,0.21,0.01821537811850196
C,25,0.1,stouffer,mvn_true_cor,1.0840373984487173,0.09657398140170062,0.062,0.010784804124322332,0,0
C,25,0.1,stouffer,mvn_imputed_cor,1.0840373984487173,0.09874280109933967,0.076,0.011851075900524812,0.018,0.005945754788081997
C,25,0.1,omnibus,analytic_fallback,0.24858698963064796,0.07337595526850073,0.23,0.01882020191177555,0.19,0.017544229820656135
C,25,0.1,omnibus,mvn_true_cor,1.0546680557129668,0.09795854909251149,0.054,0.010107818755794942,0.002,0.0019979989989987483
C,25,0.1,omnibus,mvn_imputed_cor,1.0840373984487173,0.10977750560941453,0.068,0.011258419071965654,0.018,0.005945754788081997
C,25,0.3,acat,analytic_fallback,0.8152375817929619,0.1290023076264282,0.076,0.011851075900524812,0.018,0.005945754788081997
C,25,0.3,acat,mvn_true_cor,0.825780017335473,0.09420792392874242,0.056,0.010282412168358162,0.006,0.0034536936748935914
C,25,0.3,acat,mvn_imputed_cor,0.8379295180173275,0.08270535376786188,0.062,0.010784804124322332,0.008,0.003983967871356395
C,25,0.3,fisher,analytic_fallback,0.21333772474590895,0.1242480326779041,0.216,0.01840347793217358,0.146,0.015791390059142988
C,25,0.3,fisher,mvn_true_cor,0.8990266337823616,0.12501344149521365,0.046,0.00936845771725528,0.006,0.0034536936748935914
C,25,0.3,fisher,mvn_imputed_cor,0.7680481732977564,0.13237929301492826,0.064,0.010945684080951725,0.018,0.005945754788081997
C,25,0.3,tfisher,analytic_fallback,0.06349607580762356,0.0069301761402409175,0.108,0.013880633991284405,0.088,0.012669333052690659
C,25,0.3,tfisher,mvn_true_cor,0.8317614491467049,0.09720371802443767,0.052,0.00992935043192655,0,0
C,25,0.3,tfisher,mvn_imputed_cor,0.6699510951738271,0.09506309559493821,0.058,0.010453324829928513,0,0
C,25,0.3,minp,analytic_fallback,0.11572504549077024,0.03319333525514637,0.05,0.009746794344808964,0.008,0.003983967871356395
C,25,0.3,minp,mvn_true_cor,0.8114780123191924,0.06609954423897993,0.066,0.011103512957618413,0.006,0.0034536936748935914
C,25,0.3,minp,mvn_imputed_cor,0.6734228083704711,0.08713997714089403,0.066,0.011103512957618413,0.002,0.0019979989989987483
C,25,0.3,stouffer,analytic_fallback,0.7072964543577712,0.2633541771210255,0.296,0.02041489652190282,0.208,0.018151363585141474
C,25,0.3,stouffer,mvn_true_cor,0.8969145789646747,0.09686850080544787,0.048,0.009559916317625379,0,0
C,25,0.3,stouffer,mvn_imputed_cor,0.8755368962381112,0.10466002006333486,0.07,0.011410521460476731,0.02,0.006260990336999411
C,25,0.3,omnibus,analytic_fallback,0.1386166245355101,0.054938075065514326,0.23,0.01882020191177555,0.172,0.0168769665520792
C,25,0.3,omnibus,mvn_true_cor,0.8503146013944548,0.10311339520402867,0.042,0.008970618707759236,0.004,0.002822764602300376
C,25,0.3,omnibus,mvn_imputed_cor,0.7603249066183935,0.10455114897070167,0.064,0.010945684080951725,0.016,0.005611416933360059
C,25,0.5,acat,analytic_fallback,1.0610146938487333,0.1425940458789318,0.076,0.011851075900524812,0.018,0.005945754788081997
C,25,0.5,acat,mvn_true_cor,1.007040920678867,0.09576944757629374,0.05,0.009746794344808964,0.01,0.0044497190922573975
C,25,0.5,acat,mvn_imputed_cor,0.9318503688615455,0.09358963668541703,0.05,0.009746794344808964,0.01,0.0044497190922573975
C,25,0.5,fisher,analytic_fallback,0.30050313809161966,0.1282717574809575,0.23,0.01882020191177555,0.148,0.015880554146502572
C,25,0.5,fisher,mvn_true_cor,0.9768938736011317,0.1037226009736179,0.05,0.009746794344808964,0.002,0.0019979989989987483
C,25,0.5,fisher,mvn_imputed_cor,0.7738768841636654,0.11266776845837993,0.09,0.012798437404620925,0.04,0.008763560920082658
C,25,0.5,tfisher,analytic_fallback,0.07057614281942852,0.014890047633787866,0.112,0.014103616557464968,0.092,0.012925633446759968
C,25,0.5,tfisher,mvn_true_cor,0.9429857419901314,0.13077708345384798,0.052,0.00992935043192655,0,0
C,25,0.5,tfisher,mvn_imputed_cor,0.5818937603966552,0.08465631525974647,0.076,0.011851075900524812,0.03,0.00762889244910426
C,25,0.5,minp,analytic_fallback,0.17991199515829517,0.055286293513194425,0.046,0.00936845771725528,0.014,0.00525433154644813
C,25,0.5,minp,mvn_true_cor,0.9700663994027607,0.13615841510563861,0.062,0.010784804124322332,0.012,0.004869496893930624
C,25,0.5,minp,mvn_imputed_cor,0.6333848935248736,0.07448995283885133,0.044,0.009172131704244111,0.008,0.003983967871356395
C,25,0.5,stouffer,analytic_fallback,0.9885287648468277,0.2767366674014431,0.288,0.020251222185339826,0.212,0.018278730809331376
C,25,0.5,stouffer,mvn_true_cor,0.9883970184111679,0.08377221518281343,0.05,0.009746794344808964,0,0
C,25,0.5,stouffer,mvn_imputed_cor,0.9609476388452395,0.10931951775601241,0.11,0.013992855319769442,0.042,0.008970618707759236
C,25,0.5,omnibus,analytic_fallback,0.18900594442958807,0.09941695770726332,0.23,0.01882020191177555,0.174,0.016954291492126704
C,25,0.5,omnibus,mvn_true_cor,0.9385029349503096,0.14526213827207318,0.05,0.009746794344808964,0.002,0.0019979989989987483
C,25,0.5,omnibus,mvn_imputed_cor,0.8565880424947113,0.1456029436320356,0.086,0.012538261442480771,0.032,0.0078709592807992609
C,25,0.7,acat,analytic_fallback,1.0455108009247038,0.1819206464011817,0.046,0.00936845771725528,0.01,0.0044497190922573975
C,25,0.7,acat,mvn_true_cor,0.9884283450407374,0.11197102096601898,0.032,0.0078709592807992609,0.006,0.0034536936748935914
C,25,0.7,acat,mvn_imputed_cor,1.2735906369612746,0.16657658141425596,0.052,0.00992935043192655,0.01,0.0044497190922573975
C,25,0.7,fisher,analytic_fallback,0.3174207979943017,0.13820739317140773,0.19,0.017544229820656135,0.138,0.01542439626046997
C,25,0.7,fisher,mvn_true_cor,1.0046866421656924,0.10348426569692885,0.036,0.008331146379700696,0.006,0.0034536936748935914
C,25,0.7,fisher,mvn_imputed_cor,0.8358595664741034,0.13250136586218592,0.118,0.014427473791346842,0.06,0.010620734437881401
C,25,0.7,tfisher,analytic_fallback,0.0682076842829555,0.008696505979742674,0.092,0.012925633446759968,0.076,0.011851075900524812
C,25,0.7,tfisher,mvn_true_cor,0.9055380859228916,0.09947103167348588,0.038,0.00855055553750749,0,0
C,25,0.7,tfisher,mvn_imputed_cor,0.44200899164429097,0.07974569689943672,0.052,0.00992935043192655,0.026,0.007116740827092132
C,25,0.7,minp,analytic_fallback,0.14557840866015118,0.03561149883574232,0.03,0.00762889244910426,0.008,0.003983967871356395
C,25,0.7,minp,mvn_true_cor,0.8904178670333307,0.09643234126314269,0.036,0.008331146379700696,0.006,0.0034536936748935914
C,25,0.7,minp,mvn_imputed_cor,0.48843754198462347,0.0707520151577185,0.034,0.008104813384649889,0.008,0.003983967871356395
C,25,0.7,stouffer,analytic_fallback,1.1135133115380424,0.29692923465647747,0.266,0.019760769215797242,0.204,0.018021320706318948
C,25,0.7,stouffer,mvn_true_cor,1.0000019754298992,0.08450663620948241,0.038,0.00855055553750749,0,0
C,25,0.7,stouffer,mvn_imputed_cor,1.3597893680559174,0.16952490457871774,0.152,0.016055902341506688,0.076,0.011851075900524812
C,25,0.7,omnibus,analytic_fallback,0.24543659410639893,0.0915100082912669,0.216,0.01840347793217358,0.142,0.015609996796924718
C,25,0.7,omnibus,mvn_true_cor,1.0450733810617359,0.1362578733809474,0.036,0.008331146379700696,0.006,0.0034536936748935914
C,25,0.7,omnibus,mvn_imputed_cor,1.0692736240653617,0.17967980582896734,0.116,0.014320893826853127,0.036,0.008331146379700696
C,50,0,acat,analytic_fallback,1.0446812541264685,0.1682164956219395,0.074,0.011706750189527408,0.012,0.004869496893930624
C,50,0,acat,mvn_true_cor,1.0000019754298992,0.13237299393893984,0.06,0.010620734437881401,0.006,0.0034536936748935914
C,50,0,acat,mvn_imputed_cor,1.0000019754298992,0.13932778153975578,0.06,0.010620734437881401,0.006,0.0034536936748935914
C,50,0,fisher,analytic_fallback,0.5209108989363559,0.18281798914573963,0.22,0.018525657883055057,0.158,0.01631171358257617
C,50,0,fisher,mvn_true_cor,1.0546598165764243,0.09435035513852122,0.056,0.010282412168358162,0.008,0.003983967871356395
C,50,0,fisher,mvn_imputed_cor,1.0546598165764243,0.10639561548463099,0.056,0.010282412168358162,0.008,0.003983967871356395
C,50,0,tfisher,analytic_fallback,0.07934134093198526,0.011172756936809337,0.134,0.015234434679370286,0.112,0.014103616557464968
C,50,0,tfisher,mvn_true_cor,0.9977030807724361,0.11369045287206539,0.052,0.00992935043192655,0,0
C,50,0,tfisher,mvn_imputed_cor,0.9977030807724361,0.12309884924852817,0.052,0.00992935043192655,0,0
C,50,0,minp,analytic_fallback,0.20831305253744253,0.06046796496145135,0.046,0.00936845771725528,0.004,0.002822764602300376
C,50,0,minp,mvn_true_cor,1.0401943159175828,0.12329323827194226,0.066,0.011103512957618413,0.004,0.002822764602300376
C,50,0,minp,mvn_imputed_cor,1.0401943159175828,0.13295841620017917,0.066,0.011103512957618413,0.004,0.002822764602300376
C,50,0,stouffer,analytic_fallback,0.7797522487055308,0.3317690050742156,0.298,0.020454632727086544,0.2,0.01788854381999832
C,50,0,stouffer,mvn_true_cor,0.9564267323388701,0.10217885194750874,0.066,0.011103512957618413,0.006,0.0034536936748935914
C,50,0,stouffer,mvn_imputed_cor,0.9564267323388701,0.0956445231527178,0.066,0.011103512957618413,0.006,0.0034536936748935914
C,50,0,omnibus,analytic_fallback,0.20459125324825175,0.0993414042694814,0.242,0.019153902996517445,0.182,0.01725549187939886
C,50,0,omnibus,mvn_true_cor,1.0354051571415446,0.15027277626224164,0.062,0.010784804124322332,0.008,0.003983967871356395
C,50,0,omnibus,mvn_imputed_cor,1.0354051571415446,0.143717583450331,0.062,0.010784804124322332,0.008,0.003983967871356395
C,50,0.1,acat,analytic_fallback,0.9913855847852217,0.16276641547874496,0.068,0.011258419071965654,0.008,0.003983967871356395
C,50,0.1,acat,mvn_true_cor,0.9609476388452395,0.12238880912282699,0.048,0.009559916317625379,0.006,0.0034536936748935914
C,50,0.1,acat,mvn_imputed_cor,0.9814998028265747,0.10058416013194633,0.044,0.009172131704244111,0.006,0.0034536936748935914
C,50,0.1,fisher,analytic_fallback,0.5689302409910462,0.23585554107709975,0.248,0.019313000802568203,0.174,0.016954291492126704
C,50,0.1,fisher,mvn_true_cor,1.0865317188912391,0.12299477624759166,0.058,0.010453324829928513,0.006,0.0034536936748935914
C,50,0.1,fisher,mvn_imputed_cor,1.0378160041564815,0.13249384675150058,0.068,0.011258419071965654,0.006,0.0034536936748935914
C,50,0.1,tfisher,analytic_fallback,0.08696187029898111,0.014769721551370317,0.136,0.01532997064576446,0.108,0.013880633991284405
C,50,0.1,tfisher,mvn_true_cor,1.084045823853801,0.13593072566297093,0.06,0.010620734437881401,0,0
C,50,0.1,tfisher,mvn_imputed_cor,0.9654838809429256,0.131835164963967,0.054,0.010107818755794942,0,0
C,50,0.1,minp,analytic_fallback,0.18352522209441563,0.03899650334795877,0.042,0.008970618707759236,0.006,0.0034536936748935914
C,50,0.1,minp,mvn_true_cor,0.9883970184111679,0.08849095464481363,0.05,0.009746794344808964,0.006,0.0034536936748935914
C,50,0.1,minp,mvn_imputed_cor,0.9164199718782001,0.08940014932178501,0.05,0.009746794344808964,0.004,0.002822764602300376
C,50,0.1,stouffer,analytic_fallback,1.2273916261627698,0.3358606993453957,0.308,0.020646355610615643,0.222,0.018585801031970616
C,50,0.1,stouffer,mvn_true_cor,1.0840373984487173,0.09027024925642156,0.054,0.010107818755794942,0.006,0.0034536936748935914
C,50,0.1,stouffer,mvn_imputed_cor,1.0546598165764243,0.0959730925176813,0.068,0.011258419071965654,0.012,0.004869496893930624
C,50,0.1,omnibus,analytic_fallback,0.2636497020850109,0.09231013837989471,0.254,0.019467100451787882,0.196,0.01775297158224504
C,50,0.1,omnibus,mvn_true_cor,1.049821585535117,0.12320926347054222,0.068,0.011258419071965654,0.006,0.0034536936748935914
